process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0116,200,analytic,analytic,0,0,nan,0.9882,0.9912,0.9925,0.5975,0.7265,0.6557,0.8235
ddim,2,2,150,0.0116,200,analytic_T_train,analytic,0,0,nan,0.9862,0.9891,0.9916,0.5161,0.7342,0.6062,0.7977
ddim,2,2,150,0.0116,200,knn,knn,6667,20002,0.9998,0.9871,0.9895,0.9927,0.5042,0.7819,0.6130,0.8013
ddim,2,2,150,0.0116,200,kernel,kernel,6667,20002,0.9998,0.9855,0.9869,0.9920,0.4622,0.8592,0.6011,0.7940
ddim,2,2,150,0.0116,200,altered_knn,altered_knn,6667,13330,0.9998,0.9793,0.9887,0.9886,0.1839,0.1790,0.1815,0.5851
ddim,2,2,150,0.0116,200,linear,linear,6667,20002,0.9998,0.6582,0.6592,0.7922,0.0193,0.5681,0.0373,0.3482
ddim,2,2,150,0.0116,200,linear_cal,linear,6667,20002,0.9998,0.9760,0.9845,0.9871,0.1730,0.2490,0.2042,0.5943
ddim,2,2,150,0.0116,200,quadratic,quadratic,6667,20002,0.9998,0.9812,0.9855,0.9882,0.4213,0.6179,0.5010,0.7432
ddim,2,2,150,0.0116,200,quadratic_cal,quadratic,6667,20002,0.9998,0.9835,0.9882,0.9894,0.4879,0.5904,0.5343,0.7612
ddim,2,2,150,0.0116,200,polar2,polar,6667,20002,0.9998,0.9870,0.9900,0.9922,0.5329,0.7334,0.6173,0.8036
ddim,2,2,150,0.0116,200,polar2_cal,polar,6667,20002,0.9998,0.9885,0.9918,0.9926,0.6223,0.7132,0.6647,0.8282
ddim,2,2,150,0.0116,200,polar3,polar,6667,20002,0.9998,0.9873,0.9903,0.9925,0.5287,0.7269,0.6122,0.8013
ddim,2,2,150,0.0116,200,polar3_cal,polar,6667,20002,0.9998,0.9881,0.9914,0.9926,0.5866,0.7042,0.6400,0.8157
ddim,2,2,150,0.0116,200,polar8,polar,6667,20002,0.9998,0.9879,0.9910,0.9925,0.5767,0.7248,0.6423,0.8167
ddim,2,2,150,0.0116,200,polar8_cal,polar,6667,20002,0.9998,0.9881,0.9913,0.9926,0.5908,0.7222,0.6499,0.8206
ddim,2,2,150,0.0116,200,mlp,mlp,6667,20002,0.9998,0.9884,0.9915,0.9926,0.6086,0.7243,0.6614,0.8265
ddim,2,2,150,0.0116,200,mlp_cal,mlp,6667,20002,0.9998,0.9880,0.9911,0.9925,0.5884,0.7286,0.6511,0.8211
ddim,2,2,150,0.0116,200,knn,knn,16667,50002,0.9997,0.9877,0.9908,0.9929,0.5361,0.7265,0.6170,0.8039
ddim,2,2,150,0.0116,200,kernel,kernel,16667,50002,0.9997,0.9860,0.9884,0.9925,0.4586,0.7832,0.5785,0.7834
ddim,2,2,150,0.0116,200,altered_knn,altered_knn,16667,33330,0.9997,0.9823,0.9930,0.9898,0.1720,0.0786,0.1079,0.5504
ddim,2,2,150,0.0116,200,linear,linear,16667,50002,0.9997,0.6587,0.6598,0.7926,0.0193,0.5689,0.0374,0.3486
ddim,2,2,150,0.0116,200,linear_cal,linear,16667,50002,0.9997,0.9753,0.9840,0.9864,0.1667,0.2366,0.1956,0.5898
ddim,2,2,150,0.0116,200,quadratic,quadratic,16667,50002,0.9997,0.9812,0.9855,0.9882,0.4218,0.6161,0.5008,0.7431
ddim,2,2,150,0.0116,200,quadratic_cal,quadratic,16667,50002,0.9997,0.9835,0.9881,0.9894,0.4871,0.5900,0.5336,0.7609
ddim,2,2,150,0.0116,200,polar2,polar,16667,50002,0.9997,0.9870,0.9900,0.9922,0.5340,0.7342,0.6183,0.8042
ddim,2,2,150,0.0116,200,polar2_cal,polar,16667,50002,0.9997,0.9886,0.9918,0.9926,0.6241,0.7136,0.6659,0.8288
