T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
400,kernel,20,0.4208,0.4101,0.4121,0.1170,0.5814,0.0839,0.2470
400,knn,20,0.6475,0.6628,0.6614,0.1921,0.1204,0.1080,0.3854
400,linear,20,0.3300,0.3185,0.4207,0.0298,0.6395,0.0565,0.1875
400,mlp,20,0.8744,0.8946,0.8864,0.5610,0.2135,0.2945,0.5946
400,polar2,20,0.8718,0.8894,0.8853,0.4732,0.2990,0.3510,0.6202
400,polar3,20,0.8721,0.8902,0.8844,0.5271,0.2779,0.3496,0.6199
400,polar8,20,0.8541,0.8730,0.8665,0.4877,0.2277,0.2943,0.5836
400,quadratic,20,0.8458,0.8633,0.8634,0.4475,0.2560,0.2879,0.5756
450,altered_knn,20,0.7727,0.7918,0.8056,0.0790,0.1446,0.0850,0.4384
450,analytic,20,0.8938,0.9145,0.9047,0.6705,0.2276,0.3332,0.6238
450,kernel,20,0.4206,0.4100,0.4119,0.1171,0.5802,0.0827,0.2463
450,knn,20,0.6464,0.6617,0.6603,0.1775,0.1180,0.1062,0.3839
450,linear,20,0.3284,0.3168,0.4185,0.0298,0.6415,0.0566,0.1867
450,mlp,20,0.8748,0.8953,0.8868,0.5645,0.2044,0.2858,0.5906
450,polar2,20,0.8717,0.8895,0.8851,0.4740,0.2885,0.3432,0.6164
450,polar3,20,0.8717,0.8902,0.8841,0.5351,0.2673,0.3415,0.6159
450,polar8,20,0.8544,0.8736,0.8667,0.4962,0.2198,0.2884,0.5810
450,quadratic,20,0.8461,0.8638,0.8636,0.4551,0.2488,0.2827,0.5733
500,altered_knn,20,0.7702,0.7891,0.8043,0.0805,0.1486,0.0851,0.4371
500,analytic,20,0.8938,0.9145,0.9047,0.6704,0.2279,0.3336,0.6240
500,kernel,20,0.4204,0.4098,0.4117,0.1175,0.5799,0.0824,0.2461
500,knn,20,0.6455,0.6608,0.6594,0.1775,0.1170,0.1051,0.3830
500,linear,20,0.3271,0.3154,0.4167,0.0298,0.6428,0.0565,0.1859
500,mlp,20,0.8740,0.8947,0.8861,0.5633,0.1959,0.2757,0.5852
500,polar2,20,0.8714,0.8895,0.8849,0.4742,0.2806,0.3369,0.6132
500,polar3,20,0.8716,0.8903,0.8840,0.5394,0.2582,0.3334,0.6119
500,polar8,20,0.8548,0.8741,0.8671,0.5017,0.2170,0.2861,0.5801
500,quadratic,20,0.8463,0.8641,0.8637,0.4634,0.2437,0.2792,0.5716
550,altered_knn,20,0.7677,0.7862,0.8028,0.0794,0.1601,0.0866,0.4364
550,analytic,20,0.8939,0.9145,0.9047,0.6735,0.2292,0.3352,0.6249
550,kernel,20,0.4203,0.4096,0.4115,0.1183,0.5794,0.0819,0.2458
550,knn,20,0.6449,0.6602,0.6588,0.1734,0.1153,0.1032,0.3817
550,linear,20,0.3260,0.3142,0.4152,0.0298,0.6439,0.0565,0.1854
550,mlp,20,0.8741,0.8949,0.8862,0.5654,0.1892,0.2685,0.5817
550,polar2,20,0.8714,0.8897,0.8849,0.4734,0.2722,0.3297,0.6097
550,polar3,20,0.8713,0.8902,0.8837,0.5442,0.2511,0.3273,0.6088
550,polar8,20,0.8539,0.8733,0.8662,0.4964,0.2082,0.2763,0.5748
550,quadratic,20,0.8464,0.8644,0.8638,0.4656,0.2377,0.2737,0.5691
600,altered_knn,20,0.7638,0.7813,0.8015,0.0768,0.1789,0.0907,0.4360
600,analytic,20,0.8940,0.9145,0.9047,0.6755,0.2311,0.3375,0.6260
