sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,0.0144,knn,knn,2000,6000,0.9787,0.9839,0.9877,0.4127,0.6298,0.4986,0.7412
flow,2,2,0.0144,altered_knn,altered_knn,2000,4000,0.9709,0.9811,0.9839,0.1965,0.2734,0.2287,0.6049
flow,2,2,0.0144,polar3,polar,2000,6000,0.9826,0.9900,0.9896,0.5054,0.4844,0.4947,0.7423
flow,2,2,0.0144,knn,knn,5000,15000,0.9813,0.9876,0.9894,0.4408,0.5536,0.4908,0.7392
flow,2,2,0.0144,altered_knn,altered_knn,5000,10000,0.9707,0.9796,0.9845,0.2177,0.3668,0.2732,0.6264
flow,2,2,0.0144,polar3,polar,5000,15000,0.9828,0.9901,0.9898,0.5072,0.4844,0.4956,0.7428
flow,2,2,0.0144,knn,knn,10000,30000,0.9822,0.9888,0.9898,0.4711,0.5363,0.5016,0.7452
flow,2,2,0.0144,altered_knn,altered_knn,10000,20000,0.9775,0.9895,0.9875,0.2222,0.1592,0.1855,0.5875
flow,2,2,0.0144,polar3,polar,10000,30000,0.9828,0.9901,0.9897,0.5091,0.4844,0.4965,0.7433
flow,2,2,0.0144,knn,knn,20000,60000,0.9825,0.9898,0.9897,0.4930,0.4879,0.4904,0.7401
flow,2,2,0.0144,altered_knn,altered_knn,20000,40000,0.9774,0.9896,0.9872,0.2154,0.1453,0.1736,0.5816
flow,2,2,0.0144,polar3,polar,20000,60000,0.9828,0.9901,0.9897,0.5109,0.4844,0.4973,0.7437
flow,2,2,0.0144,knn,knn,50000,150000,0.9833,0.9907,0.9900,0.5265,0.4810,0.5027,0.7467
flow,2,2,0.0144,altered_knn,altered_knn,50000,100000,0.9788,0.9917,0.9878,0.2148,0.1003,0.1368,0.5642
flow,2,2,0.0144,polar3,polar,50000,150000,0.9827,0.9900,0.9897,0.5036,0.4844,0.4938,0.7419
flow,2,2,0.0144,knn,knn,100000,300000,0.9833,0.9907,0.9899,0.5346,0.4810,0.5064,0.7485
flow,2,2,0.0144,altered_knn,altered_knn,100000,200000,0.9800,0.9940,0.9882,0.1552,0.0311,0.0519,0.5229
flow,2,2,0.0144,polar3,polar,100000,300000,0.9827,0.9901,0.9897,0.5091,0.4844,0.4965,0.7433
