sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
rk45,2,2,3,0.0106,0.0004,knn,knn,2000,6000,0.9822,0.0011,0.9854,0.0011,0.9885,0.0006,0.3797,0.0271,0.6834,0.0213,0.4876,0.0246,0.7365,0.0128
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,2000,4000,0.9665,0.0047,0.9744,0.0053,0.9808,0.0021,0.0935,0.0102,0.2275,0.0508,0.1307,0.0145,0.5525,0.0071
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,2000,6000,0.9852,0.0025,0.9894,0.0020,0.9887,0.0022,0.5983,0.0183,0.5872,0.0308,0.5925,0.0234,0.7910,0.0127
rk45,2,2,3,0.0106,0.0004,polar3,polar,2000,6000,0.9862,0.0006,0.9890,0.0010,0.9900,0.0008,0.5450,0.0101,0.7216,0.0354,0.6205,0.0135,0.8048,0.0064
rk45,2,2,3,0.0106,0.0004,knn,knn,5000,15000,0.9853,0.0007,0.9886,0.0009,0.9901,0.0008,0.4601,0.0193,0.6766,0.0145,0.5472,0.0094,0.7679,0.0050
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,5000,10000,0.9750,0.0025,0.9836,0.0032,0.9849,0.0007,0.1096,0.0157,0.1694,0.0778,0.1284,0.0401,0.5560,0.0185
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,5000,15000,0.9865,0.0029,0.9908,0.0025,0.9900,0.0027,0.6000,0.0101,0.5834,0.0309,0.5912,0.0182,0.7910,0.0103
rk45,2,2,3,0.0106,0.0004,polar3,polar,5000,15000,0.9861,0.0006,0.9890,0.0011,0.9899,0.0008,0.5442,0.0142,0.7177,0.0319,0.6184,0.0110,0.8037,0.0052
rk45,2,2,3,0.0106,0.0004,knn,knn,10000,30000,0.9863,0.0005,0.9897,0.0009,0.9904,0.0008,0.5256,0.0142,0.6711,0.0232,0.5892,0.0122,0.7894,0.0059
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,10000,20000,0.9770,0.0036,0.9861,0.0048,0.9858,0.0016,0.0972,0.0159,0.1202,0.0886,0.0977,0.0410,0.5419,0.0184
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,10000,30000,0.9871,0.0030,0.9914,0.0025,0.9907,0.0028,0.6003,0.0138,0.5876,0.0340,0.5936,0.0228,0.7925,0.0126
rk45,2,2,3,0.0106,0.0004,polar3,polar,10000,30000,0.9861,0.0005,0.9890,0.0010,0.9899,0.0008,0.5448,0.0105,0.7177,0.0303,0.6190,0.0127,0.8040,0.0060
rk45,2,2,3,0.0106,0.0004,knn,knn,15000,45000,0.9868,0.0004,0.9901,0.0008,0.9904,0.0007,0.5649,0.0158,0.6812,0.0339,0.6174,0.0212,0.8037,0.0102
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,15000,30000,0.9782,0.0027,0.9878,0.0035,0.9864,0.0014,0.0892,0.0152,0.0836,0.0486,0.0784,0.0276,0.5331,0.0123
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,15000,45000,0.9863,0.0029,0.9906,0.0024,0.9898,0.0027,0.6023,0.0160,0.5883,0.0345,0.5949,0.0240,0.7927,0.0132
rk45,2,2,3,0.0106,0.0004,polar3,polar,15000,45000,0.9861,0.0005,0.9890,0.0009,0.9899,0.0008,0.5420,0.0106,0.7178,0.0311,0.6173,0.0138,0.8031,0.0065
rk45,2,2,3,0.0106,0.0004,knn,knn,20000,60000,0.9870,0.0004,0.9903,0.0009,0.9905,0.0008,0.5908,0.0195,0.6804,0.0372,0.6320,0.0235,0.8112,0.0113
rk45,2,2,3,0.0106,0.0004,altered_knn,altered_knn,20000,40000,0.9796,0.0004,0.9896,0.0004,0.9869,0.0007,0.0655,0.0202,0.0420,0.0176,0.0510,0.0190,0.5203,0.0095
rk45,2,2,3,0.0106,0.0004,quadratic,quadratic,20000,60000,0.9859,0.0029,0.9901,0.0024,0.9894,0.0027,0.6014,0.0184,0.5864,0.0357,0.5935,0.0254,0.7918,0.0139
rk45,2,2,3,0.0106,0.0004,polar3,polar,20000,60000,0.9861,0.0005,0.9890,0.0009,0.9899,0.0008,0.5427,0.0090,0.7181,0.0308,0.6179,0.0134,0.8034,0.0063
rk45,2,4,3,0.0114,0.0005,knn,knn,2000,12000,0.9631,0.0101,0.9677,0.0091,0.9709,0.0110,0.2476,0.0543,0.5709,0.1047,0.3453,0.0720,0.6565,0.0401
rk45,2,4,3,0.0114,0.0005,altered_knn,altered_knn,2000,8000,0.9552,0.0092,0.9640,0.0090,0.9667,0.0091,0.0949,0.0258,0.1977,0.0605,0.1260,0.0326,0.5450,0.0200
rk45,2,4,3,0.0114,0.0005,quadratic,quadratic,2000,12000,0.9297,0.0106,0.9356,0.0110,0.9345,0.0115,0.2560,0.0494,0.4164,0.0714,0.3106,0.0325,0.6231,0.0207
rk45,2,4,3,0.0114,0.0005,polar3,polar,2000,12000,0.9651,0.0110,0.9696,0.0099,0.9717,0.0117,0.2790,0.0534,0.5681,0.1112,0.3741,0.0720,0.6719,0.0407
rk45,2,4,3,0.0114,0.0005,knn,knn,5000,30000,0.9678,0.0118,0.9730,0.0104,0.9731,0.0124,0.3011,0.0872,0.5205,0.1344,0.3814,0.1061,0.6772,0.0580
rk45,2,4,3,0.0114,0.0005,altered_knn,altered_knn,5000,20000,0.9616,0.0107,0.9709,0.0103,0.9703,0.0108,0.1041,0.0420,0.1547,0.0334,0.1227,0.0386,0.5468,0.0243
rk45,2,4,3,0.0114,0.0005,quadratic,quadratic,5000,30000,0.9286,0.0103,0.9345,0.0107,0.9331,0.0111,0.2554,0.0525,0.4160,0.0688,0.3104,0.0363,0.6225,0.0226
rk45,2,4,3,0.0114,0.0005,polar3,polar,5000,30000,0.9657,0.0104,0.9702,0.0093,0.9722,0.0112,0.2831,0.0482,0.5698,0.1120,0.3782,0.0677,0.6742,0.0381
rk45,2,4,3,0.0114,0.0005,knn,knn,10000,60000,0.9702,0.0120,0.9755,0.0107,0.9740,0.0128,0.3603,0.0981,0.5046,0.1308,0.4204,0.1122,0.6980,0.0612
rk45,2,4,3,0.0114,0.0005,altered_knn,altered_knn,10000,40000,0.9658,0.0106,0.9759,0.0099,0.9717,0.0119,0.1020,0.0624,0.0892,0.0516,0.0951,0.0565,0.5355,0.0331
rk45,2,4,3,0.0114,0.0005,quadratic,quadratic,10000,60000,0.9287,0.0101,0.9346,0.0105,0.9331,0.0112,0.2593,0.0493,0.4142,0.0710,0.3128,0.0332,0.6237,0.0208
rk45,2,4,3,0.0114,0.0005,polar3,polar,10000,60000,0.9656,0.0107,0.9702,0.0095,0.9721,0.0114,0.2834,0.0512,0.5691,0.1166,0.3783,0.0714,0.6743,0.0401
rk45,2,4,3,0.0114,0.0005,knn,knn,15000,90000,0.9710,0.0121,0.9765,0.0108,0.9742,0.0129,0.3948,0.0998,0.4974,0.1213,0.4402,0.1095,0.7083,0.0600
rk45,2,4,3,0.0114,0.0005,altered_knn,altered_knn,15000,60000,0.9661,0.0108,0.9760,0.0099,0.9716,0.0122,0.1111,0.0792,0.0990,0.0742,0.1047,0.0766,0.5404,0.0432
rk45,2,4,3,0.0114,0.0005,quadratic,quadratic,15000,90000,0.9291,0.0100,0.9350,0.0104,0.9335,0.0111,0.2610,0.0494,0.4138,0.0699,0.3141,0.0331,0.6245,0.0207
rk45,2,4,3,0.0114,0.0005,polar3,polar,15000,90000,0.9659,0.0105,0.9705,0.0094,0.9722,0.0114,0.2888,0.0488,0.5709,0.1145,0.3835,0.0688,0.6770,0.0386
rk45,2,4,3,0.0114,0.0005,knn,knn,20000,120000,0.9715,0.0121,0.9770,0.0109,0.9743,0.0130,0.4205,0.1018,0.4915,0.1135,0.4532,0.1074,0.7151,0.0589
rk45,2,4,3,0.0114,0.0005,altered_knn,altered_knn,20000,80000,0.9659,0.0109,0.9759,0.0099,0.9715,0.0123,0.1076,0.0841,0.0995,0.0824,0.1033,0.0833,0.5396,0.0465
