process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0093,500,analytic,analytic,0,0,nan,0.9918,0.9945,0.9950,0.6317,0.7046,0.6662,0.8303
ddim,2,2,150,0.0093,500,analytic_T_train,analytic,0,0,nan,0.9909,0.9934,0.9946,0.5732,0.7165,0.6369,0.8152
ddim,2,2,150,0.0093,500,knn,knn,6667,20002,1.0000,0.9903,0.9919,0.9947,0.5123,0.8126,0.6284,0.8102
ddim,2,2,150,0.0093,500,altered_knn,altered_knn,6667,13330,1.0000,0.9805,0.9868,0.9898,0.1867,0.3062,0.2319,0.6094
ddim,2,2,150,0.0093,500,quadratic,quadratic,6667,20002,1.0000,0.9846,0.9887,0.9909,0.3737,0.5470,0.4440,0.7164
ddim,2,2,150,0.0093,500,quadratic_cal,quadratic,6667,20002,1.0000,0.9872,0.9918,0.9922,0.4574,0.4951,0.4755,0.7336
ddim,2,2,150,0.0093,500,polar8,polar,6667,20002,1.0000,0.9917,0.9942,0.9951,0.6066,0.7219,0.6593,0.8268
ddim,2,2,150,0.0093,500,polar8_cal,polar,6667,20002,1.0000,0.9918,0.9944,0.9951,0.6187,0.7133,0.6627,0.8285
ddim,2,2,150,0.0093,500,knn,knn,16667,50002,1.0000,0.9914,0.9937,0.9952,0.5583,0.7441,0.6380,0.8158
ddim,2,2,150,0.0093,500,altered_knn,altered_knn,16667,33330,1.0000,0.9866,0.9946,0.9926,0.2399,0.1344,0.1723,0.5835
ddim,2,2,150,0.0093,500,quadratic,quadratic,16667,50002,1.0000,0.9847,0.9888,0.9910,0.3728,0.5454,0.4429,0.7159
ddim,2,2,150,0.0093,500,quadratic_cal,quadratic,16667,50002,1.0000,0.9874,0.9920,0.9923,0.4604,0.4930,0.4761,0.7341
ddim,2,2,150,0.0093,500,polar8,polar,16667,50002,1.0000,0.9916,0.9942,0.9951,0.6019,0.7208,0.6560,0.8251
ddim,2,2,150,0.0093,500,polar8_cal,polar,16667,50002,1.0000,0.9918,0.9944,0.9951,0.6183,0.7084,0.6603,0.8274
ddim,2,2,150,0.0093,500,knn,knn,33333,99998,1.0000,0.9916,0.9941,0.9952,0.5842,0.7171,0.6439,0.8190
ddim,2,2,150,0.0093,500,altered_knn,altered_knn,33333,66660,1.0000,0.9868,0.9946,0.9930,0.2283,0.1463,0.1783,0.5865
ddim,2,2,150,0.0093,500,quadratic,quadratic,33333,99998,1.0000,0.9848,0.9889,0.9911,0.3690,0.5432,0.4395,0.7142
ddim,2,2,150,0.0093,500,quadratic_cal,quadratic,33333,99998,1.0000,0.9876,0.9922,0.9925,0.4607,0.4935,0.4765,0.7344
ddim,2,2,150,0.0093,500,polar8,polar,33333,99998,1.0000,0.9917,0.9943,0.9951,0.6070,0.7154,0.6568,0.8255
ddim,2,2,150,0.0093,500,polar8_cal,polar,33333,99998,1.0000,0.9918,0.9944,0.9951,0.6181,0.7079,0.6600,0.8272
ddim,2,4,150,0.0066,500,analytic,analytic,0,0,nan,0.9880,0.9897,0.9899,0.6862,0.7251,0.7051,0.8474
ddim,2,4,150,0.0066,500,analytic_T_train,analytic,0,0,nan,0.9875,0.9891,0.9897,0.6325,0.7409,0.6824,0.8358
ddim,2,4,150,0.0066,500,knn,knn,3333,19996,0.9999,0.9831,0.9845,0.9864,0.4901,0.7689,0.5986,0.7916
ddim,2,4,150,0.0066,500,altered_knn,altered_knn,3333,13320,0.9999,0.6583,0.6626,0.6686,0.0228,0.0234,0.0231,0.3428
ddim,2,4,150,0.0066,500,quadratic,quadratic,3333,19996,0.9999,0.9526,0.9547,0.9560,0.4994,0.6503,0.5650,0.7598
ddim,2,4,150,0.0066,500,quadratic_cal,quadratic,3333,19996,0.9999,0.9542,0.9568,0.9566,0.6637,0.5589,0.6068,0.7818
ddim,2,4,150,0.0066,500,polar8,polar,3333,19996,0.9999,0.9872,0.9887,0.9894,0.6282,0.7492,0.6834,0.8361
ddim,2,4,150,0.0066,500,polar8_cal,polar,3333,19996,0.9999,0.9875,0.9894,0.9893,0.7117,0.7085,0.7101,0.8497
ddim,2,4,150,0.0066,500,knn,knn,8333,49996,1.0000,0.9858,0.9873,0.9884,0.5709,0.7598,0.6520,0.8196
ddim,2,4,150,0.0066,500,altered_knn,altered_knn,8333,33320,1.0000,0.5603,0.5633,0.5798,0.0231,0.1088,0.0381,0.3007
ddim,2,4,150,0.0066,500,quadratic,quadratic,8333,49996,1.0000,0.9512,0.9533,0.9546,0.5029,0.6488,0.5666,0.7599
ddim,2,4,150,0.0066,500,quadratic_cal,quadratic,8333,49996,1.0000,0.9527,0.9554,0.9552,0.6676,0.5476,0.6017,0.7785
ddim,2,4,150,0.0066,500,polar8,polar,8333,49996,1.0000,0.9873,0.9889,0.9896,0.6200,0.7432,0.6761,0.8325
ddim,2,4,150,0.0066,500,polar8_cal,polar,8333,49996,1.0000,0.9876,0.9894,0.9896,0.6796,0.7145,0.6966,0.8430
ddim,2,4,150,0.0066,500,knn,knn,16667,100004,1.0000,0.9864,0.9880,0.9888,0.5961,0.7470,0.6631,0.8255
ddim,2,4,150,0.0066,500,altered_knn,altered_knn,16667,66660,1.0000,0.5239,0.5264,0.5455,0.0248,0.1412,0.0422,0.2843
ddim,2,4,150,0.0066,500,quadratic,quadratic,16667,100004,1.0000,0.9524,0.9544,0.9557,0.5020,0.6480,0.5658,0.7601
ddim,2,4,150,0.0066,500,quadratic_cal,quadratic,16667,100004,1.0000,0.9537,0.9565,0.9563,0.6591,0.5461,0.5973,0.7769
ddim,2,4,150,0.0066,500,polar8,polar,16667,100004,1.0000,0.9872,0.9888,0.9895,0.6213,0.7409,0.6759,0.8323
ddim,2,4,150,0.0066,500,polar8_cal,polar,16667,100004,1.0000,0.9876,0.9894,0.9895,0.6972,0.7062,0.7017,0.8456
ddim,2,8,150,0.0059,500,analytic,analytic,0,0,nan,0.9748,0.9769,0.9769,0.6083,0.6166,0.6124,0.7947
ddim,2,8,150,0.0059,500,analytic_T_train,analytic,0,0,nan,0.9744,0.9764,0.9768,0.5647,0.6377,0.5990,0.7877
ddim,2,8,150,0.0059,500,knn,knn,1667,20008,1.0000,0.9693,0.9711,0.9719,0.5342,0.6605,0.5906,0.7809
ddim,2,8,150,0.0059,500,altered_knn,altered_knn,1667,13320,1.0000,0.7368,0.7409,0.7440,0.0238,0.0372,0.0290,0.3850
ddim,2,8,150,0.0059,500,quadratic,quadratic,1667,20008,1.0000,0.9188,0.9201,0.9268,0.2100,0.6926,0.3223,0.6212
ddim,2,8,150,0.0059,500,quadratic_cal,quadratic,1667,20008,1.0000,0.9280,0.9307,0.9307,0.5826,0.4797,0.5262,0.7284
ddim,2,8,150,0.0059,500,polar8,polar,1667,20008,1.0000,0.9742,0.9760,0.9764,0.5805,0.6605,0.6179,0.7970
ddim,2,8,150,0.0059,500,polar8_cal,polar,1667,20008,1.0000,0.9743,0.9764,0.9764,0.6149,0.6216,0.6182,0.7973
ddim,2,8,150,0.0059,500,knn,knn,4167,50008,1.0000,0.9730,0.9750,0.9753,0.5827,0.6250,0.6031,0.7891
ddim,2,8,150,0.0059,500,altered_knn,altered_knn,4167,33320,1.0000,0.5864,0.5897,0.5970,0.0206,0.0236,0.0220,0.3059
ddim,2,8,150,0.0059,500,quadratic,quadratic,4167,50008,1.0000,0.9191,0.9205,0.9270,0.2120,0.6875,0.3240,0.6223
ddim,2,8,150,0.0059,500,quadratic_cal,quadratic,4167,50008,1.0000,0.9279,0.9308,0.9307,0.5570,0.4417,0.4927,0.7117
ddim,2,8,150,0.0059,500,polar8,polar,4167,50008,1.0000,0.9740,0.9760,0.9764,0.5697,0.6520,0.6081,0.7920
ddim,2,8,150,0.0059,500,polar8_cal,polar,4167,50008,1.0000,0.9740,0.9759,0.9764,0.5677,0.6554,0.6084,0.7922
ddim,2,8,150,0.0059,500,knn,knn,8333,99992,1.0000,0.9739,0.9760,0.9761,0.6097,0.6174,0.6135,0.7948
ddim,2,8,150,0.0059,500,altered_knn,altered_knn,8333,66640,1.0000,0.4967,0.4995,0.5074,0.0255,0.0144,0.0184,0.2589
ddim,2,8,150,0.0059,500,quadratic,quadratic,8333,99992,1.0000,0.9166,0.9180,0.9244,0.2141,0.6867,0.3264,0.6222
ddim,2,8,150,0.0059,500,quadratic_cal,quadratic,8333,99992,1.0000,0.9254,0.9282,0.9281,0.5726,0.4561,0.5078,0.7180
ddim,2,8,150,0.0059,500,polar8,polar,8333,99992,1.0000,0.9741,0.9760,0.9764,0.5741,0.6512,0.6102,0.7931
ddim,2,8,150,0.0059,500,polar8_cal,polar,8333,99992,1.0000,0.9742,0.9762,0.9765,0.5907,0.6351,0.6121,0.7942
ddim,2,16,150,0.0050,500,analytic,analytic,0,0,nan,0.9651,0.9666,0.9664,0.7480,0.6673,0.7054,0.8360
ddim,2,16,150,0.0050,500,analytic_T_train,analytic,0,0,nan,0.9651,0.9664,0.9664,0.7086,0.7143,0.7114,0.8389
ddim,2,16,150,0.0050,500,knn,knn,833,19984,1.0000,0.9521,0.9539,0.9532,0.8502,0.5954,0.7004,0.8271
ddim,2,16,150,0.0050,500,altered_knn,altered_knn,833,13280,1.0000,0.8046,0.8085,0.8152,0.0072,0.0310,0.0117,0.4101
ddim,2,16,150,0.0050,500,quadratic,quadratic,833,19984,1.0000,0.9347,0.9357,0.9465,0.1298,0.7243,0.2202,0.5779
ddim,2,16,150,0.0050,500,quadratic_cal,quadratic,833,19984,1.0000,0.9481,0.9501,0.9500,0.5593,0.5654,0.5623,0.7562
ddim,2,16,150,0.0050,500,polar8,polar,833,19984,1.0000,0.9655,0.9672,0.9668,0.7454,0.6434,0.6906,0.8289
ddim,2,16,150,0.0050,500,polar8_cal,polar,833,19984,1.0000,0.9655,0.9672,0.9668,0.7483,0.6414,0.6907,0.8289
ddim,2,16,150,0.0050,500,knn,knn,2083,50000,1.0000,0.9599,0.9618,0.9611,0.8283,0.5974,0.6941,0.8280
