process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,100,1500,0.9420,analytic,analytic,0.9576,0.9773,0.9720,0.4206,0.2609,0.3221,0.6497
ddim,2,2,150,0.0274,100,1500,0.9420,knn,knn,0.9436,0.9570,0.9632,0.3229,0.4690,0.3824,0.6697
ddim,2,2,150,0.0274,100,1500,0.9420,altered_knn,altered_knn,0.9160,0.9276,0.9502,0.1876,0.5036,0.2734,0.6005
ddim,2,2,150,0.0274,100,1500,0.9420,kernel,kernel,0.9470,0.9620,0.9642,0.3574,0.4161,0.3845,0.6732
ddim,2,2,150,0.0274,100,1500,0.9420,linear,linear,0.7232,0.7218,0.8357,0.0727,0.7737,0.1328,0.4273
ddim,2,2,150,0.0274,100,1500,0.9420,quadratic,quadratic,0.9497,0.9679,0.9679,0.3020,0.3047,0.3034,0.6356
ddim,2,2,150,0.0274,100,1500,0.9420,polar2,polar,0.9497,0.9669,0.9676,0.3235,0.3412,0.3321,0.6495
ddim,2,2,150,0.0274,100,1500,0.9420,polar3,polar,0.9499,0.9671,0.9678,0.3235,0.3412,0.3321,0.6496
ddim,2,2,150,0.0274,100,1500,0.9420,polar8,polar,0.9502,0.9684,0.9676,0.3218,0.3047,0.3130,0.6407
ddim,2,2,150,0.0274,100,1500,0.9420,mlp,mlp,0.9498,0.9674,0.9673,0.3260,0.3248,0.3254,0.6464
ddim,2,4,150,0.0297,100,3000,0.8400,analytic,analytic,0.9275,0.9464,0.9430,0.4026,0.3131,0.3523,0.6493
ddim,2,4,150,0.0297,100,3000,0.8400,knn,knn,0.9014,0.9162,0.9256,0.2449,0.4209,0.3096,0.6129
ddim,2,4,150,0.0297,100,3000,0.8400,altered_knn,altered_knn,0.8422,0.8571,0.9049,0.0793,0.3569,0.1298,0.4935
ddim,2,4,150,0.0297,100,3000,0.8400,kernel,kernel,0.9082,0.9229,0.9316,0.2599,0.4293,0.3238,0.6233
ddim,2,4,150,0.0297,100,3000,0.8400,linear,linear,0.2332,0.2220,0.2964,0.0231,0.6010,0.0446,0.1333
ddim,2,4,150,0.0297,100,3000,0.8400,quadratic,quadratic,0.9140,0.9299,0.9334,0.3092,0.3956,0.3471,0.6385
ddim,2,4,150,0.0297,100,3000,0.8400,polar2,polar,0.9086,0.9232,0.9317,0.2575,0.4310,0.3224,0.6228
ddim,2,4,150,0.0297,100,3000,0.8400,polar3,polar,0.9200,0.9346,0.9405,0.3085,0.4461,0.3648,0.6497
ddim,2,4,150,0.0297,100,3000,0.8400,polar8,polar,0.9239,0.9386,0.9422,0.3464,0.4461,0.3900,0.6643
ddim,2,4,150,0.0297,100,3000,0.8400,mlp,mlp,0.9330,0.9487,0.9467,0.4638,0.4209,0.4413,0.6950
ddim,2,8,150,0.0342,100,6000,0.8025,analytic,analytic,0.8586,0.8820,0.8790,0.2359,0.1962,0.2142,0.5481
ddim,2,8,150,0.0342,100,6000,0.8025,knn,knn,0.8309,0.8479,0.8623,0.1763,0.3485,0.2341,0.5410
