sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,8,0.0113,polar8_cal,polar,20000,240000,0.9343,0.9416,0.9376,0.2993,0.3037,0.3015,0.6215
ddim,0,2,8,0.0113,knn,knn,50000,600000,0.9337,0.9410,0.9375,0.2678,0.2970,0.2817,0.6113
ddim,0,2,8,0.0113,altered_knn,altered_knn,50000,400000,0.9302,0.9402,0.9359,0.0591,0.0581,0.0586,0.4994
ddim,0,2,8,0.0113,quadratic,quadratic,50000,600000,0.8356,0.8392,0.8873,0.0467,0.5199,0.0856,0.4624
ddim,0,2,8,0.0113,quadratic_cal,quadratic,50000,600000,0.9226,0.9303,0.9253,0.2738,0.2550,0.2640,0.5972
ddim,0,2,8,0.0113,polar8,polar,50000,600000,0.9335,0.9406,0.9374,0.2683,0.3097,0.2875,0.6141
ddim,0,2,8,0.0113,polar8_cal,polar,50000,600000,0.9349,0.9421,0.9376,0.3311,0.2998,0.3147,0.6284
ddim,0,2,8,0.0113,knn,knn,100000,1200000,0.9344,0.9416,0.9375,0.3009,0.2981,0.2995,0.6206
ddim,0,2,8,0.0113,altered_knn,altered_knn,100000,800000,0.9320,0.9422,0.9360,0.0562,0.0343,0.0426,0.4924
ddim,0,2,8,0.0113,quadratic,quadratic,100000,1200000,0.8588,0.8628,0.9028,0.0546,0.5077,0.0987,0.4807
ddim,0,2,8,0.0113,quadratic_cal,quadratic,100000,1200000,0.9309,0.9385,0.9341,0.3033,0.2683,0.2847,0.6116
ddim,0,2,8,0.0113,polar8,polar,100000,1200000,0.9340,0.9412,0.9375,0.2904,0.3103,0.3000,0.6206
ddim,0,2,8,0.0113,polar8_cal,polar,100000,1200000,0.9341,0.9412,0.9375,0.2919,0.3103,0.3008,0.6210
ddim,0,4,2,0.0106,knn,knn,20000,60000,0.7691,0.7681,0.8303,0.0574,0.8615,0.1077,0.4379
ddim,0,4,2,0.0106,altered_knn,altered_knn,20000,40000,0.6971,0.6988,0.8361,0.0193,0.5423,0.0373,0.3681
ddim,0,4,2,0.0106,quadratic,quadratic,20000,60000,0.7337,0.7323,0.8012,0.0495,0.8685,0.0937,0.4130
ddim,0,4,2,0.0106,quadratic_cal,quadratic,20000,60000,0.7113,0.7095,0.7889,0.0438,0.8826,0.0835,0.3965
ddim,0,4,2,0.0106,polar8,polar,20000,60000,0.7328,0.7314,0.8138,0.0434,0.8638,0.0827,0.4070
ddim,0,4,2,0.0106,polar8_cal,polar,20000,60000,0.7312,0.7297,0.8132,0.0430,0.8638,0.0819,0.4058
ddim,0,4,2,0.0106,knn,knn,50000,150000,0.7619,0.7609,0.8282,0.0532,0.8592,0.1002,0.4305
ddim,0,4,2,0.0106,altered_knn,altered_knn,50000,100000,0.7542,0.7578,0.8721,0.0193,0.4272,0.0370,0.3974
ddim,0,4,2,0.0106,quadratic,quadratic,50000,150000,0.7310,0.7295,0.7994,0.0487,0.8662,0.0923,0.4109
ddim,0,4,2,0.0106,quadratic_cal,quadratic,50000,150000,0.7108,0.7090,0.7882,0.0438,0.8803,0.0834,0.3962
ddim,0,4,2,0.0106,polar8,polar,50000,150000,0.7321,0.7307,0.8132,0.0433,0.8638,0.0825,0.4066
ddim,0,4,2,0.0106,polar8_cal,polar,50000,150000,0.7300,0.7285,0.8126,0.0427,0.8638,0.0813,0.4049
ddim,0,4,2,0.0106,knn,knn,100000,300000,0.7587,0.7576,0.8270,0.0515,0.8592,0.0972,0.4274
ddim,0,4,2,0.0106,altered_knn,altered_knn,100000,200000,0.7860,0.7907,0.8879,0.0187,0.3451,0.0355,0.4131
ddim,0,4,2,0.0106,quadratic,quadratic,100000,300000,0.7357,0.7343,0.8053,0.0489,0.8709,0.0926,0.4134
ddim,0,4,2,0.0106,quadratic_cal,quadratic,100000,300000,0.7171,0.7153,0.7950,0.0440,0.8803,0.0839,0.3996
ddim,0,4,2,0.0106,polar8,polar,100000,300000,0.7317,0.7303,0.8129,0.0432,0.8638,0.0823,0.4063
ddim,0,4,2,0.0106,polar8_cal,polar,100000,300000,0.7302,0.7288,0.8124,0.0428,0.8638,0.0815,0.4051
ddim,0,4,4,0.0112,knn,knn,20000,120000,0.7859,0.7858,0.8108,0.0633,0.7971,0.1173,0.4515
ddim,0,4,4,0.0112,altered_knn,altered_knn,20000,80000,0.7056,0.7070,0.7305,0.0236,0.5819,0.0454,0.3762
ddim,0,4,4,0.0112,quadratic,quadratic,20000,120000,0.7110,0.7100,0.7433,0.0494,0.8027,0.0930,0.4015
ddim,0,4,4,0.0112,quadratic_cal,quadratic,20000,120000,0.7362,0.7358,0.7555,0.0575,0.7737,0.1071,0.4214
ddim,0,4,4,0.0112,polar8,polar,20000,120000,0.7556,0.7550,0.7819,0.0594,0.8027,0.1106,0.4328
