sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced,weights
ddim,0,512,16,0.0131,knn,knn,5000,120000,0.1718,0.1738,0.1715,0.0127,0.0241,0.0166,0.0952,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,altered_knn,altered_knn,5000,80000,0.3998,0.3986,0.4780,0.0187,0.4906,0.0361,0.2173,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,quadratic,quadratic,5000,120000,0.1022,0.0928,0.1524,0.0135,0.8052,0.0265,0.0596,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,polar3,polar,5000,120000,0.8013,0.8081,0.8031,0.2665,0.2914,0.2784,0.5432,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
