process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,650,1500,0.9893,analytic,analytic,0.9584,0.9808,0.9717,0.4632,0.1606,0.2385,0.6097
ddim,2,2,150,0.0274,650,1500,0.9893,knn,knn,0.9485,0.9663,0.9650,0.3501,0.3175,0.3330,0.6497
ddim,2,2,150,0.0274,650,1500,0.9893,altered_knn,altered_knn,0.9268,0.9472,0.9515,0.1519,0.2007,0.1730,0.5601
ddim,2,2,150,0.0274,650,1500,0.9893,kernel,kernel,0.9535,0.9734,0.9668,0.4722,0.2482,0.3254,0.6494
ddim,2,2,150,0.0274,650,1500,0.9893,linear,linear,0.7057,0.7037,0.8234,0.0687,0.7755,0.1262,0.4150
ddim,2,2,150,0.0274,650,1500,0.9893,quadratic,quadratic,0.9585,0.9802,0.9724,0.4239,0.1880,0.2604,0.6203
ddim,2,2,150,0.0274,650,1500,0.9893,polar2,polar,0.9578,0.9789,0.9716,0.4402,0.2080,0.2825,0.6307
ddim,2,2,150,0.0274,650,1500,0.9893,polar3,polar,0.9575,0.9788,0.9714,0.4336,0.2026,0.2761,0.6275
ddim,2,2,150,0.0274,650,1500,0.9893,polar8,polar,0.9573,0.9790,0.9714,0.4170,0.1880,0.2591,0.6191
ddim,2,2,150,0.0274,650,1500,0.9893,mlp,mlp,0.9574,0.9795,0.9713,0.4260,0.1734,0.2464,0.6130
ddim,2,4,150,0.0297,650,3000,0.9193,analytic,analytic,0.9325,0.9548,0.9447,0.6070,0.2054,0.3069,0.6308
ddim,2,4,150,0.0297,650,3000,0.9193,knn,knn,0.9014,0.9199,0.9226,0.2395,0.2980,0.2656,0.5927
ddim,2,4,150,0.0297,650,3000,0.9193,altered_knn,altered_knn,0.8940,0.9190,0.9194,0.0710,0.0758,0.0733,0.4962
ddim,2,4,150,0.0297,650,3000,0.9193,kernel,kernel,0.9090,0.9286,0.9305,0.2315,0.2694,0.2490,0.5888
ddim,2,4,150,0.0297,650,3000,0.9193,linear,linear,0.1876,0.1741,0.2476,0.0229,0.6313,0.0441,0.1091
ddim,2,4,150,0.0297,650,3000,0.9193,quadratic,quadratic,0.9165,0.9362,0.9325,0.3612,0.2761,0.3130,0.6246
ddim,2,4,150,0.0297,650,3000,0.9193,polar2,polar,0.9113,0.9304,0.9326,0.2333,0.2879,0.2577,0.5941
ddim,2,4,150,0.0297,650,3000,0.9193,polar3,polar,0.9250,0.9439,0.9427,0.3268,0.3098,0.3181,0.6310
ddim,2,4,150,0.0297,650,3000,0.9193,polar8,polar,0.9258,0.9453,0.9420,0.3631,0.2879,0.3211,0.6332
ddim,2,4,150,0.0297,650,3000,0.9193,mlp,mlp,0.9334,0.9541,0.9455,0.5779,0.2559,0.3547,0.6544
ddim,2,8,150,0.0342,650,6000,0.8908,analytic,analytic,0.8657,0.8916,0.8811,0.3730,0.1332,0.1963,0.5440
ddim,2,8,150,0.0342,650,6000,0.8908,knn,knn,0.8317,0.8521,0.8616,0.1545,0.2548,0.1924,0.5222
ddim,2,8,150,0.0342,650,6000,0.8908,altered_knn,altered_knn,0.8521,0.8817,0.8673,0.1571,0.0161,0.0292,0.4554
ddim,2,8,150,0.0342,650,6000,0.8908,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,650,6000,0.8908,linear,linear,0.0906,0.0702,0.1086,0.0248,0.6662,0.0478,0.0590
ddim,2,8,150,0.0342,650,6000,0.8908,quadratic,quadratic,0.8256,0.8453,0.8634,0.1193,0.2694,0.1654,0.5053
ddim,2,8,150,0.0342,650,6000,0.8908,polar2,polar,0.8083,0.8273,0.8439,0.1248,0.2738,0.1715,0.4994
ddim,2,8,150,0.0342,650,6000,0.8908,polar3,polar,0.8457,0.8675,0.8729,0.1637,0.2299,0.1912,0.5294
ddim,2,8,150,0.0342,650,6000,0.8908,polar8,polar,0.8582,0.8813,0.8792,0.2242,0.2064,0.2149,0.5481
ddim,2,8,150,0.0342,650,6000,0.8908,mlp,mlp,0.8644,0.8897,0.8812,0.3054,0.1493,0.2006,0.5452
ddim,2,16,150,0.0522,650,12000,0.9021,analytic,analytic,0.7698,0.8080,0.7899,0.4457,0.0785,0.1334,0.4707
ddim,2,16,150,0.0522,650,12000,0.9021,knn,knn,0.7407,0.7706,0.7717,0.1942,0.1990,0.1966,0.4836
ddim,2,16,150,0.0522,650,12000,0.9021,altered_knn,altered_knn,0.6776,0.7010,0.7466,0.0798,0.2545,0.1215,0.4112
ddim,2,16,150,0.0522,650,12000,0.9021,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,650,12000,0.9021,linear,linear,0.0599,0.0117,0.0238,0.0497,0.9349,0.0943,0.0530
ddim,2,16,150,0.0522,650,12000,0.9021,quadratic,quadratic,0.7077,0.7181,0.7596,0.1747,0.5187,0.2613,0.4897
ddim,2,16,150,0.0522,650,12000,0.9021,polar2,polar,0.7675,0.7981,0.7877,0.3545,0.2134,0.2664,0.5323
ddim,2,16,150,0.0522,650,12000,0.9021,polar3,polar,0.7764,0.8098,0.7971,0.3629,0.1722,0.2336,0.5217
ddim,2,16,150,0.0522,650,12000,0.9021,polar8,polar,0.7732,0.8077,0.7941,0.3793,0.1474,0.2123,0.5100
ddim,2,16,150,0.0522,650,12000,0.9021,mlp,mlp,0.7623,0.7986,0.7829,0.4098,0.1043,0.1663,0.4824
ddim,4,2,150,0.0306,650,1500,0.9867,analytic,analytic,0.9648,0.9878,0.9768,0.8391,0.2382,0.3710,0.6794
ddim,4,2,150,0.0306,650,1500,0.9867,knn,knn,0.8564,0.8806,0.8684,0.7671,0.0914,0.1633,0.5220
ddim,4,2,150,0.0306,650,1500,0.9867,altered_knn,altered_knn,0.8181,0.8317,0.8933,0.0724,0.3883,0.1221,0.4769
ddim,4,2,150,0.0306,650,1500,0.9867,kernel,kernel,0.8853,0.9105,0.8972,1.0000,0.0881,0.1619,0.5362
ddim,4,2,150,0.0306,650,1500,0.9867,linear,linear,0.6754,0.6827,0.8030,0.0425,0.4454,0.0776,0.3802
ddim,4,2,150,0.0306,650,1500,0.9867,quadratic,quadratic,0.9638,0.9879,0.9761,0.8414,0.1990,0.3219,0.6549
ddim,4,2,150,0.0306,650,1500,0.9867,polar2,polar,0.9641,0.9868,0.9762,0.7865,0.2463,0.3752,0.6810
ddim,4,2,150,0.0306,650,1500,0.9867,polar3,polar,0.9643,0.9868,0.9764,0.7789,0.2529,0.3818,0.6843
ddim,4,2,150,0.0306,650,1500,0.9867,polar8,polar,0.9591,0.9824,0.9726,0.6161,0.2251,0.3297,0.6561
ddim,4,2,150,0.0306,650,1500,0.9867,mlp,mlp,0.9625,0.9847,0.9752,0.6838,0.2610,0.3778,0.6813
ddim,4,4,150,0.0205,650,3000,0.9603,analytic,analytic,0.8889,0.9036,0.8975,0.3838,0.1854,0.2500,0.5768
ddim,4,4,150,0.0205,650,3000,0.9603,knn,knn,0.7438,0.7573,0.7574,0.1242,0.1000,0.1108,0.4341
ddim,4,4,150,0.0205,650,3000,0.9603,altered_knn,altered_knn,0.7881,0.8017,0.8175,0.0487,0.1415,0.0725,0.4371
ddim,4,4,150,0.0205,650,3000,0.9603,kernel,kernel,0.7825,0.7967,0.7933,0.3000,0.1024,0.1527,0.4747
ddim,4,4,150,0.0205,650,3000,0.9603,linear,linear,0.2389,0.2267,0.3055,0.0221,0.8244,0.0430,0.1348
ddim,4,4,150,0.0205,650,3000,0.9603,quadratic,quadratic,0.8708,0.8855,0.8800,0.3553,0.1707,0.2306,0.5581
