sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
dpmpp2m,32,16,3,0.0162,0.0006,quadratic,quadratic,10000,240000,0.9196,0.0035,0.9279,0.0040,0.9251,0.0037,0.6461,0.0137,0.4169,0.0093,0.5067,0.0081,0.7173,0.0039
dpmpp2m,32,16,3,0.0162,0.0006,polar3,polar,10000,240000,0.9441,0.0029,0.9522,0.0034,0.9480,0.0031,0.9768,0.0037,0.4547,0.0123,0.6204,0.0108,0.7863,0.0037
dpmpp2m,32,16,3,0.0162,0.0006,knn,knn,15000,360000,0.3549,0.0030,0.3600,0.0033,0.3572,0.0029,0.0743,0.0009,0.0492,0.0025,0.0592,0.0019,0.2096,0.0009
dpmpp2m,32,16,3,0.0162,0.0006,altered_knn,altered_knn,15000,240000,0.7202,0.0032,0.7299,0.0040,0.7356,0.0030,0.0712,0.0078,0.1285,0.0714,0.0784,0.0246,0.4042,0.0104
dpmpp2m,32,16,3,0.0162,0.0006,quadratic,quadratic,15000,360000,0.9317,0.0035,0.9409,0.0040,0.9367,0.0037,0.8004,0.0145,0.3804,0.0105,0.5156,0.0100,0.7282,0.0039
dpmpp2m,32,16,3,0.0162,0.0006,polar3,polar,15000,360000,0.9471,0.0020,0.9551,0.0025,0.9509,0.0022,0.9804,0.0032,0.4608,0.0112,0.6268,0.0097,0.7910,0.0037
dpmpp2m,32,16,3,0.0162,0.0006,knn,knn,20000,480000,0.3592,0.0036,0.3644,0.0038,0.3617,0.0035,0.0770,0.0014,0.0480,0.0016,0.0591,0.0014,0.2117,0.0014
dpmpp2m,32,16,3,0.0162,0.0006,altered_knn,altered_knn,20000,320000,0.7131,0.0095,0.7218,0.0111,0.7356,0.0026,0.0600,0.0052,0.1834,0.1008,0.0838,0.0071,0.4028,0.0039
dpmpp2m,32,16,3,0.0162,0.0006,quadratic,quadratic,20000,480000,0.9389,0.0031,0.9483,0.0036,0.9437,0.0034,0.8692,0.0102,0.3677,0.0095,0.5167,0.0092,0.7325,0.0033
dpmpp2m,32,16,3,0.0162,0.0006,polar3,polar,20000,480000,0.9493,0.0031,0.9572,0.0035,0.9532,0.0033,0.9381,0.0124,0.4758,0.0117,0.6312,0.0077,0.7942,0.0022
dpmpp2m,64,2,3,0.0177,0.0004,knn,knn,2000,6000,0.6954,0.0036,0.7079,0.0034,0.7007,0.0037,0.0884,0.0250,0.0039,0.0012,0.0075,0.0022,0.3577,0.0018
dpmpp2m,64,2,3,0.0177,0.0004,altered_knn,altered_knn,2000,4000,0.7722,0.0062,0.7824,0.0068,0.8297,0.0034,0.0280,0.0014,0.2059,0.0231,0.0492,0.0027,0.4158,0.0028
dpmpp2m,64,2,3,0.0177,0.0004,quadratic,quadratic,2000,6000,0.6720,0.0069,0.6782,0.0074,0.7462,0.0058,0.0297,0.0006,0.3300,0.0115,0.0544,0.0009,0.3663,0.0040
dpmpp2m,64,2,3,0.0177,0.0004,polar3,polar,2000,6000,0.9452,0.0026,0.9558,0.0031,0.9508,0.0028,0.8630,0.0125,0.3585,0.0156,0.5062,0.0140,0.7310,0.0055
dpmpp2m,64,2,3,0.0177,0.0004,knn,knn,5000,15000,0.7071,0.0019,0.7198,0.0017,0.7127,0.0019,0.0959,0.0060,0.0028,0.0001,0.0055,0.0001,0.3626,0.0009
dpmpp2m,64,2,3,0.0177,0.0004,altered_knn,altered_knn,5000,10000,0.7810,0.0015,0.7908,0.0016,0.8410,0.0009,0.0312,0.0020,0.2376,0.0077,0.0551,0.0033,0.4229,0.0025
dpmpp2m,64,2,3,0.0177,0.0004,quadratic,quadratic,5000,15000,0.9255,0.0011,0.9370,0.0012,0.9366,0.0010,0.3002,0.0116,0.2834,0.0145,0.2915,0.0123,0.6143,0.0065
dpmpp2m,64,2,3,0.0177,0.0004,polar3,polar,5000,15000,0.9656,0.0008,0.9752,0.0006,0.9703,0.0007,0.9829,0.0046,0.4309,0.0159,0.5989,0.0149,0.7871,0.0076
dpmpp2m,64,2,3,0.0177,0.0004,knn,knn,10000,30000,0.7151,0.0006,0.7280,0.0003,0.7205,0.0005,0.0446,0.0318,0.0009,0.0007,0.0018,0.0014,0.3649,0.0007
dpmpp2m,64,2,3,0.0177,0.0004,altered_knn,altered_knn,10000,20000,0.7458,0.0653,0.7538,0.0684,0.8269,0.0351,0.0281,0.0017,0.2989,0.1093,0.0507,0.0016,0.4022,0.0349
dpmpp2m,64,2,3,0.0177,0.0004,quadratic,quadratic,10000,30000,0.9527,0.0004,0.9651,0.0004,0.9606,0.0004,0.5551,0.0054,0.2664,0.0071,0.3599,0.0066,0.6625,0.0033
dpmpp2m,64,2,3,0.0177,0.0004,polar3,polar,10000,30000,0.9787,0.0006,0.9871,0.0002,0.9829,0.0004,0.9927,0.0004,0.5119,0.0170,0.6753,0.0148,0.8312,0.0075
dpmpp2m,64,2,3,0.0177,0.0004,knn,knn,15000,45000,0.7189,0.0009,0.7318,0.0007,0.7244,0.0010,0.0806,0.0142,0.0017,0.0004,0.0033,0.0008,0.3676,0.0001
dpmpp2m,64,2,3,0.0177,0.0004,altered_knn,altered_knn,15000,30000,0.6694,0.1344,0.6744,0.1404,0.7751,0.0889,0.0256,0.0032,0.3963,0.1965,0.0465,0.0035,0.3604,0.0718
dpmpp2m,64,2,3,0.0177,0.0004,quadratic,quadratic,15000,45000,0.9602,0.0004,0.9730,0.0004,0.9677,0.0004,0.6507,0.0075,0.2515,0.0084,0.3627,0.0099,0.6679,0.0050
dpmpp2m,64,2,3,0.0177,0.0004,polar3,polar,15000,45000,0.9831,0.0005,0.9911,0.0001,0.9870,0.0003,0.9965,0.0013,0.5409,0.0169,0.7010,0.0141,0.8461,0.0071
dpmpp2m,64,2,3,0.0177,0.0004,knn,knn,20000,60000,0.7212,0.0018,0.7342,0.0018,0.7268,0.0019,0.0945,0.0166,0.0017,0.0005,0.0033,0.0009,0.3688,0.0013
dpmpp2m,64,2,3,0.0177,0.0004,altered_knn,altered_knn,20000,40000,0.8209,0.0009,0.8326,0.0008,0.8675,0.0007,0.0312,0.0022,0.1706,0.0100,0.0528,0.0036,0.4427,0.0018
dpmpp2m,64,2,3,0.0177,0.0004,quadratic,quadratic,20000,60000,0.9627,0.0007,0.9757,0.0004,0.9700,0.0006,0.6838,0.0147,0.2413,0.0118,0.3566,0.0149,0.6662,0.0077
dpmpp2m,64,2,3,0.0177,0.0004,polar3,polar,20000,60000,0.9841,0.0012,0.9918,0.0007,0.9879,0.0009,0.9960,0.0007,0.5561,0.0203,0.7134,0.0167,0.8526,0.0087
dpmpp2m,64,4,3,0.0170,0.0005,knn,knn,2000,12000,0.5018,0.0016,0.5103,0.0015,0.5054,0.0014,0.0442,0.0085,0.0086,0.0017,0.0144,0.0028,0.2624,0.0009
dpmpp2m,64,4,3,0.0170,0.0005,altered_knn,altered_knn,2000,8000,0.7342,0.0133,0.7460,0.0149,0.7503,0.0015,0.0477,0.0131,0.0556,0.0631,0.0288,0.0147,0.3874,0.0010
dpmpp2m,64,4,3,0.0170,0.0005,quadratic,quadratic,2000,12000,0.7402,0.0012,0.7475,0.0010,0.7681,0.0012,0.0774,0.0022,0.3178,0.0074,0.1244,0.0028,0.4360,0.0009
dpmpp2m,64,4,3,0.0170,0.0005,polar3,polar,2000,12000,0.9184,0.0058,0.9273,0.0059,0.9227,0.0058,0.9671,0.0028,0.4008,0.0118,0.5666,0.0120,0.7470,0.0067
dpmpp2m,64,4,3,0.0170,0.0005,knn,knn,5000,30000,0.5178,0.0012,0.5267,0.0010,0.5216,0.0009,0.0528,0.0091,0.0079,0.0010,0.0138,0.0019,0.2702,0.0006
dpmpp2m,64,4,3,0.0170,0.0005,altered_knn,altered_knn,5000,20000,0.7515,0.0052,0.7631,0.0060,0.7732,0.0011,0.0340,0.0045,0.0824,0.0199,0.0469,0.0021,0.4050,0.0039
dpmpp2m,64,4,3,0.0170,0.0005,quadratic,quadratic,5000,30000,0.8928,0.0008,0.9029,0.0008,0.9011,0.0007,0.3998,0.0074,0.3106,0.0028,0.3496,0.0030,0.6262,0.0019
dpmpp2m,64,4,3,0.0170,0.0005,polar3,polar,5000,30000,0.9434,0.0014,0.9513,0.0018,0.9471,0.0016,0.9913,0.0022,0.4831,0.0132,0.6495,0.0115,0.8004,0.0050
dpmpp2m,64,4,3,0.0170,0.0005,knn,knn,10000,60000,0.5282,0.0012,0.5372,0.0011,0.5318,0.0008,0.0486,0.0099,0.0061,0.0015,0.0109,0.0026,0.2741,0.0012
dpmpp2m,64,4,3,0.0170,0.0005,altered_knn,altered_knn,10000,40000,0.7182,0.0540,0.7267,0.0574,0.7719,0.0198,0.0311,0.0048,0.2249,0.1386,0.0517,0.0048,0.3892,0.0300
dpmpp2m,64,4,3,0.0170,0.0005,quadratic,quadratic,10000,60000,0.9256,0.0008,0.9364,0.0008,0.9325,0.0008,0.5743,0.0108,0.3015,0.0040,0.3954,0.0060,0.6659,0.0032
dpmpp2m,64,4,3,0.0170,0.0005,polar3,polar,10000,60000,0.9646,0.0031,0.9720,0.0037,0.9681,0.0035,0.9958,0.0016,0.5370,0.0193,0.6976,0.0159,0.8348,0.0062
dpmpp2m,64,4,3,0.0170,0.0005,knn,knn,15000,90000,0.5330,0.0015,0.5421,0.0012,0.5366,0.0011,0.0534,0.0065,0.0059,0.0010,0.0106,0.0017,0.2764,0.0015
dpmpp2m,64,4,3,0.0170,0.0005,altered_knn,altered_knn,15000,60000,0.7158,0.0798,0.7242,0.0842,0.7712,0.0321,0.0333,0.0068,0.2228,0.1865,0.0504,0.0020,0.3873,0.0431
dpmpp2m,64,4,3,0.0170,0.0005,quadratic,quadratic,15000,90000,0.9379,0.0012,0.9489,0.0011,0.9446,0.0011,0.6289,0.0024,0.3042,0.0054,0.4100,0.0047,0.6795,0.0021
dpmpp2m,64,4,3,0.0170,0.0005,polar3,polar,15000,90000,0.9697,0.0022,0.9770,0.0025,0.9732,0.0023,0.9956,0.0006,0.5497,0.0173,0.7082,0.0141,0.8426,0.0066
dpmpp2m,64,4,3,0.0170,0.0005,knn,knn,20000,120000,0.5359,0.0024,0.5450,0.0023,0.5395,0.0021,0.0686,0.0050,0.0070,0.0003,0.0126,0.0006,0.2788,0.0009
dpmpp2m,64,4,3,0.0170,0.0005,altered_knn,altered_knn,20000,80000,0.7789,0.0090,0.7911,0.0098,0.7981,0.0014,0.0352,0.0013,0.0715,0.0489,0.0384,0.0203,0.4147,0.0056
dpmpp2m,64,4,3,0.0170,0.0005,quadratic,quadratic,20000,120000,0.9435,0.0011,0.9547,0.0010,0.9502,0.0010,0.6562,0.0070,0.2960,0.0058,0.4079,0.0051,0.6813,0.0027
dpmpp2m,64,4,3,0.0170,0.0005,polar3,polar,20000,120000,0.9708,0.0019,0.9780,0.0024,0.9742,0.0022,0.9958,0.0009,0.5566,0.0163,0.7139,0.0132,0.8459,0.0055
dpmpp2m,64,8,3,0.0177,0.0003,knn,knn,2000,24000,0.3600,0.0016,0.3661,0.0016,0.3626,0.0009,0.0413,0.0004,0.0207,0.0012,0.0276,0.0011,0.1969,0.0004
dpmpp2m,64,8,3,0.0177,0.0003,altered_knn,altered_knn,2000,16000,0.6622,0.0160,0.6728,0.0176,0.6825,0.0014,0.0373,0.0069,0.0805,0.0701,0.0389,0.0105,0.3559,0.0065
dpmpp2m,64,8,3,0.0177,0.0003,quadratic,quadratic,2000,24000,0.7246,0.0027,0.7320,0.0028,0.7417,0.0026,0.1279,0.0033,0.3153,0.0013,0.1820,0.0032,0.4570,0.0025
dpmpp2m,64,8,3,0.0177,0.0003,polar3,polar,2000,24000,0.8964,0.0034,0.9050,0.0033,0.9004,0.0033,0.9735,0.0036,0.4203,0.0007,0.5872,0.0013,0.7461,0.0019
dpmpp2m,64,8,3,0.0177,0.0003,knn,knn,5000,60000,0.3745,0.0023,0.3809,0.0022,0.3770,0.0016,0.0495,0.0047,0.0204,0.0022,0.0288,0.0030,0.2049,0.0026
dpmpp2m,64,8,3,0.0177,0.0003,altered_knn,altered_knn,5000,40000,0.6828,0.0227,0.6929,0.0251,0.7094,0.0016,0.0437,0.0097,0.1235,0.1043,0.0513,0.0066,0.3721,0.0116
dpmpp2m,64,8,3,0.0177,0.0003,quadratic,quadratic,5000,60000,0.8569,0.0009,0.8663,0.0008,0.8649,0.0009,0.4039,0.0032,0.3354,0.0037,0.3664,0.0018,0.6164,0.0007
dpmpp2m,64,8,3,0.0177,0.0003,polar3,polar,5000,60000,0.9351,0.0046,0.9433,0.0046,0.9390,0.0046,0.9899,0.0020,0.4774,0.0015,0.6442,0.0017,0.7938,0.0021
dpmpp2m,64,8,3,0.0177,0.0003,knn,knn,10000,120000,0.3868,0.0021,0.3935,0.0021,0.3898,0.0016,0.0493,0.0005,0.0176,0.0005,0.0259,0.0006,0.2097,0.0011
dpmpp2m,64,8,3,0.0177,0.0003,altered_knn,altered_knn,10000,80000,0.6934,0.0188,0.7030,0.0207,0.7265,0.0028,0.0394,0.0076,0.1640,0.0897,0.0571,0.0031,0.3800,0.0091
dpmpp2m,64,8,3,0.0177,0.0003,quadratic,quadratic,10000,120000,0.8970,0.0010,0.9070,0.0009,0.9041,0.0010,0.5271,0.0117,0.3409,0.0060,0.4140,0.0078,0.6605,0.0036
dpmpp2m,64,8,3,0.0177,0.0003,polar3,polar,10000,120000,0.9474,0.0032,0.9556,0.0032,0.9513,0.0032,0.9935,0.0013,0.4927,0.0014,0.6587,0.0011,0.8072,0.0019
dpmpp2m,64,8,3,0.0177,0.0003,knn,knn,15000,180000,0.3920,0.0023,0.3987,0.0023,0.3948,0.0018,0.0533,0.0025,0.0179,0.0010,0.0268,0.0014,0.2128,0.0008
dpmpp2m,64,8,3,0.0177,0.0003,altered_knn,altered_knn,15000,120000,0.6975,0.0117,0.7066,0.0128,0.7351,0.0015,0.0362,0.0040,0.1893,0.0589,0.0598,0.0056,0.3832,0.0063
dpmpp2m,64,8,3,0.0177,0.0003,quadratic,quadratic,15000,180000,0.9122,0.0013,0.9224,0.0012,0.9190,0.0013,0.5765,0.0100,0.3441,0.0026,0.4310,0.0048,0.6767,0.0019
dpmpp2m,64,8,3,0.0177,0.0003,polar3,polar,15000,180000,0.9524,0.0038,0.9607,0.0039,0.9563,0.0038,0.9940,0.0009,0.4942,0.0041,0.6602,0.0038,0.8104,0.0014
dpmpp2m,64,8,3,0.0177,0.0003,knn,knn,20000,240000,0.3966,0.0025,0.4034,0.0024,0.3996,0.0022,0.0584,0.0076,0.0187,0.0028,0.0284,0.0041,0.2159,0.0028
dpmpp2m,64,8,3,0.0177,0.0003,altered_knn,altered_knn,20000,160000,0.7171,0.0192,0.7276,0.0211,0.7418,0.0024,0.0496,0.0088,0.1305,0.0919,0.0619,0.0029,0.3948,0.0094
dpmpp2m,64,8,3,0.0177,0.0003,quadratic,quadratic,20000,240000,0.9232,0.0008,0.9340,0.0006,0.9296,0.0007,0.6639,0.0079,0.3266,0.0044,0.4378,0.0048,0.6859,0.0024
dpmpp2m,64,8,3,0.0177,0.0003,polar3,polar,20000,240000,0.9535,0.0041,0.9618,0.0042,0.9574,0.0042,0.9933,0.0012,0.4968,0.0030,0.6624,0.0028,0.8121,0.0011
dpmpp2m,64,16,3,0.0185,0.0004,knn,knn,2000,48000,0.2607,0.0011,0.2649,0.0011,0.2619,0.0009,0.0429,0.0009,0.0390,0.0004,0.0408,0.0005,0.1529,0.0008
dpmpp2m,64,16,3,0.0185,0.0004,altered_knn,altered_knn,2000,32000,0.6151,0.0077,0.6244,0.0096,0.6378,0.0036,0.0404,0.0057,0.1211,0.0800,0.0456,0.0211,0.3350,0.0058
dpmpp2m,64,16,3,0.0185,0.0004,quadratic,quadratic,2000,48000,0.7060,0.0009,0.7131,0.0010,0.7216,0.0008,0.1453,0.0033,0.3301,0.0055,0.2017,0.0026,0.4574,0.0015
dpmpp2m,64,16,3,0.0185,0.0004,polar3,polar,2000,48000,0.8842,0.0041,0.8927,0.0043,0.8881,0.0042,0.9761,0.0021,0.4322,0.0055,0.5991,0.0051,0.7459,0.0012
dpmpp2m,64,16,3,0.0185,0.0004,knn,knn,5000,120000,0.2739,0.0013,0.2784,0.0013,0.2751,0.0012,0.0433,0.0016,0.0347,0.0017,0.0385,0.0017,0.1585,0.0013
dpmpp2m,64,16,3,0.0185,0.0004,altered_knn,altered_knn,5000,80000,0.6485,0.0037,0.6586,0.0040,0.6693,0.0008,0.0421,0.0009,0.1149,0.0219,0.0612,0.0035,0.3599,0.0007
dpmpp2m,64,16,3,0.0185,0.0004,quadratic,quadratic,5000,120000,0.8326,0.0005,0.8412,0.0004,0.8420,0.0004,0.3388,0.0062,0.3737,0.0027,0.3554,0.0036,0.5983,0.0019
dpmpp2m,64,16,3,0.0185,0.0004,polar3,polar,5000,120000,0.9205,0.0042,0.9295,0.0044,0.9247,0.0043,0.9891,0.0016,0.4442,0.0036,0.6131,0.0033,0.7713,0.0007
dpmpp2m,64,16,3,0.0185,0.0004,knn,knn,10000,240000,0.2841,0.0007,0.2888,0.0006,0.2854,0.0005,0.0469,0.0029,0.0326,0.0015,0.0385,0.0020,0.1636,0.0011
dpmpp2m,64,16,3,0.0185,0.0004,altered_knn,altered_knn,10000,160000,0.6721,0.0033,0.6832,0.0034,0.6875,0.0020,0.0499,0.0033,0.0822,0.0200,0.0605,0.0044,0.3719,0.0013
dpmpp2m,64,16,3,0.0185,0.0004,quadratic,quadratic,10000,240000,0.8817,0.0010,0.8914,0.0009,0.8891,0.0009,0.5009,0.0070,0.3697,0.0036,0.4254,0.0004,0.6584,0.0006
dpmpp2m,64,16,3,0.0185,0.0004,polar3,polar,10000,240000,0.9321,0.0032,0.9413,0.0035,0.9364,0.0033,0.9908,0.0013,0.4475,0.0045,0.6165,0.0041,0.7789,0.0003
dpmpp2m,64,16,3,0.0185,0.0004,knn,knn,15000,360000,0.2900,0.0008,0.2949,0.0007,0.2917,0.0007,0.0476,0.0030,0.0310,0.0017,0.0376,0.0022,0.1662,0.0012
dpmpp2m,64,16,3,0.0185,0.0004,altered_knn,altered_knn,15000,240000,0.6856,0.0024,0.6977,0.0025,0.6954,0.0016,0.0683,0.0078,0.0431,0.0178,0.0491,0.0141,0.3734,0.0061
dpmpp2m,64,16,3,0.0185,0.0004,quadratic,quadratic,15000,360000,0.9082,0.0009,0.9192,0.0008,0.9143,0.0008,0.7315,0.0092,0.3251,0.0036,0.4501,0.0020,0.6846,0.0009
dpmpp2m,64,16,3,0.0185,0.0004,polar3,polar,15000,360000,0.9407,0.0028,0.9499,0.0029,0.9450,0.0029,0.9910,0.0018,0.4505,0.0044,0.6194,0.0040,0.7847,0.0011
dpmpp2m,64,16,3,0.0185,0.0004,knn,knn,20000,480000,0.2932,0.0013,0.2981,0.0013,0.2948,0.0012,0.0512,0.0011,0.0320,0.0010,0.0394,0.0011,0.1687,0.0006
dpmpp2m,64,16,3,0.0185,0.0004,altered_knn,altered_knn,20000,320000,0.6919,0.0017,0.7040,0.0015,0.7020,0.0019,0.0680,0.0019,0.0487,0.0049,0.0565,0.0030,0.3803,0.0019
dpmpp2m,64,16,3,0.0185,0.0004,quadratic,quadratic,20000,480000,0.9217,0.0013,0.9333,0.0012,0.9277,0.0013,0.8441,0.0056,0.3043,0.0019,0.4473,0.0013,0.6903,0.0010
dpmpp2m,64,16,3,0.0185,0.0004,polar3,polar,20000,480000,0.9449,0.0027,0.9542,0.0029,0.9493,0.0028,0.9905,0.0019,0.4522,0.0047,0.6209,0.0043,0.7875,0.0011
dpmpp2m,128,2,3,0.0196,0.0003,knn,knn,2000,6000,0.6547,0.0037,0.6678,0.0036,0.6600,0.0038,0.0546,0.0187,0.0027,0.0010,0.0052,0.0019,0.3365,0.0028
dpmpp2m,128,2,3,0.0196,0.0003,altered_knn,altered_knn,2000,4000,0.7265,0.0015,0.7377,0.0015,0.7861,0.0012,0.0236,0.0006,0.1683,0.0037,0.0414,0.0010,0.3895,0.0003
dpmpp2m,128,2,3,0.0196,0.0003,quadratic,quadratic,2000,6000,0.4098,0.0023,0.4116,0.0026,0.4834,0.0027,0.0201,0.0013,0.3181,0.0177,0.0378,0.0024,0.2247,0.0006
dpmpp2m,128,2,3,0.0196,0.0003,polar3,polar,2000,6000,0.9358,0.0019,0.9483,0.0019,0.9427,0.0019,0.7563,0.0245,0.3111,0.0105,0.4408,0.0145,0.6946,0.0072
dpmpp2m,128,2,3,0.0196,0.0003,knn,knn,5000,15000,0.6651,0.0026,0.6784,0.0025,0.6705,0.0026,0.0789,0.0103,0.0029,0.0006,0.0056,0.0012,0.3420,0.0017
