process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0144,300,1500,0.9880,analytic,analytic,0.9829,0.9925,0.9897,0.5398,0.3287,0.4086,0.7006
flow,2,2,150,0.0144,300,1500,0.9880,knn,knn,0.9606,0.9679,0.9726,0.2777,0.4602,0.3464,0.6571
flow,2,2,150,0.0144,300,1500,0.9880,altered_knn,altered_knn,0.9373,0.9482,0.9584,0.0813,0.2007,0.1158,0.5320
flow,2,2,150,0.0144,300,1500,0.9880,kernel,kernel,0.9666,0.9750,0.9743,0.4368,0.3945,0.4145,0.6948
flow,2,2,150,0.0144,300,1500,0.9880,linear,linear,0.6918,0.6936,0.8157,0.0266,0.5709,0.0508,0.3722
flow,2,2,150,0.0144,300,1500,0.9880,quadratic,quadratic,0.9802,0.9893,0.9876,0.4682,0.3564,0.4047,0.6970
flow,2,2,150,0.0144,300,1500,0.9880,polar2,polar,0.9828,0.9911,0.9896,0.5263,0.4152,0.4642,0.7277
flow,2,2,150,0.0144,300,1500,0.9880,polar3,polar,0.9826,0.9913,0.9897,0.5067,0.3945,0.4436,0.7174
flow,2,2,150,0.0144,300,1500,0.9880,polar8,polar,0.9825,0.9915,0.9895,0.5121,0.3668,0.4274,0.7095
flow,2,2,150,0.0144,300,1500,0.9880,mlp,mlp,0.9833,0.9920,0.9898,0.5678,0.3910,0.4631,0.7276
flow,2,4,150,0.0151,300,3000,0.9027,analytic,analytic,0.9728,0.9832,0.9806,0.4472,0.2947,0.3553,0.6692
flow,2,4,150,0.0151,300,3000,0.9027,knn,knn,0.9280,0.9368,0.9462,0.1537,0.3543,0.2144,0.5756
flow,2,4,150,0.0151,300,3000,0.9027,altered_knn,altered_knn,0.9228,0.9364,0.9320,0.1111,0.0397,0.0585,0.4975
flow,2,4,150,0.0151,300,3000,0.9027,kernel,kernel,0.9338,0.9429,0.9522,0.1495,0.3411,0.2079,0.5754
flow,2,4,150,0.0151,300,3000,0.9027,linear,linear,0.1816,0.1730,0.2559,0.0136,0.7450,0.0268,0.0999
flow,2,4,150,0.0151,300,3000,0.9027,quadratic,quadratic,0.9490,0.9583,0.9613,0.2447,0.3411,0.2849,0.6216
flow,2,4,150,0.0151,300,3000,0.9027,polar2,polar,0.9405,0.9498,0.9597,0.1435,0.3377,0.2014,0.5756
flow,2,4,150,0.0151,300,3000,0.9027,polar3,polar,0.9570,0.9658,0.9713,0.2195,0.3808,0.2785,0.6221
flow,2,4,150,0.0151,300,3000,0.9027,polar8,polar,0.9627,0.9714,0.9753,0.2587,0.3940,0.3123,0.6419
flow,2,4,150,0.0151,300,3000,0.9027,mlp,mlp,0.9702,0.9802,0.9787,0.3967,0.3179,0.3529,0.6666
flow,2,8,150,0.0299,300,6000,0.8665,analytic,analytic,0.8956,0.9170,0.9083,0.5238,0.2023,0.2919,0.6044
flow,2,8,150,0.0299,300,6000,0.8665,knn,knn,0.8604,0.8767,0.8875,0.1852,0.3344,0.2384,0.5575
