sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
flow,2,2,3,0.0098,0.0003,knn,knn,2000,6000,0.9849,0.0012,0.9870,0.0012,0.9916,0.0007,0.3996,0.0221,0.7785,0.0059,0.5278,0.0199,0.7574,0.0105
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,2000,4000,0.9659,0.0092,0.9727,0.0099,0.9819,0.0044,0.1066,0.0271,0.2844,0.0536,0.1513,0.0285,0.5620,0.0181
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,2000,6000,0.9896,0.0009,0.9937,0.0006,0.9938,0.0007,0.5658,0.0095,0.5705,0.0210,0.5681,0.0152,0.7809,0.0079
flow,2,2,3,0.0098,0.0003,polar3,polar,2000,6000,0.9969,0.0001,0.9977,0.0003,0.9984,0.0001,0.7986,0.0224,0.9251,0.0181,0.8567,0.0052,0.9272,0.0028
flow,2,2,3,0.0098,0.0003,knn,knn,5000,15000,0.9912,0.0005,0.9926,0.0006,0.9954,0.0002,0.5420,0.0275,0.8583,0.0079,0.6639,0.0182,0.8282,0.0094
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,5000,10000,0.9769,0.0035,0.9841,0.0043,0.9879,0.0015,0.1525,0.0252,0.2609,0.0581,0.1866,0.0094,0.5853,0.0051
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,5000,15000,0.9888,0.0005,0.9931,0.0008,0.9930,0.0007,0.5679,0.0066,0.5616,0.0187,0.5645,0.0094,0.7788,0.0043
flow,2,2,3,0.0098,0.0003,polar3,polar,5000,15000,0.9966,0.0006,0.9972,0.0008,0.9983,0.0003,0.7743,0.0504,0.9299,0.0202,0.8434,0.0225,0.9203,0.0117
flow,2,2,3,0.0098,0.0003,knn,knn,10000,30000,0.9946,0.0005,0.9954,0.0004,0.9972,0.0002,0.6669,0.0266,0.9088,0.0108,0.7692,0.0213,0.8823,0.0109
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,10000,20000,0.9783,0.0035,0.9850,0.0037,0.9890,0.0018,0.1739,0.0317,0.3039,0.0150,0.2191,0.0267,0.6021,0.0151
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,10000,30000,0.9889,0.0006,0.9931,0.0009,0.9931,0.0008,0.5683,0.0065,0.5630,0.0205,0.5655,0.0132,0.7793,0.0062
flow,2,2,3,0.0098,0.0003,polar3,polar,10000,30000,0.9968,0.0003,0.9975,0.0005,0.9984,0.0002,0.7898,0.0366,0.9288,0.0184,0.8528,0.0141,0.9251,0.0073
flow,2,2,3,0.0098,0.0003,knn,knn,15000,45000,0.9957,0.0005,0.9964,0.0004,0.9978,0.0002,0.7193,0.0307,0.9194,0.0058,0.8068,0.0215,0.9016,0.0110
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,15000,30000,0.9839,0.0021,0.9911,0.0023,0.9918,0.0011,0.2323,0.0404,0.2591,0.0127,0.2425,0.0230,0.6168,0.0125
flow,2,2,3,0.0098,0.0003,quadratic,quadratic,15000,45000,0.9891,0.0002,0.9933,0.0005,0.9933,0.0004,0.5655,0.0097,0.5637,0.0210,0.5645,0.0134,0.7789,0.0065
flow,2,2,3,0.0098,0.0003,polar3,polar,15000,45000,0.9969,0.0003,0.9976,0.0005,0.9984,0.0001,0.7945,0.0330,0.9275,0.0176,0.8551,0.0122,0.9263,0.0063
flow,2,2,3,0.0098,0.0003,knn,knn,20000,60000,0.9963,0.0004,0.9971,0.0003,0.9981,0.0002,0.7566,0.0260,0.9201,0.0045,0.8302,0.0176,0.9136,0.0090
flow,2,2,3,0.0098,0.0003,altered_knn,altered_knn,20000,40000,0.9864,0.0037,0.9941,0.0043,0.9931,0.0019,0.3184,0.0976,0.2086,0.0451,0.2341,0.0124,0.6141,0.0083
