process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,600,analytic,analytic,0,0,nan,0.9584,0.9809,0.9717,0.4656,0.1606,0.2388,0.6098
ddim,2,2,150,0.0274,600,knn,knn,125,374,0.9947,0.8952,0.9149,0.9107,0.2908,0.1953,0.2336,0.5742
ddim,2,2,150,0.0274,600,altered_knn,altered_knn,125,250,0.9947,0.9151,0.9255,0.9536,0.1774,0.5456,0.2678,0.5967
ddim,2,2,150,0.0274,600,kernel,kernel,125,374,0.9947,0.9232,0.9442,0.9368,0.4033,0.1788,0.2478,0.5960
ddim,2,2,150,0.0274,600,linear,linear,125,374,0.9947,0.7620,0.7683,0.8584,0.0629,0.5420,0.1128,0.4405
ddim,2,2,150,0.0274,600,quadratic,quadratic,125,374,0.9947,0.9565,0.9783,0.9704,0.4244,0.1843,0.2570,0.6176
ddim,2,2,150,0.0274,600,polar2,polar,125,374,0.9947,0.9592,0.9801,0.9724,0.4837,0.2172,0.2997,0.6399
ddim,2,2,150,0.0274,600,polar3,polar,125,374,0.9947,0.9572,0.9796,0.9711,0.4131,0.1606,0.2313,0.6055
ddim,2,2,150,0.0274,600,polar8,polar,125,374,0.9947,0.9577,0.9802,0.9714,0.4320,0.1624,0.2361,0.6081
ddim,2,2,150,0.0274,600,mlp,mlp,125,374,0.9947,0.9591,0.9812,0.9722,0.4974,0.1752,0.2591,0.6202
ddim,2,2,150,0.0274,600,knn,knn,250,750,0.9907,0.9355,0.9557,0.9538,0.2574,0.2208,0.2377,0.5967
ddim,2,2,150,0.0274,600,altered_knn,altered_knn,250,500,0.9907,0.9150,0.9294,0.9497,0.1613,0.4051,0.2308,0.5801
ddim,2,2,150,0.0274,600,kernel,kernel,250,750,0.9907,0.9462,0.9682,0.9608,0.3640,0.1661,0.2281,0.5981
ddim,2,2,150,0.0274,600,linear,linear,250,750,0.9907,0.6967,0.6947,0.8168,0.0661,0.7664,0.1216,0.4082
ddim,2,2,150,0.0274,600,quadratic,quadratic,250,750,0.9907,0.9594,0.9819,0.9732,0.4341,0.1624,0.2364,0.6091
ddim,2,2,150,0.0274,600,polar2,polar,250,750,0.9907,0.9575,0.9794,0.9713,0.4267,0.1807,0.2538,0.6166
ddim,2,2,150,0.0274,600,polar3,polar,250,750,0.9907,0.9574,0.9796,0.9713,0.4234,0.1715,0.2442,0.6119
ddim,2,2,150,0.0274,600,polar8,polar,250,750,0.9907,0.9575,0.9796,0.9713,0.4253,0.1715,0.2445,0.6121
ddim,2,2,150,0.0274,600,mlp,mlp,250,750,0.9907,0.9581,0.9804,0.9716,0.4577,0.1679,0.2457,0.6130
ddim,2,2,150,0.0274,600,knn,knn,500,1500,0.9873,0.9483,0.9661,0.9648,0.3501,0.3175,0.3330,0.6495
ddim,2,2,150,0.0274,600,altered_knn,altered_knn,500,1000,0.9873,0.9264,0.9467,0.9516,0.1501,0.2044,0.1731,0.5599
ddim,2,2,150,0.0274,600,kernel,kernel,500,1500,0.9873,0.9535,0.9733,0.9669,0.4710,0.2518,0.3282,0.6507
ddim,2,2,150,0.0274,600,linear,linear,500,1500,0.9873,0.7059,0.7039,0.8235,0.0687,0.7755,0.1263,0.4151
ddim,2,2,150,0.0274,600,quadratic,quadratic,500,1500,0.9873,0.9584,0.9801,0.9724,0.4187,0.1880,0.2594,0.6197
ddim,2,2,150,0.0274,600,polar2,polar,500,1500,0.9873,0.9577,0.9788,0.9715,0.4368,0.2080,0.2818,0.6303
ddim,2,2,150,0.0274,600,polar3,polar,500,1500,0.9873,0.9574,0.9787,0.9713,0.4308,0.2044,0.2772,0.6279
ddim,2,2,150,0.0274,600,polar8,polar,500,1500,0.9873,0.9571,0.9787,0.9712,0.4102,0.1916,0.2612,0.6199
ddim,2,2,150,0.0274,600,mlp,mlp,500,1500,0.9873,0.9574,0.9794,0.9712,0.4254,0.1770,0.2500,0.6147
ddim,2,2,150,0.0274,600,knn,knn,1000,3000,0.9873,0.9510,0.9679,0.9681,0.3477,0.3522,0.3500,0.6589
ddim,2,2,150,0.0274,600,altered_knn,altered_knn,1000,2000,0.9873,0.9448,0.9650,0.9650,0.2267,0.2263,0.2265,0.5958
ddim,2,2,150,0.0274,600,kernel,kernel,1000,3000,0.9873,0.9543,0.9731,0.9685,0.4290,0.2865,0.3435,0.6583
ddim,2,2,150,0.0274,600,linear,linear,1000,3000,0.9873,0.6852,0.6826,0.8088,0.0645,0.7774,0.1192,0.4009
ddim,2,2,150,0.0274,600,quadratic,quadratic,1000,3000,0.9873,0.9574,0.9784,0.9712,0.4398,0.2135,0.2875,0.6329
ddim,2,2,150,0.0274,600,polar2,polar,1000,3000,0.9873,0.9578,0.9787,0.9717,0.4354,0.2153,0.2882,0.6334
ddim,2,2,150,0.0274,600,polar3,polar,1000,3000,0.9873,0.9580,0.9790,0.9717,0.4521,0.2153,0.2917,0.6353
ddim,2,2,150,0.0274,600,polar8,polar,1000,3000,0.9873,0.9579,0.9792,0.9717,0.4422,0.2026,0.2778,0.6285
ddim,2,2,150,0.0274,600,mlp,mlp,1000,3000,0.9873,0.9576,0.9794,0.9714,0.4310,0.1825,0.2564,0.6179
ddim,2,4,150,0.0297,600,analytic,analytic,0,0,nan,0.9323,0.9546,0.9446,0.6040,0.2054,0.3065,0.6306
ddim,2,4,150,0.0297,600,knn,knn,125,748,0.9372,0.8465,0.8657,0.8611,0.3385,0.2205,0.2671,0.5664
ddim,2,4,150,0.0297,600,altered_knn,altered_knn,125,500,0.9372,0.8869,0.9133,0.9005,0.1875,0.0253,0.0445,0.4789
ddim,2,4,150,0.0297,600,kernel,kernel,125,748,0.9372,0.8784,0.8972,0.8960,0.2852,0.2660,0.2753,0.5862
ddim,2,4,150,0.0297,600,linear,linear,125,748,0.9372,0.1977,0.1833,0.2539,0.0243,0.6650,0.0469,0.1151
ddim,2,4,150,0.0297,600,quadratic,quadratic,125,748,0.9372,0.9116,0.9312,0.9271,0.3876,0.2727,0.3202,0.6257
ddim,2,4,150,0.0297,600,polar2,polar,125,748,0.9372,0.9223,0.9408,0.9392,0.3533,0.3182,0.3348,0.6378
ddim,2,4,150,0.0297,600,polar3,polar,125,748,0.9372,0.9286,0.9467,0.9453,0.3688,0.3384,0.3529,0.6498
ddim,2,4,150,0.0297,600,polar8,polar,125,748,0.9372,0.9297,0.9506,0.9448,0.3899,0.2475,0.3028,0.6267
ddim,2,4,150,0.0297,600,mlp,mlp,125,748,0.9372,0.9267,0.9482,0.9429,0.3402,0.2239,0.2701,0.6091
ddim,2,4,150,0.0297,600,knn,knn,250,1500,0.9240,0.8929,0.9126,0.9107,0.2754,0.2508,0.2626,0.5876
ddim,2,4,150,0.0297,600,altered_knn,altered_knn,250,1000,0.9240,0.9016,0.9283,0.9157,0.1915,0.0303,0.0523,0.4903
ddim,2,4,150,0.0297,600,kernel,kernel,250,1500,0.9240,0.9068,0.9271,0.9254,0.2659,0.2458,0.2555,0.5913
ddim,2,4,150,0.0297,600,linear,linear,250,1500,0.9240,0.1843,0.1706,0.2434,0.0228,0.6330,0.0441,0.1073
ddim,2,4,150,0.0297,600,quadratic,quadratic,250,1500,0.9240,0.9178,0.9376,0.9331,0.3951,0.2727,0.3227,0.6302
ddim,2,4,150,0.0297,600,polar2,polar,250,1500,0.9240,0.9190,0.9380,0.9375,0.2904,0.2997,0.2949,0.6165
ddim,2,4,150,0.0297,600,polar3,polar,250,1500,0.9240,0.9307,0.9497,0.9458,0.4116,0.3098,0.3535,0.6516
ddim,2,4,150,0.0297,600,polar8,polar,250,1500,0.9240,0.9282,0.9486,0.9432,0.3974,0.2609,0.3150,0.6318
ddim,2,4,150,0.0297,600,mlp,mlp,250,1500,0.9240,0.9304,0.9518,0.9440,0.4642,0.2290,0.3067,0.6292
ddim,2,4,150,0.0297,600,knn,knn,500,3000,0.9163,0.9017,0.9201,0.9231,0.2373,0.2997,0.2649,0.5925
ddim,2,4,150,0.0297,600,altered_knn,altered_knn,500,2000,0.9163,0.8960,0.9216,0.9196,0.0649,0.0589,0.0618,0.4917
ddim,2,4,150,0.0297,600,kernel,kernel,500,3000,0.9163,0.9089,0.9285,0.9304,0.2312,0.2694,0.2488,0.5887
ddim,2,4,150,0.0297,600,linear,linear,500,3000,0.9163,0.1882,0.1747,0.2483,0.0229,0.6313,0.0442,0.1094
ddim,2,4,150,0.0297,600,quadratic,quadratic,500,3000,0.9163,0.9164,0.9359,0.9324,0.3595,0.2778,0.3134,0.6247
ddim,2,4,150,0.0297,600,polar2,polar,500,3000,0.9163,0.9110,0.9301,0.9324,0.2308,0.2879,0.2562,0.5931
ddim,2,4,150,0.0297,600,polar3,polar,500,3000,0.9163,0.9250,0.9438,0.9427,0.3280,0.3114,0.3195,0.6317
ddim,2,4,150,0.0297,600,polar8,polar,500,3000,0.9163,0.9252,0.9446,0.9417,0.3544,0.2929,0.3207,0.6326
ddim,2,4,150,0.0297,600,mlp,mlp,500,3000,0.9163,0.9312,0.9519,0.9444,0.4951,0.2559,0.3374,0.6446
ddim,2,4,150,0.0297,600,knn,knn,1000,6000,0.9177,0.9149,0.9341,0.9369,0.2334,0.2896,0.2585,0.5963
ddim,2,4,150,0.0297,600,altered_knn,altered_knn,1000,4000,0.9177,0.8803,0.9000,0.9244,0.0863,0.2357,0.1264,0.5132
ddim,2,4,150,0.0297,600,kernel,kernel,1000,6000,0.9177,0.9156,0.9351,0.9366,0.2463,0.2795,0.2618,0.5985
