sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,4,16,3,0.0130,0.0006,altered_knn,altered_knn,20000,320000,0.8918,0.0031,0.9022,0.0030,0.9032,0.0028,0.0885,0.0055,0.1047,0.0119,0.0952,0.0019,0.4987,0.0007
ddim,4,16,3,0.0130,0.0006,quadratic,quadratic,20000,480000,0.8949,0.0049,0.9005,0.0050,0.9163,0.0052,0.1281,0.0072,0.4651,0.0042,0.2007,0.0087,0.5506,0.0043
ddim,4,16,3,0.0130,0.0006,quadratic_cal,quadratic,20000,480000,0.9178,0.0059,0.9260,0.0060,0.9248,0.0056,0.3530,0.0193,0.2912,0.0062,0.3187,0.0045,0.6224,0.0049
ddim,4,16,3,0.0130,0.0006,polar8,polar,20000,480000,0.9662,0.0016,0.9724,0.0013,0.9744,0.0014,0.3757,0.0055,0.5016,0.0142,0.4294,0.0022,0.7009,0.0010
ddim,4,16,3,0.0130,0.0006,polar8_cal,polar,20000,480000,0.9687,0.0016,0.9758,0.0014,0.9748,0.0014,0.5031,0.0212,0.4288,0.0180,0.4622,0.0015,0.7190,0.0004
ddim,4,16,3,0.0130,0.0006,knn,knn,50000,1200000,0.9016,0.0035,0.9077,0.0033,0.9144,0.0034,0.2060,0.0032,0.4409,0.0112,0.2807,0.0013,0.5942,0.0010
ddim,4,16,3,0.0130,0.0006,altered_knn,altered_knn,50000,800000,0.9061,0.0033,0.9164,0.0029,0.9177,0.0031,0.0999,0.0048,0.1238,0.0110,0.1105,0.0072,0.5134,0.0043
ddim,4,16,3,0.0130,0.0006,quadratic,quadratic,50000,1200000,0.8947,0.0054,0.9004,0.0055,0.9204,0.0056,0.1057,0.0038,0.4586,0.0019,0.1717,0.0050,0.5361,0.0028
ddim,4,16,3,0.0130,0.0006,quadratic_cal,quadratic,50000,1200000,0.9259,0.0062,0.9348,0.0061,0.9336,0.0062,0.2983,0.0135,0.2488,0.0033,0.2711,0.0039,0.6029,0.0032
ddim,4,16,3,0.0130,0.0006,polar8,polar,50000,1200000,0.9675,0.0013,0.9738,0.0012,0.9752,0.0013,0.3965,0.0088,0.4921,0.0135,0.4390,0.0061,0.7064,0.0025
ddim,4,16,3,0.0130,0.0006,polar8_cal,polar,50000,1200000,0.9695,0.0014,0.9766,0.0013,0.9755,0.0013,0.5162,0.0243,0.4293,0.0207,0.4677,0.0040,0.7222,0.0014
