process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0144,400,1500,0.9907,analytic,analytic,0.9830,0.9924,0.9897,0.5440,0.3426,0.4204,0.7064
flow,2,2,150,0.0144,400,1500,0.9907,knn,knn,0.9602,0.9676,0.9722,0.2731,0.4498,0.3399,0.6538
flow,2,2,150,0.0144,400,1500,0.9907,altered_knn,altered_knn,0.9374,0.9480,0.9584,0.0864,0.2145,0.1231,0.5356
flow,2,2,150,0.0144,400,1500,0.9907,kernel,kernel,0.9665,0.9751,0.9742,0.4370,0.3841,0.4088,0.6920
flow,2,2,150,0.0144,400,1500,0.9907,linear,linear,0.6910,0.6928,0.8152,0.0265,0.5709,0.0507,0.3717
flow,2,2,150,0.0144,400,1500,0.9907,quadratic,quadratic,0.9803,0.9896,0.9877,0.4717,0.3460,0.3992,0.6944
flow,2,2,150,0.0144,400,1500,0.9907,polar2,polar,0.9829,0.9913,0.9896,0.5315,0.4083,0.4618,0.7266
flow,2,2,150,0.0144,400,1500,0.9907,polar3,polar,0.9826,0.9914,0.9897,0.5068,0.3875,0.4392,0.7153
flow,2,2,150,0.0144,400,1500,0.9907,polar8,polar,0.9824,0.9915,0.9894,0.5096,0.3668,0.4266,0.7090
flow,2,2,150,0.0144,400,1500,0.9907,mlp,mlp,0.9833,0.9921,0.9898,0.5692,0.3841,0.4587,0.7254
flow,2,4,150,0.0151,400,3000,0.9153,analytic,analytic,0.9728,0.9832,0.9806,0.4523,0.2980,0.3593,0.6712
flow,2,4,150,0.0151,400,3000,0.9153,knn,knn,0.9283,0.9373,0.9467,0.1486,0.3444,0.2076,0.5724
flow,2,4,150,0.0151,400,3000,0.9153,altered_knn,altered_knn,0.9219,0.9356,0.9314,0.0862,0.0331,0.0478,0.4917
flow,2,4,150,0.0151,400,3000,0.9153,kernel,kernel,0.9337,0.9429,0.9523,0.1468,0.3377,0.2046,0.5738
flow,2,4,150,0.0151,400,3000,0.9153,linear,linear,0.1802,0.1715,0.2542,0.0137,0.7483,0.0268,0.0992
flow,2,4,150,0.0151,400,3000,0.9153,quadratic,quadratic,0.9487,0.9581,0.9610,0.2452,0.3411,0.2853,0.6217
flow,2,4,150,0.0151,400,3000,0.9153,polar2,polar,0.9408,0.9500,0.9597,0.1435,0.3344,0.2008,0.5754
flow,2,4,150,0.0151,400,3000,0.9153,polar3,polar,0.9567,0.9657,0.9709,0.2179,0.3709,0.2745,0.6201
flow,2,4,150,0.0151,400,3000,0.9153,polar8,polar,0.9632,0.9719,0.9756,0.2667,0.3974,0.3191,0.6455
flow,2,4,150,0.0151,400,3000,0.9153,mlp,mlp,0.9701,0.9803,0.9787,0.3917,0.3113,0.3469,0.6636
flow,2,8,150,0.0299,400,6000,0.8822,analytic,analytic,0.8956,0.9169,0.9083,0.5234,0.2057,0.2953,0.6061
flow,2,8,150,0.0299,400,6000,0.8822,knn,knn,0.8605,0.8769,0.8876,0.1834,0.3294,0.2356,0.5563
flow,2,8,150,0.0299,400,6000,0.8822,altered_knn,altered_knn,0.8630,0.8886,0.8763,0.2917,0.0351,0.0627,0.4756
flow,2,8,150,0.0299,400,6000,0.8822,kernel,kernel,0.0299,0.0000,0.0000,0.0299,1.0000,0.0581,0.0290
flow,2,8,150,0.0299,400,6000,0.8822,linear,linear,0.0920,0.0703,0.1139,0.0258,0.7960,0.0500,0.0602
flow,2,8,150,0.0299,400,6000,0.8822,quadratic,quadratic,0.8500,0.8642,0.8858,0.1539,0.3880,0.2204,0.5423
flow,2,8,150,0.0299,400,6000,0.8822,polar2,polar,0.8382,0.8527,0.8719,0.1467,0.3679,0.2097,0.5312
flow,2,8,150,0.0299,400,6000,0.8822,polar3,polar,0.8697,0.8865,0.8944,0.2002,0.3261,0.2481,0.5673
flow,2,8,150,0.0299,400,6000,0.8822,polar8,polar,0.8911,0.9086,0.9089,0.3094,0.3244,0.3167,0.6127
flow,2,8,150,0.0299,400,6000,0.8822,mlp,mlp,0.8945,0.9149,0.9078,0.4502,0.2341,0.3080,0.6114
flow,2,16,150,0.0193,400,12000,0.8972,analytic,analytic,0.8772,0.8900,0.8855,0.4943,0.2254,0.3096,0.5998
flow,2,16,150,0.0193,400,12000,0.8972,knn,knn,0.8297,0.8384,0.8535,0.1430,0.3886,0.2091,0.5237
flow,2,16,150,0.0193,400,12000,0.8972,altered_knn,altered_knn,0.8026,0.8134,0.8507,0.0471,0.2539,0.0795,0.4464
flow,2,16,150,0.0193,400,12000,0.8972,kernel,kernel,0.0193,0.0000,0.0000,0.0193,1.0000,0.0379,0.0189
flow,2,16,150,0.0193,400,12000,0.8972,linear,linear,0.0253,0.0103,0.0201,0.0154,0.7876,0.0303,0.0203
flow,2,16,150,0.0193,400,12000,0.8972,quadratic,quadratic,0.7779,0.7831,0.8409,0.0640,0.5130,0.1138,0.4485
flow,2,16,150,0.0193,400,12000,0.8972,polar2,polar,0.8496,0.8592,0.8637,0.2456,0.3653,0.2937,0.5765
flow,2,16,150,0.0193,400,12000,0.8972,polar3,polar,0.8674,0.8777,0.8793,0.2876,0.3472,0.3146,0.5961
flow,2,16,150,0.0193,400,12000,0.8972,polar8,polar,0.8747,0.8856,0.8849,0.3445,0.3187,0.3311,0.6083
flow,2,16,150,0.0193,400,12000,0.8972,mlp,mlp,0.8663,0.8784,0.8761,0.3865,0.2513,0.3046,0.5915
flow,4,2,150,0.0192,400,1500,0.9907,analytic,analytic,0.9552,0.9669,0.9616,0.8166,0.3603,0.5000,0.7334
flow,4,2,150,0.0192,400,1500,0.9907,knn,knn,0.8557,0.8699,0.8629,0.7692,0.1305,0.2232,0.5465
flow,4,2,150,0.0192,400,1500,0.9907,altered_knn,altered_knn,0.7437,0.7481,0.8500,0.0393,0.5170,0.0730,0.4106
flow,4,2,150,0.0192,400,1500,0.9907,kernel,kernel,0.8682,0.8832,0.8754,0.9524,0.1044,0.1882,0.5357
flow,4,2,150,0.0192,400,1500,0.9907,linear,linear,0.6742,0.6789,0.8046,0.0257,0.4334,0.0485,0.3637
flow,4,2,150,0.0192,400,1500,0.9907,quadratic,quadratic,0.9511,0.9640,0.9578,0.8473,0.2898,0.4319,0.6980
flow,4,2,150,0.0192,400,1500,0.9907,polar2,polar,0.9539,0.9662,0.9607,0.7669,0.3264,0.4579,0.7120
flow,4,2,150,0.0192,400,1500,0.9907,polar3,polar,0.9541,0.9661,0.9610,0.7371,0.3368,0.4624,0.7142
flow,4,2,150,0.0192,400,1500,0.9907,polar8,polar,0.9546,0.9674,0.9628,0.5876,0.2977,0.3951,0.6813
flow,4,2,150,0.0192,400,1500,0.9907,mlp,mlp,0.9551,0.9670,0.9623,0.6875,0.3446,0.4591,0.7131
flow,4,4,150,0.0138,400,3000,0.9617,analytic,analytic,0.9214,0.9285,0.9268,0.5795,0.4094,0.4798,0.7042
flow,4,4,150,0.0138,400,3000,0.9617,knn,knn,0.7451,0.7524,0.7559,0.2081,0.2246,0.2160,0.4842
flow,4,4,150,0.0138,400,3000,0.9617,altered_knn,altered_knn,0.8201,0.8298,0.8487,0.0326,0.1304,0.0521,0.4410
flow,4,4,150,0.0138,400,3000,0.9617,kernel,kernel,0.7840,0.7917,0.7920,0.5593,0.2391,0.3350,0.5634
flow,4,4,150,0.0138,400,3000,0.9617,linear,linear,0.2265,0.2208,0.3099,0.0113,0.6341,0.0222,0.1215
flow,4,4,150,0.0138,400,3000,0.9617,quadratic,quadratic,0.8993,0.9071,0.9054,0.5307,0.3442,0.4176,0.6624
flow,4,4,150,0.0138,400,3000,0.9617,polar2,polar,0.9082,0.9149,0.9168,0.3181,0.4275,0.3648,0.6398
flow,4,4,150,0.0138,400,3000,0.9617,polar3,polar,0.9148,0.9212,0.9221,0.3830,0.4565,0.4165,0.6689
flow,4,4,150,0.0138,400,3000,0.9617,polar8,polar,0.9173,0.9242,0.9252,0.3662,0.4312,0.3960,0.6601
flow,4,4,150,0.0138,400,3000,0.9617,mlp,mlp,0.9187,0.9261,0.9267,0.3649,0.3913,0.3776,0.6519
flow,4,8,150,0.0158,400,6000,0.9392,analytic,analytic,0.9435,0.9539,0.9505,0.5284,0.2952,0.3788,0.6664
flow,4,8,150,0.0158,400,6000,0.9392,knn,knn,0.6973,0.7034,0.7260,0.0648,0.3143,0.1074,0.4054
flow,4,8,150,0.0158,400,6000,0.9392,altered_knn,altered_knn,0.7860,0.7941,0.8309,0.0426,0.2794,0.0739,0.4340
flow,4,8,150,0.0158,400,6000,0.9392,kernel,kernel,0.0158,0.0000,0.0000,0.0158,1.0000,0.0310,0.0155
flow,4,8,150,0.0158,400,6000,0.9392,linear,linear,0.1123,0.1013,0.1611,0.0141,0.8000,0.0277,0.0645
flow,4,8,150,0.0158,400,6000,0.9392,quadratic,quadratic,0.8908,0.9004,0.9002,0.2997,0.2921,0.2958,0.5981
flow,4,8,150,0.0158,400,6000,0.9392,polar2,polar,0.9126,0.9222,0.9246,0.2335,0.3143,0.2679,0.5951
flow,4,8,150,0.0158,400,6000,0.9392,polar3,polar,0.9310,0.9403,0.9422,0.2748,0.3524,0.3088,0.6245
flow,4,8,150,0.0158,400,6000,0.9392,polar8,polar,0.9348,0.9444,0.9453,0.2961,0.3365,0.3150,0.6297
flow,4,8,150,0.0158,400,6000,0.9392,mlp,mlp,0.9382,0.9478,0.9494,0.2768,0.3365,0.3037,0.6258
flow,4,16,150,0.0287,400,12000,0.9558,analytic,analytic,0.9006,0.9226,0.9134,0.4789,0.1585,0.2382,0.5804
flow,4,16,150,0.0287,400,12000,0.9558,knn,knn,0.6611,0.6709,0.6993,0.0881,0.3310,0.1392,0.4050
flow,4,16,150,0.0287,400,12000,0.9558,altered_knn,altered_knn,0.7765,0.7935,0.8100,0.0858,0.2038,0.1208,0.4571
flow,4,16,150,0.0287,400,12000,0.9558,kernel,kernel,0.0287,0.0000,0.0000,0.0287,1.0000,0.0558,0.0279
flow,4,16,150,0.0287,400,12000,0.9558,linear,linear,0.0620,0.0384,0.0733,0.0259,0.8641,0.0503,0.0443
flow,4,16,150,0.0287,400,12000,0.9558,quadratic,quadratic,0.8627,0.8791,0.8872,0.1893,0.3084,0.2346,0.5568
flow,4,16,150,0.0287,400,12000,0.9558,polar2,polar,0.8862,0.9044,0.9033,0.2900,0.2683,0.2787,0.5916
flow,4,16,150,0.0287,400,12000,0.9558,polar3,polar,0.8855,0.9041,0.9026,0.2894,0.2561,0.2717,0.5879
flow,4,16,150,0.0287,400,12000,0.9558,polar8,polar,0.8924,0.9121,0.9077,0.3308,0.2282,0.2701,0.5911
