process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,500,1500,0.9853,analytic,analytic,0.9584,0.9808,0.9717,0.4632,0.1606,0.2385,0.6097
ddim,2,2,150,0.0274,500,1500,0.9853,knn,knn,0.9480,0.9657,0.9649,0.3372,0.3175,0.3271,0.6464
ddim,2,2,150,0.0274,500,1500,0.9853,altered_knn,altered_knn,0.9271,0.9476,0.9521,0.1493,0.1989,0.1706,0.5591
ddim,2,2,150,0.0274,500,1500,0.9853,kernel,kernel,0.9534,0.9731,0.9670,0.4557,0.2536,0.3259,0.6495
ddim,2,2,150,0.0274,500,1500,0.9853,linear,linear,0.7067,0.7048,0.8241,0.0689,0.7755,0.1266,0.4157
ddim,2,2,150,0.0274,500,1500,0.9853,quadratic,quadratic,0.9584,0.9799,0.9724,0.4252,0.1971,0.2693,0.6246
ddim,2,2,150,0.0274,500,1500,0.9853,polar2,polar,0.9576,0.9785,0.9715,0.4343,0.2172,0.2895,0.6340
ddim,2,2,150,0.0274,500,1500,0.9853,polar3,polar,0.9573,0.9785,0.9713,0.4286,0.2080,0.2801,0.6293
ddim,2,2,150,0.0274,500,1500,0.9853,polar8,polar,0.9569,0.9784,0.9712,0.4053,0.1953,0.2635,0.6210
ddim,2,2,150,0.0274,500,1500,0.9853,mlp,mlp,0.9569,0.9788,0.9710,0.4108,0.1807,0.2510,0.6149
ddim,2,4,150,0.0297,500,3000,0.9107,analytic,analytic,0.9321,0.9544,0.9445,0.5922,0.2054,0.3050,0.6297
ddim,2,4,150,0.0297,500,3000,0.9107,knn,knn,0.9023,0.9205,0.9232,0.2460,0.3081,0.2735,0.5970
ddim,2,4,150,0.0297,500,3000,0.9107,altered_knn,altered_knn,0.8967,0.9224,0.9199,0.0641,0.0556,0.0595,0.4910
ddim,2,4,150,0.0297,500,3000,0.9107,kernel,kernel,0.9093,0.9286,0.9305,0.2392,0.2795,0.2578,0.5932
ddim,2,4,150,0.0297,500,3000,0.9107,linear,linear,0.1899,0.1764,0.2501,0.0229,0.6296,0.0442,0.1103
ddim,2,4,150,0.0297,500,3000,0.9107,quadratic,quadratic,0.9164,0.9358,0.9325,0.3596,0.2845,0.3177,0.6267
ddim,2,4,150,0.0297,500,3000,0.9107,polar2,polar,0.9117,0.9307,0.9331,0.2338,0.2912,0.2594,0.5951
ddim,2,4,150,0.0297,500,3000,0.9107,polar3,polar,0.9236,0.9424,0.9422,0.3078,0.3114,0.3096,0.6260
ddim,2,4,150,0.0297,500,3000,0.9107,polar8,polar,0.9260,0.9451,0.9421,0.3711,0.3030,0.3336,0.6394
ddim,2,4,150,0.0297,500,3000,0.9107,mlp,mlp,0.9333,0.9539,0.9456,0.5612,0.2626,0.3578,0.6558
ddim,2,8,150,0.0342,500,6000,0.8800,analytic,analytic,0.8653,0.8912,0.8809,0.3611,0.1332,0.1947,0.5429
ddim,2,8,150,0.0342,500,6000,0.8800,knn,knn,0.8302,0.8503,0.8601,0.1560,0.2606,0.1952,0.5227
ddim,2,8,150,0.0342,500,6000,0.8800,altered_knn,altered_knn,0.8525,0.8819,0.8676,0.1918,0.0205,0.0370,0.4595
ddim,2,8,150,0.0342,500,6000,0.8800,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,500,6000,0.8800,linear,linear,0.0919,0.0718,0.1107,0.0247,0.6633,0.0477,0.0597
ddim,2,8,150,0.0342,500,6000,0.8800,quadratic,quadratic,0.8256,0.8452,0.8635,0.1199,0.2723,0.1665,0.5058
ddim,2,8,150,0.0342,500,6000,0.8800,polar2,polar,0.8086,0.8276,0.8445,0.1236,0.2738,0.1703,0.4989
ddim,2,8,150,0.0342,500,6000,0.8800,polar3,polar,0.8438,0.8653,0.8703,0.1684,0.2343,0.1960,0.5306
ddim,2,8,150,0.0342,500,6000,0.8800,polar8,polar,0.8591,0.8820,0.8799,0.2316,0.2123,0.2215,0.5518
ddim,2,8,150,0.0342,500,6000,0.8800,mlp,mlp,0.8645,0.8896,0.8813,0.3064,0.1552,0.2060,0.5478
ddim,2,16,150,0.0522,500,12000,0.8963,analytic,analytic,0.7697,0.8079,0.7899,0.4293,0.0785,0.1327,0.4703
ddim,2,16,150,0.0522,500,12000,0.8963,knn,knn,0.7411,0.7710,0.7720,0.1953,0.2000,0.1976,0.4843
ddim,2,16,150,0.0522,500,12000,0.8963,altered_knn,altered_knn,0.7120,0.7434,0.7616,0.0767,0.1416,0.0995,0.4215
ddim,2,16,150,0.0522,500,12000,0.8963,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,500,12000,0.8963,linear,linear,0.0608,0.0127,0.0258,0.0496,0.9330,0.0943,0.0535
ddim,2,16,150,0.0522,500,12000,0.8963,quadratic,quadratic,0.7079,0.7184,0.7599,0.1746,0.5187,0.2613,0.4898
ddim,2,16,150,0.0522,500,12000,0.8963,polar2,polar,0.7671,0.7976,0.7874,0.3505,0.2144,0.2660,0.5318
ddim,2,16,150,0.0522,500,12000,0.8963,polar3,polar,0.7763,0.8096,0.7970,0.3606,0.1732,0.2340,0.5218
ddim,2,16,150,0.0522,500,12000,0.8963,polar8,polar,0.7728,0.8073,0.7937,0.3821,0.1474,0.2127,0.5100
ddim,2,16,150,0.0522,500,12000,0.8963,mlp,mlp,0.7621,0.7984,0.7828,0.4044,0.1053,0.1670,0.4827
ddim,4,2,150,0.0306,500,1500,0.9833,analytic,analytic,0.9646,0.9878,0.9766,0.8304,0.2316,0.3622,0.6750
