process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0084,1000,analytic,analytic,0,0,nan,0.9954,0.9968,0.9976,0.6961,0.8254,0.7553,0.8761
flow,2,2,150,0.0084,1000,analytic_T_train,analytic,0,0,nan,0.9954,0.9968,0.9976,0.6915,0.8278,0.7536,0.8752
flow,2,2,150,0.0084,1000,knn,knn,6667,20002,1.0000,0.9924,0.9932,0.9961,0.5357,0.9053,0.6731,0.8331
flow,2,2,150,0.0084,1000,kernel,kernel,6667,20002,1.0000,0.9890,0.9896,0.9942,0.4404,0.9207,0.5958,0.7927
flow,2,2,150,0.0084,1000,altered_knn,altered_knn,6667,13330,1.0000,0.9840,0.9908,0.9913,0.1607,0.1763,0.1682,0.5795
flow,2,2,150,0.0084,1000,linear,linear,6667,20002,1.0000,0.6520,0.6531,0.7882,0.0126,0.5213,0.0247,0.3389
flow,2,2,150,0.0084,1000,linear_cal,linear,6667,20002,1.0000,0.9820,0.9884,0.9907,0.1527,0.2373,0.1858,0.5871
flow,2,2,150,0.0084,1000,quadratic,quadratic,6667,20002,1.0000,0.9880,0.9913,0.9938,0.3789,0.5964,0.4634,0.7274
flow,2,2,150,0.0084,1000,quadratic_cal,quadratic,6667,20002,1.0000,0.9906,0.9944,0.9951,0.4720,0.5491,0.5077,0.7510
flow,2,2,150,0.0084,1000,polar2,polar,6667,20002,1.0000,0.9944,0.9955,0.9971,0.6254,0.8692,0.7274,0.8614
flow,2,2,150,0.0084,1000,polar2_cal,polar,6667,20002,1.0000,0.9956,0.9973,0.9976,0.7450,0.7988,0.7710,0.8842
flow,2,2,150,0.0084,1000,polar3,polar,6667,20002,1.0000,0.9952,0.9961,0.9976,0.6595,0.8882,0.7569,0.8765
flow,2,2,150,0.0084,1000,polar3_cal,polar,6667,20002,1.0000,0.9957,0.9971,0.9978,0.7149,0.8296,0.7680,0.8825
flow,2,2,150,0.0084,1000,polar8,polar,6667,20002,1.0000,0.9953,0.9966,0.9976,0.6800,0.8450,0.7536,0.8751
flow,2,2,150,0.0084,1000,polar8_cal,polar,6667,20002,1.0000,0.9954,0.9967,0.9977,0.6828,0.8408,0.7536,0.8752
flow,2,2,150,0.0084,1000,mlp,mlp,6667,20002,1.0000,0.9955,0.9969,0.9977,0.7015,0.8219,0.7569,0.8769
flow,2,2,150,0.0084,1000,mlp_cal,mlp,6667,20002,1.0000,0.9954,0.9968,0.9976,0.6923,0.8361,0.7574,0.8771
flow,2,2,150,0.0084,1000,knn,knn,16667,50002,1.0000,0.9948,0.9956,0.9974,0.6400,0.9077,0.7507,0.8731
flow,2,2,150,0.0084,1000,kernel,kernel,16667,50002,1.0000,0.9917,0.9920,0.9958,0.5069,0.9568,0.6627,0.8274
flow,2,2,150,0.0084,1000,altered_knn,altered_knn,16667,33330,1.0000,0.9817,0.9874,0.9907,0.1738,0.3112,0.2231,0.6052
flow,2,2,150,0.0084,1000,linear,linear,16667,50002,1.0000,0.6523,0.6534,0.7884,0.0127,0.5213,0.0247,0.3391
flow,2,2,150,0.0084,1000,linear_cal,linear,16667,50002,1.0000,0.9816,0.9880,0.9904,0.1437,0.2237,0.1750,0.5815
flow,2,2,150,0.0084,1000,quadratic,quadratic,16667,50002,1.0000,0.9879,0.9912,0.9936,0.3785,0.5935,0.4622,0.7267
flow,2,2,150,0.0084,1000,quadratic_cal,quadratic,16667,50002,1.0000,0.9905,0.9942,0.9949,0.4694,0.5485,0.5059,0.7500
flow,2,2,150,0.0084,1000,polar2,polar,16667,50002,1.0000,0.9944,0.9955,0.9971,0.6259,0.8680,0.7273,0.8614
flow,2,2,150,0.0084,1000,polar2_cal,polar,16667,50002,1.0000,0.9956,0.9973,0.9976,0.7430,0.7988,0.7699,0.8836
flow,2,2,150,0.0084,1000,polar3,polar,16667,50002,1.0000,0.9952,0.9962,0.9976,0.6646,0.8805,0.7574,0.8768
flow,2,2,150,0.0084,1000,polar3_cal,polar,16667,50002,1.0000,0.9957,0.9972,0.9978,0.7181,0.8183,0.7649,0.8811
flow,2,2,150,0.0084,1000,polar8,polar,16667,50002,1.0000,0.9954,0.9967,0.9977,0.6867,0.8444,0.7574,0.8771
flow,2,2,150,0.0084,1000,polar8_cal,polar,16667,50002,1.0000,0.9954,0.9967,0.9977,0.6883,0.8402,0.7567,0.8767
flow,2,2,150,0.0084,1000,mlp,mlp,16667,50002,1.0000,0.9955,0.9970,0.9977,0.7048,0.8207,0.7583,0.8777
flow,2,2,150,0.0084,1000,mlp_cal,mlp,16667,50002,1.0000,0.9954,0.9967,0.9976,0.6906,0.8373,0.7569,0.8768
flow,2,2,150,0.0084,1000,knn,knn,33333,99998,1.0000,0.9954,0.9963,0.9977,0.6748,0.8864,0.7662,0.8813
flow,2,2,150,0.0084,1000,kernel,kernel,33333,99998,1.0000,0.9928,0.9931,0.9964,0.5421,0.9633,0.6938,0.8434
flow,2,2,150,0.0084,1000,altered_knn,altered_knn,33333,66660,1.0000,0.9863,0.9924,0.9931,0.2320,0.2704,0.2497,0.6210
flow,2,2,150,0.0084,1000,linear,linear,33333,99998,1.0000,0.6512,0.6523,0.7876,0.0126,0.5225,0.0247,0.3385
flow,2,2,150,0.0084,1000,linear_cal,linear,33333,99998,1.0000,0.9845,0.9907,0.9921,0.1915,0.2556,0.2190,0.6048
flow,2,2,150,0.0084,1000,quadratic,quadratic,33333,99998,1.0000,0.9877,0.9911,0.9935,0.3746,0.5929,0.4591,0.7251
flow,2,2,150,0.0084,1000,quadratic_cal,quadratic,33333,99998,1.0000,0.9904,0.9942,0.9949,0.4691,0.5479,0.5055,0.7498
flow,2,2,150,0.0084,1000,polar2,polar,33333,99998,1.0000,0.9944,0.9955,0.9971,0.6278,0.8675,0.7284,0.8620
flow,2,2,150,0.0084,1000,polar2_cal,polar,33333,99998,1.0000,0.9956,0.9973,0.9976,0.7437,0.7982,0.7700,0.8836
flow,2,2,150,0.0084,1000,polar3,polar,33333,99998,1.0000,0.9952,0.9961,0.9976,0.6603,0.8822,0.7553,0.8757
