sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,8,0.0268,polar3,polar,10000,120000,0.8762,0.8944,0.8965,0.1818,0.2164,0.1976,0.5460
flow,2,8,0.0268,knn,knn,20000,240000,0.8862,0.9063,0.9001,0.2745,0.1567,0.1995,0.5529
flow,2,8,0.0268,altered_knn,altered_knn,20000,160000,0.8807,0.9042,0.8982,0.0489,0.0280,0.0356,0.4699
flow,2,8,0.0268,polar3,polar,20000,240000,0.8774,0.8956,0.8970,0.1922,0.2201,0.2052,0.5504
flow,2,8,0.0268,knn,knn,50000,600000,0.8877,0.9077,0.9001,0.3466,0.1623,0.2211,0.5644
flow,2,8,0.0268,altered_knn,altered_knn,50000,400000,0.8826,0.9064,0.8984,0.0485,0.0205,0.0288,0.4676
flow,2,8,0.0268,polar3,polar,50000,600000,0.8787,0.8975,0.8975,0.1906,0.1978,0.1941,0.5458
flow,2,8,0.0268,knn,knn,100000,1200000,0.8880,0.9080,0.8999,0.3777,0.1642,0.2289,0.5684
flow,2,8,0.0268,altered_knn,altered_knn,100000,800000,0.8850,0.9091,0.8984,0.0517,0.0112,0.0184,0.4638
flow,2,8,0.0268,polar3,polar,100000,1200000,0.8820,0.9012,0.8991,0.2149,0.1884,0.2008,0.5510
flow,4,2,0.0260,knn,knn,2000,6000,0.8982,0.9183,0.9086,0.7308,0.1462,0.2436,0.5809
flow,4,2,0.0260,altered_knn,altered_knn,2000,4000,0.8487,0.8638,0.9134,0.0561,0.2846,0.0938,0.4788
flow,4,2,0.0260,polar3,polar,2000,6000,0.9699,0.9866,0.9788,0.8483,0.3442,0.4897,0.7382
flow,4,2,0.0260,knn,knn,5000,15000,0.9205,0.9408,0.9312,0.7241,0.1615,0.2642,0.6025
flow,4,2,0.0260,altered_knn,altered_knn,5000,10000,0.9302,0.9546,0.9447,0.0893,0.0192,0.0316,0.4931
flow,4,2,0.0260,polar3,polar,5000,15000,0.9701,0.9868,0.9789,0.8612,0.3462,0.4938,0.7403
