process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,750,1500,0.9907,analytic,analytic,0.9583,0.9808,0.9717,0.4603,0.1588,0.2361,0.6085
ddim,2,2,150,0.0274,750,1500,0.9907,knn,knn,0.9480,0.9658,0.9646,0.3440,0.3139,0.3282,0.6470
ddim,2,2,150,0.0274,750,1500,0.9907,altered_knn,altered_knn,0.9261,0.9464,0.9512,0.1511,0.2044,0.1738,0.5601
ddim,2,2,150,0.0274,750,1500,0.9907,kernel,kernel,0.9537,0.9736,0.9670,0.4790,0.2500,0.3285,0.6511
ddim,2,2,150,0.0274,750,1500,0.9907,linear,linear,0.7052,0.7032,0.8231,0.0686,0.7755,0.1260,0.4146
ddim,2,2,150,0.0274,750,1500,0.9907,quadratic,quadratic,0.9587,0.9805,0.9726,0.4304,0.1861,0.2599,0.6202
ddim,2,2,150,0.0274,750,1500,0.9907,polar2,polar,0.9578,0.9791,0.9716,0.4405,0.2026,0.2775,0.6283
ddim,2,2,150,0.0274,750,1500,0.9907,polar3,polar,0.9578,0.9791,0.9715,0.4440,0.2026,0.2782,0.6287
ddim,2,2,150,0.0274,750,1500,0.9907,polar8,polar,0.9569,0.9786,0.9711,0.4023,0.1880,0.2562,0.6174
ddim,2,2,150,0.0274,750,1500,0.9907,mlp,mlp,0.9576,0.9797,0.9713,0.4378,0.1734,0.2484,0.6141
ddim,2,4,150,0.0297,750,3000,0.9253,analytic,analytic,0.9325,0.9549,0.9447,0.6142,0.2037,0.3059,0.6304
ddim,2,4,150,0.0297,750,3000,0.9253,knn,knn,0.9009,0.9194,0.9221,0.2385,0.2980,0.2650,0.5922
ddim,2,4,150,0.0297,750,3000,0.9253,altered_knn,altered_knn,0.9069,0.9341,0.9216,0.1122,0.0185,0.0318,0.4830
ddim,2,4,150,0.0297,750,3000,0.9253,kernel,kernel,0.9092,0.9288,0.9306,0.2310,0.2660,0.2473,0.5880
ddim,2,4,150,0.0297,750,3000,0.9253,linear,linear,0.1861,0.1725,0.2458,0.0228,0.6313,0.0441,0.1083
ddim,2,4,150,0.0297,750,3000,0.9253,quadratic,quadratic,0.9163,0.9360,0.9322,0.3608,0.2727,0.3106,0.6233
ddim,2,4,150,0.0297,750,3000,0.9253,polar2,polar,0.9111,0.9304,0.9324,0.2311,0.2828,0.2544,0.5924
ddim,2,4,150,0.0297,750,3000,0.9253,polar3,polar,0.9249,0.9440,0.9426,0.3225,0.3013,0.3116,0.6278
ddim,2,4,150,0.0297,750,3000,0.9253,polar8,polar,0.9250,0.9447,0.9415,0.3536,0.2845,0.3153,0.6300
ddim,2,4,150,0.0297,750,3000,0.9253,mlp,mlp,0.9331,0.9542,0.9455,0.5620,0.2441,0.3404,0.6473
ddim,2,8,150,0.0342,750,6000,0.8977,analytic,analytic,0.8658,0.8917,0.8811,0.3808,0.1332,0.1974,0.5445
ddim,2,8,150,0.0342,750,6000,0.8977,knn,knn,0.8319,0.8528,0.8618,0.1492,0.2416,0.1845,0.5186
ddim,2,8,150,0.0342,750,6000,0.8977,altered_knn,altered_knn,0.8527,0.8823,0.8677,0.1724,0.0146,0.0270,0.4547
ddim,2,8,150,0.0342,750,6000,0.8977,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,750,6000,0.8977,linear,linear,0.0899,0.0696,0.1077,0.0248,0.6662,0.0478,0.0587
ddim,2,8,150,0.0342,750,6000,0.8977,quadratic,quadratic,0.8258,0.8455,0.8635,0.1194,0.2694,0.1655,0.5055
ddim,2,8,150,0.0342,750,6000,0.8977,polar2,polar,0.8086,0.8277,0.8441,0.1231,0.2679,0.1687,0.4982
ddim,2,8,150,0.0342,750,6000,0.8977,polar3,polar,0.8436,0.8654,0.8704,0.1640,0.2284,0.1909,0.5281
ddim,2,8,150,0.0342,750,6000,0.8977,polar8,polar,0.8584,0.8817,0.8792,0.2237,0.1991,0.2107,0.5462
ddim,2,8,150,0.0342,750,6000,0.8977,mlp,mlp,0.8648,0.8902,0.8815,0.3098,0.1479,0.2002,0.5452
ddim,2,16,150,0.0522,750,12000,0.9038,analytic,analytic,0.7698,0.8080,0.7898,0.4500,0.0775,0.1322,0.4701
ddim,2,16,150,0.0522,750,12000,0.9038,knn,knn,0.7407,0.7706,0.7717,0.1942,0.1990,0.1966,0.4836
ddim,2,16,150,0.0522,750,12000,0.9038,altered_knn,altered_knn,0.7370,0.7744,0.7687,0.0832,0.0593,0.0693,0.4218
ddim,2,16,150,0.0522,750,12000,0.9038,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,750,12000,0.9038,linear,linear,0.0595,0.0112,0.0229,0.0497,0.9359,0.0944,0.0528
ddim,2,16,150,0.0522,750,12000,0.9038,quadratic,quadratic,0.7076,0.7180,0.7595,0.1746,0.5187,0.2613,0.4896
ddim,2,16,150,0.0522,750,12000,0.9038,polar2,polar,0.7677,0.7984,0.7877,0.3588,0.2115,0.2661,0.5322
ddim,2,16,150,0.0522,750,12000,0.9038,polar3,polar,0.7766,0.8100,0.7972,0.3659,0.1722,0.2342,0.5221
ddim,2,16,150,0.0522,750,12000,0.9038,polar8,polar,0.7731,0.8080,0.7941,0.3760,0.1407,0.2047,0.5064
ddim,2,16,150,0.0522,750,12000,0.9038,mlp,mlp,0.7620,0.7983,0.7826,0.4144,0.1043,0.1667,0.4825
ddim,4,2,150,0.0306,750,1500,0.9887,analytic,analytic,0.9649,0.9878,0.9768,0.8400,0.2398,0.3731,0.6805
ddim,4,2,150,0.0306,750,1500,0.9887,knn,knn,0.8556,0.8799,0.8676,0.7500,0.0881,0.1577,0.5188
ddim,4,2,150,0.0306,750,1500,0.9887,altered_knn,altered_knn,0.7953,0.8061,0.8806,0.0719,0.4568,0.1243,0.4652
ddim,4,2,150,0.0306,750,1500,0.9887,kernel,kernel,0.8844,0.9098,0.8964,1.0000,0.0832,0.1536,0.5317
ddim,4,2,150,0.0306,750,1500,0.9887,linear,linear,0.6750,0.6822,0.8027,0.0424,0.4454,0.0775,0.3799
ddim,4,2,150,0.0306,750,1500,0.9887,quadratic,quadratic,0.9637,0.9880,0.9761,0.8451,0.1958,0.3179,0.6529
ddim,4,2,150,0.0306,750,1500,0.9887,polar2,polar,0.9640,0.9869,0.9761,0.7989,0.2398,0.3689,0.6779
ddim,4,2,150,0.0306,750,1500,0.9887,polar3,polar,0.9643,0.9868,0.9764,0.7778,0.2512,0.3798,0.6833
ddim,4,2,150,0.0306,750,1500,0.9887,polar8,polar,0.9589,0.9823,0.9723,0.6250,0.2202,0.3257,0.6540
ddim,4,2,150,0.0306,750,1500,0.9887,mlp,mlp,0.9625,0.9852,0.9752,0.6977,0.2447,0.3623,0.6738
ddim,4,4,150,0.0205,750,3000,0.9643,analytic,analytic,0.8889,0.9036,0.8975,0.3800,0.1854,0.2492,0.5764
ddim,4,4,150,0.0205,750,3000,0.9643,knn,knn,0.7429,0.7564,0.7564,0.1220,0.0976,0.1084,0.4324
ddim,4,4,150,0.0205,750,3000,0.9643,altered_knn,altered_knn,0.7973,0.8121,0.8183,0.0510,0.0902,0.0652,0.4386
ddim,4,4,150,0.0205,750,3000,0.9643,kernel,kernel,0.7818,0.7961,0.7926,0.2993,0.1000,0.1499,0.4730
ddim,4,4,150,0.0205,750,3000,0.9643,linear,linear,0.2377,0.2255,0.3043,0.0220,0.8244,0.0429,0.1342
ddim,4,4,150,0.0205,750,3000,0.9643,quadratic,quadratic,0.8708,0.8856,0.8799,0.3575,0.1683,0.2289,0.5572
ddim,4,4,150,0.0205,750,3000,0.9643,polar2,polar,0.8801,0.8941,0.8921,0.2188,0.2098,0.2142,0.5542
