sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced,weights
ddim,0,512,16,0.0131,knn,knn,100,2400,0.1400,0.1414,0.1403,0.0102,0.0317,0.0154,0.0784,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,altered_knn,altered_knn,100,1600,0.2415,0.2366,0.3077,0.0168,0.6032,0.0328,0.1347,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,quadratic,quadratic,100,2400,0.0204,0.0087,0.0161,0.0127,0.9048,0.0251,0.0169,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
ddim,0,512,16,0.0131,polar3,polar,100,2400,0.2894,0.2875,0.3272,0.0221,0.4286,0.0420,0.1648,0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625
