process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,500,analytic,analytic,0,0,nan,0.9584,0.9808,0.9717,0.4632,0.1606,0.2385,0.6097
ddim,2,2,150,0.0274,500,knn,knn,125,374,0.9947,0.8954,0.9151,0.9110,0.2907,0.1989,0.2362,0.5756
ddim,2,2,150,0.0274,500,altered_knn,altered_knn,125,250,0.9947,0.9115,0.9205,0.9517,0.1799,0.5949,0.2763,0.5984
ddim,2,2,150,0.0274,500,kernel,kernel,125,374,0.9947,0.9234,0.9443,0.9371,0.3992,0.1807,0.2487,0.5965
ddim,2,2,150,0.0274,500,linear,linear,125,374,0.9947,0.7625,0.7687,0.8587,0.0630,0.5420,0.1129,0.4408
ddim,2,2,150,0.0274,500,quadratic,quadratic,125,374,0.9947,0.9564,0.9782,0.9704,0.4232,0.1861,0.2586,0.6184
ddim,2,2,150,0.0274,500,polar2,polar,125,374,0.9947,0.9592,0.9800,0.9724,0.4841,0.2226,0.3050,0.6425
ddim,2,2,150,0.0274,500,polar3,polar,125,374,0.9947,0.9574,0.9798,0.9713,0.4178,0.1624,0.2339,0.6068
ddim,2,2,150,0.0274,500,polar8,polar,125,374,0.9947,0.9572,0.9793,0.9711,0.4159,0.1715,0.2429,0.6111
ddim,2,2,150,0.0274,500,mlp,mlp,125,374,0.9947,0.9589,0.9808,0.9720,0.4877,0.1807,0.2636,0.6222
ddim,2,2,150,0.0274,500,knn,knn,250,750,0.9893,0.9360,0.9558,0.9541,0.2661,0.2336,0.2488,0.6023
ddim,2,2,150,0.0274,500,altered_knn,altered_knn,250,500,0.9893,0.9228,0.9396,0.9526,0.1660,0.3266,0.2202,0.5799
ddim,2,2,150,0.0274,500,kernel,kernel,250,750,0.9893,0.9460,0.9680,0.9608,0.3552,0.1679,0.2280,0.5980
ddim,2,2,150,0.0274,500,linear,linear,250,750,0.9893,0.6977,0.6958,0.8176,0.0663,0.7664,0.1220,0.4089
ddim,2,2,150,0.0274,500,quadratic,quadratic,250,750,0.9893,0.9591,0.9815,0.9730,0.4213,0.1661,0.2382,0.6099
ddim,2,2,150,0.0274,500,polar2,polar,250,750,0.9893,0.9575,0.9791,0.9713,0.4298,0.1898,0.2633,0.6212
ddim,2,2,150,0.0274,500,polar3,polar,250,750,0.9893,0.9574,0.9794,0.9713,0.4242,0.1788,0.2516,0.6155
ddim,2,2,150,0.0274,500,polar8,polar,250,750,0.9893,0.9572,0.9794,0.9712,0.4133,0.1697,0.2406,0.6100
ddim,2,2,150,0.0274,500,mlp,mlp,250,750,0.9893,0.9580,0.9802,0.9715,0.4541,0.1715,0.2490,0.6146
ddim,2,2,150,0.0274,500,knn,knn,500,1500,0.9853,0.9480,0.9657,0.9649,0.3372,0.3175,0.3271,0.6464
ddim,2,2,150,0.0274,500,altered_knn,altered_knn,500,1000,0.9853,0.9271,0.9476,0.9521,0.1493,0.1989,0.1706,0.5591
ddim,2,2,150,0.0274,500,kernel,kernel,500,1500,0.9853,0.9534,0.9731,0.9670,0.4557,0.2536,0.3259,0.6495
ddim,2,2,150,0.0274,500,linear,linear,500,1500,0.9853,0.7067,0.7048,0.8241,0.0689,0.7755,0.1266,0.4157
ddim,2,2,150,0.0274,500,quadratic,quadratic,500,1500,0.9853,0.9584,0.9799,0.9724,0.4252,0.1971,0.2693,0.6246
ddim,2,2,150,0.0274,500,polar2,polar,500,1500,0.9853,0.9576,0.9785,0.9715,0.4343,0.2172,0.2895,0.6340
ddim,2,2,150,0.0274,500,polar3,polar,500,1500,0.9853,0.9573,0.9785,0.9713,0.4286,0.2080,0.2801,0.6293
ddim,2,2,150,0.0274,500,polar8,polar,500,1500,0.9853,0.9569,0.9784,0.9712,0.4053,0.1953,0.2635,0.6210
ddim,2,2,150,0.0274,500,mlp,mlp,500,1500,0.9853,0.9569,0.9788,0.9710,0.4108,0.1807,0.2510,0.6149
ddim,2,2,150,0.0274,500,knn,knn,1000,3000,0.9857,0.9515,0.9679,0.9685,0.3525,0.3686,0.3604,0.6642
ddim,2,2,150,0.0274,500,altered_knn,altered_knn,1000,2000,0.9857,0.9391,0.9562,0.9647,0.2058,0.3339,0.2547,0.6054
ddim,2,2,150,0.0274,500,kernel,kernel,1000,3000,0.9857,0.9541,0.9729,0.9684,0.4263,0.2901,0.3453,0.6591
ddim,2,2,150,0.0274,500,linear,linear,1000,3000,0.9857,0.6858,0.6832,0.8092,0.0647,0.7774,0.1194,0.4013
ddim,2,2,150,0.0274,500,quadratic,quadratic,1000,3000,0.9857,0.9568,0.9778,0.9709,0.4209,0.2135,0.2833,0.6305
ddim,2,2,150,0.0274,500,polar2,polar,1000,3000,0.9857,0.9577,0.9785,0.9716,0.4373,0.2226,0.2950,0.6368
ddim,2,2,150,0.0274,500,polar3,polar,1000,3000,0.9857,0.9579,0.9787,0.9716,0.4481,0.2208,0.2958,0.6373
ddim,2,2,150,0.0274,500,polar8,polar,1000,3000,0.9857,0.9577,0.9790,0.9716,0.4358,0.2044,0.2783,0.6286
ddim,2,2,150,0.0274,500,mlp,mlp,1000,3000,0.9857,0.9574,0.9792,0.9713,0.4262,0.1843,0.2573,0.6183
ddim,2,4,150,0.0297,500,analytic,analytic,0,0,nan,0.9321,0.9544,0.9445,0.5922,0.2054,0.3050,0.6297
ddim,2,4,150,0.0297,500,knn,knn,125,748,0.9332,0.8479,0.8668,0.8624,0.3469,0.2290,0.2759,0.5714
ddim,2,4,150,0.0297,500,altered_knn,altered_knn,125,500,0.9332,0.8863,0.9123,0.9005,0.1811,0.0387,0.0638,0.4880
ddim,2,4,150,0.0297,500,kernel,kernel,125,748,0.9332,0.8787,0.8974,0.8961,0.2886,0.2677,0.2777,0.5876
ddim,2,4,150,0.0297,500,linear,linear,125,748,0.9332,0.1996,0.1854,0.2560,0.0244,0.6650,0.0470,0.1162
ddim,2,4,150,0.0297,500,quadratic,quadratic,125,748,0.9332,0.9117,0.9309,0.9273,0.3850,0.2845,0.3272,0.6290
ddim,2,4,150,0.0297,500,polar2,polar,125,748,0.9332,0.9210,0.9392,0.9381,0.3488,0.3283,0.3382,0.6387
ddim,2,4,150,0.0297,500,polar3,polar,125,748,0.9332,0.9292,0.9471,0.9457,0.3757,0.3434,0.3588,0.6530
ddim,2,4,150,0.0297,500,polar8,polar,125,748,0.9332,0.9302,0.9509,0.9456,0.3766,0.2542,0.3035,0.6272
ddim,2,4,150,0.0297,500,mlp,mlp,125,748,0.9332,0.9257,0.9469,0.9423,0.3302,0.2340,0.2739,0.6104
ddim,2,4,150,0.0297,500,knn,knn,250,1500,0.9193,0.8941,0.9136,0.9118,0.2805,0.2593,0.2695,0.5915
ddim,2,4,150,0.0297,500,altered_knn,altered_knn,250,1000,0.9193,0.9019,0.9284,0.9158,0.2234,0.0354,0.0610,0.4947
ddim,2,4,150,0.0297,500,kernel,kernel,250,1500,0.9193,0.9071,0.9270,0.9256,0.2719,0.2559,0.2637,0.5953
ddim,2,4,150,0.0297,500,linear,linear,250,1500,0.9193,0.1865,0.1728,0.2458,0.0229,0.6330,0.0442,0.1085
ddim,2,4,150,0.0297,500,quadratic,quadratic,250,1500,0.9193,0.9176,0.9372,0.9330,0.3897,0.2795,0.3255,0.6313
ddim,2,4,150,0.0297,500,polar2,polar,250,1500,0.9193,0.9187,0.9375,0.9374,0.2896,0.3047,0.2970,0.6173
ddim,2,4,150,0.0297,500,polar3,polar,250,1500,0.9193,0.9312,0.9499,0.9463,0.4148,0.3199,0.3612,0.6556
ddim,2,4,150,0.0297,500,polar8,polar,250,1500,0.9193,0.9284,0.9486,0.9433,0.4066,0.2710,0.3253,0.6369
ddim,2,4,150,0.0297,500,mlp,mlp,250,1500,0.9193,0.9301,0.9514,0.9440,0.4531,0.2357,0.3101,0.6307
ddim,2,4,150,0.0297,500,knn,knn,500,3000,0.9107,0.9023,0.9205,0.9232,0.2460,0.3081,0.2735,0.5970
ddim,2,4,150,0.0297,500,altered_knn,altered_knn,500,2000,0.9107,0.8967,0.9224,0.9199,0.0641,0.0556,0.0595,0.4910
ddim,2,4,150,0.0297,500,kernel,kernel,500,3000,0.9107,0.9093,0.9286,0.9305,0.2392,0.2795,0.2578,0.5932
ddim,2,4,150,0.0297,500,linear,linear,500,3000,0.9107,0.1899,0.1764,0.2501,0.0229,0.6296,0.0442,0.1103
ddim,2,4,150,0.0297,500,quadratic,quadratic,500,3000,0.9107,0.9164,0.9358,0.9325,0.3596,0.2845,0.3177,0.6267
ddim,2,4,150,0.0297,500,polar2,polar,500,3000,0.9107,0.9117,0.9307,0.9331,0.2338,0.2912,0.2594,0.5951
ddim,2,4,150,0.0297,500,polar3,polar,500,3000,0.9107,0.9236,0.9424,0.9422,0.3078,0.3114,0.3096,0.6260
ddim,2,4,150,0.0297,500,polar8,polar,500,3000,0.9107,0.9260,0.9451,0.9421,0.3711,0.3030,0.3336,0.6394
ddim,2,4,150,0.0297,500,mlp,mlp,500,3000,0.9107,0.9333,0.9539,0.9456,0.5612,0.2626,0.3578,0.6558
ddim,2,4,150,0.0297,500,knn,knn,1000,6000,0.9112,0.9154,0.9344,0.9372,0.2392,0.2980,0.2654,0.5999
ddim,2,4,150,0.0297,500,altered_knn,altered_knn,1000,4000,0.9112,0.8930,0.9160,0.9285,0.0754,0.1431,0.0987,0.5074
ddim,2,4,150,0.0297,500,kernel,kernel,1000,6000,0.9112,0.9162,0.9356,0.9370,0.2515,0.2845,0.2670,0.6013
ddim,2,4,150,0.0297,500,linear,linear,1000,6000,0.9112,0.1928,0.1795,0.2532,0.0229,0.6279,0.0442,0.1118
ddim,2,4,150,0.0297,500,quadratic,quadratic,1000,6000,0.9112,0.9150,0.9347,0.9308,0.3663,0.2744,0.3138,0.6242
ddim,2,4,150,0.0297,500,polar2,polar,1000,6000,0.9112,0.9174,0.9364,0.9373,0.2622,0.2997,0.2797,0.6080
ddim,2,4,150,0.0297,500,polar3,polar,1000,6000,0.9112,0.9247,0.9443,0.9422,0.3220,0.2862,0.3030,0.6237
ddim,2,4,150,0.0297,500,polar8,polar,1000,6000,0.9112,0.9299,0.9495,0.9444,0.4226,0.2896,0.3437,0.6466
ddim,2,4,150,0.0297,500,mlp,mlp,1000,6000,0.9112,0.9334,0.9542,0.9458,0.5609,0.2559,0.3514,0.6528
ddim,2,8,150,0.0342,500,analytic,analytic,0,0,nan,0.8653,0.8912,0.8809,0.3611,0.1332,0.1947,0.5429
ddim,2,8,150,0.0342,500,knn,knn,125,1496,0.8991,0.7788,0.7990,0.8091,0.1162,0.2050,0.1483,0.4737
ddim,2,8,150,0.0342,500,altered_knn,altered_knn,125,1000,0.8991,0.7962,0.8233,0.8110,0.1186,0.0307,0.0488,0.4361
ddim,2,8,150,0.0342,500,kernel,kernel,125,1496,0.8991,0.8049,0.8241,0.8422,0.1160,0.2635,0.1611,0.4926
ddim,2,8,150,0.0342,500,linear,linear,125,1496,0.8991,0.1051,0.0855,0.1269,0.0250,0.6603,0.0481,0.0668
ddim,2,8,150,0.0342,500,quadratic,quadratic,125,1496,0.8991,0.8186,0.8381,0.8528,0.1317,0.2679,0.1766,0.5074
ddim,2,8,150,0.0342,500,polar2,polar,125,1496,0.8991,0.8217,0.8413,0.8570,0.1305,0.2665,0.1752,0.5082
ddim,2,8,150,0.0342,500,polar3,polar,125,1496,0.8991,0.8484,0.8688,0.8797,0.1575,0.2723,0.1996,0.5342
ddim,2,8,150,0.0342,500,polar8,polar,125,1496,0.8991,0.8554,0.8786,0.8802,0.1736,0.2006,0.1861,0.5323
ddim,2,8,150,0.0342,500,mlp,mlp,125,1496,0.8991,0.8530,0.8763,0.8760,0.1893,0.1962,0.1927,0.5345
ddim,2,8,150,0.0342,500,knn,knn,250,3000,0.8917,0.8168,0.8368,0.8456,0.1555,0.2504,0.1918,0.5143
ddim,2,8,150,0.0342,500,altered_knn,altered_knn,250,2000,0.8917,0.8374,0.8661,0.8525,0.2118,0.0264,0.0469,0.4565
ddim,2,8,150,0.0342,500,kernel,kernel,250,3000,0.8917,0.8249,0.8459,0.8580,0.1241,0.2328,0.1619,0.5039
ddim,2,8,150,0.0342,500,linear,linear,250,3000,0.8917,0.0886,0.0681,0.1058,0.0247,0.6662,0.0477,0.0579
ddim,2,8,150,0.0342,500,quadratic,quadratic,250,3000,0.8917,0.8257,0.8456,0.8608,0.1275,0.2650,0.1721,0.5089
ddim,2,8,150,0.0342,500,polar2,polar,250,3000,0.8917,0.8243,0.8432,0.8577,0.1468,0.2884,0.1946,0.5189
ddim,2,8,150,0.0342,500,polar3,polar,250,3000,0.8917,0.8545,0.8763,0.8816,0.1731,0.2372,0.2001,0.5382
ddim,2,8,150,0.0342,500,polar8,polar,250,3000,0.8917,0.8585,0.8820,0.8798,0.2141,0.1962,0.2047,0.5434
ddim,2,8,150,0.0342,500,mlp,mlp,250,3000,0.8917,0.8636,0.8889,0.8808,0.2837,0.1479,0.1944,0.5416
ddim,2,8,150,0.0342,500,knn,knn,500,6000,0.8800,0.8302,0.8503,0.8601,0.1560,0.2606,0.1952,0.5227
ddim,2,8,150,0.0342,500,altered_knn,altered_knn,500,4000,0.8800,0.8525,0.8819,0.8676,0.1918,0.0205,0.0370,0.4595
ddim,2,8,150,0.0342,500,kernel,kernel,500,6000,0.8800,0.8298,0.8502,0.8613,0.1394,0.2518,0.1794,0.5148
ddim,2,8,150,0.0342,500,linear,linear,500,6000,0.8800,0.0919,0.0718,0.1107,0.0247,0.6633,0.0477,0.0597
ddim,2,8,150,0.0342,500,quadratic,quadratic,500,6000,0.8800,0.8256,0.8452,0.8635,0.1199,0.2723,0.1665,0.5058
ddim,2,8,150,0.0342,500,polar2,polar,500,6000,0.8800,0.8086,0.8276,0.8445,0.1236,0.2738,0.1703,0.4989
ddim,2,8,150,0.0342,500,polar3,polar,500,6000,0.8800,0.8438,0.8653,0.8703,0.1684,0.2343,0.1960,0.5306
ddim,2,8,150,0.0342,500,polar8,polar,500,6000,0.8800,0.8591,0.8820,0.8799,0.2316,0.2123,0.2215,0.5518
ddim,2,8,150,0.0342,500,mlp,mlp,500,6000,0.8800,0.8645,0.8896,0.8813,0.3064,0.1552,0.2060,0.5478
ddim,2,8,150,0.0342,500,knn,knn,1000,12000,0.8780,0.8426,0.8642,0.8706,0.1608,0.2328,0.1902,0.5272
ddim,2,8,150,0.0342,500,altered_knn,altered_knn,1000,8000,0.8780,0.8515,0.8807,0.8685,0.1078,0.0264,0.0424,0.4615
ddim,2,8,150,0.0342,500,kernel,kernel,1000,12000,0.8780,0.8391,0.8610,0.8689,0.1384,0.2196,0.1698,0.5154
ddim,2,8,150,0.0342,500,linear,linear,1000,12000,0.8780,0.0934,0.0734,0.1128,0.0247,0.6603,0.0476,0.0605
ddim,2,8,150,0.0342,500,quadratic,quadratic,1000,12000,0.8780,0.8289,0.8483,0.8666,0.1244,0.2811,0.1724,0.5104
ddim,2,8,150,0.0342,500,polar2,polar,1000,12000,0.8780,0.8167,0.8361,0.8517,0.1270,0.2679,0.1723,0.5042
ddim,2,8,150,0.0342,500,polar3,polar,1000,12000,0.8780,0.8480,0.8694,0.8751,0.1692,0.2445,0.2000,0.5347
ddim,2,8,150,0.0342,500,polar8,polar,1000,12000,0.8780,0.8619,0.8849,0.8811,0.2665,0.2123,0.2363,0.5606
ddim,2,8,150,0.0342,500,mlp,mlp,1000,12000,0.8780,0.8659,0.8911,0.8820,0.3387,0.1537,0.2115,0.5513
ddim,2,16,150,0.0522,500,analytic,analytic,0,0,nan,0.7697,0.8079,0.7899,0.4293,0.0785,0.1327,0.4703
ddim,2,16,150,0.0522,500,knn,knn,125,2992,0.8947,0.6985,0.7244,0.7263,0.2113,0.2287,0.2197,0.4720
ddim,2,16,150,0.0522,500,altered_knn,altered_knn,125,2000,0.8947,0.7109,0.7469,0.7286,0.5714,0.0574,0.1043,0.4256
