process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,450,1500,0.9840,analytic,analytic,0.9585,0.9809,0.9718,0.4712,0.1642,0.2436,0.6122
ddim,2,2,150,0.0274,450,1500,0.9840,knn,knn,0.9483,0.9657,0.9650,0.3467,0.3303,0.3383,0.6520
ddim,2,2,150,0.0274,450,1500,0.9840,altered_knn,altered_knn,0.9273,0.9477,0.9523,0.1516,0.2026,0.1734,0.5606
ddim,2,2,150,0.0274,450,1500,0.9840,kernel,kernel,0.9532,0.9729,0.9670,0.4473,0.2555,0.3252,0.6491
ddim,2,2,150,0.0274,450,1500,0.9840,linear,linear,0.7070,0.7051,0.8243,0.0690,0.7755,0.1267,0.4159
ddim,2,2,150,0.0274,450,1500,0.9840,quadratic,quadratic,0.9583,0.9796,0.9723,0.4221,0.2026,0.2737,0.6267
ddim,2,2,150,0.0274,450,1500,0.9840,polar2,polar,0.9575,0.9784,0.9715,0.4332,0.2190,0.2909,0.6346
ddim,2,2,150,0.0274,450,1500,0.9840,polar3,polar,0.9573,0.9783,0.9713,0.4307,0.2153,0.2871,0.6327
ddim,2,2,150,0.0274,450,1500,0.9840,polar8,polar,0.9569,0.9783,0.9712,0.4067,0.1989,0.2672,0.6227
ddim,2,2,150,0.0274,450,1500,0.9840,mlp,mlp,0.9570,0.9788,0.9710,0.4139,0.1843,0.2551,0.6169
ddim,2,4,150,0.0297,450,3000,0.9063,analytic,analytic,0.9320,0.9542,0.9444,0.5837,0.2054,0.3039,0.6291
ddim,2,4,150,0.0297,450,3000,0.9063,knn,knn,0.9021,0.9203,0.9231,0.2463,0.3098,0.2744,0.5974
ddim,2,4,150,0.0297,450,3000,0.9063,altered_knn,altered_knn,0.9032,0.9296,0.9226,0.0790,0.0438,0.0563,0.4929
ddim,2,4,150,0.0297,450,3000,0.9063,kernel,kernel,0.9095,0.9288,0.9306,0.2413,0.2795,0.2590,0.5939
ddim,2,4,150,0.0297,450,3000,0.9063,linear,linear,0.1914,0.1780,0.2518,0.0229,0.6296,0.0442,0.1111
ddim,2,4,150,0.0297,450,3000,0.9063,quadratic,quadratic,0.9163,0.9356,0.9325,0.3558,0.2845,0.3162,0.6259
ddim,2,4,150,0.0297,450,3000,0.9063,polar2,polar,0.9120,0.9308,0.9334,0.2366,0.2980,0.2638,0.5973
ddim,2,4,150,0.0297,450,3000,0.9063,polar3,polar,0.9240,0.9426,0.9423,0.3133,0.3165,0.3149,0.6288
ddim,2,4,150,0.0297,450,3000,0.9063,polar8,polar,0.9266,0.9455,0.9426,0.3763,0.3098,0.3398,0.6427
ddim,2,4,150,0.0297,450,3000,0.9063,mlp,mlp,0.9328,0.9533,0.9453,0.5414,0.2643,0.3552,0.6542
ddim,2,8,150,0.0342,450,6000,0.8752,analytic,analytic,0.8652,0.8910,0.8809,0.3550,0.1362,0.1968,0.5439
ddim,2,8,150,0.0342,450,6000,0.8752,knn,knn,0.8315,0.8516,0.8612,0.1584,0.2621,0.1975,0.5245
ddim,2,8,150,0.0342,450,6000,0.8752,altered_knn,altered_knn,0.8521,0.8818,0.8675,0.1389,0.0146,0.0265,0.4541
ddim,2,8,150,0.0342,450,6000,0.8752,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,450,6000,0.8752,linear,linear,0.0925,0.0724,0.1115,0.0247,0.6618,0.0476,0.0600
ddim,2,8,150,0.0342,450,6000,0.8752,quadratic,quadratic,0.8255,0.8450,0.8634,0.1206,0.2753,0.1677,0.5063
ddim,2,8,150,0.0342,450,6000,0.8752,polar2,polar,0.8088,0.8277,0.8447,0.1243,0.2767,0.1716,0.4996
ddim,2,8,150,0.0342,450,6000,0.8752,polar3,polar,0.8438,0.8653,0.8704,0.1696,0.2372,0.1978,0.5316
ddim,2,8,150,0.0342,450,6000,0.8752,polar8,polar,0.8597,0.8825,0.8803,0.2360,0.2167,0.2260,0.5542
ddim,2,8,150,0.0342,450,6000,0.8752,mlp,mlp,0.8646,0.8896,0.8814,0.3123,0.1596,0.2112,0.5504
ddim,2,16,150,0.0522,450,12000,0.8932,analytic,analytic,0.7698,0.8079,0.7899,0.4323,0.0794,0.1342,0.4710
ddim,2,16,150,0.0522,450,12000,0.8932,knn,knn,0.7418,0.7719,0.7728,0.1931,0.1971,0.1951,0.4835
ddim,2,16,150,0.0522,450,12000,0.8932,altered_knn,altered_knn,0.7260,0.7603,0.7667,0.0811,0.1033,0.0909,0.4256
ddim,2,16,150,0.0522,450,12000,0.8932,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,450,12000,0.8932,linear,linear,0.0611,0.0131,0.0265,0.0496,0.9321,0.0942,0.0536
ddim,2,16,150,0.0522,450,12000,0.8932,quadratic,quadratic,0.7081,0.7186,0.7600,0.1749,0.5187,0.2616,0.4901
ddim,2,16,150,0.0522,450,12000,0.8932,polar2,polar,0.7668,0.7972,0.7871,0.3516,0.2153,0.2671,0.5321
ddim,2,16,150,0.0522,450,12000,0.8932,polar3,polar,0.7759,0.8091,0.7968,0.3528,0.1732,0.2323,0.5207
ddim,2,16,150,0.0522,450,12000,0.8932,polar8,polar,0.7731,0.8075,0.7940,0.3839,0.1502,0.2160,0.5117
ddim,2,16,150,0.0522,450,12000,0.8932,mlp,mlp,0.7623,0.7983,0.7828,0.4130,0.1091,0.1726,0.4854
ddim,4,2,150,0.0306,450,1500,0.9833,analytic,analytic,0.9645,0.9878,0.9766,0.8294,0.2300,0.3602,0.6740
ddim,4,2,150,0.0306,450,1500,0.9833,knn,knn,0.8589,0.8827,0.8708,0.7386,0.1060,0.1854,0.5341
ddim,4,2,150,0.0306,450,1500,0.9833,altered_knn,altered_knn,0.9010,0.9266,0.9284,0.0827,0.0930,0.0876,0.5071
ddim,4,2,150,0.0306,450,1500,0.9833,kernel,kernel,0.8869,0.9120,0.8988,0.9667,0.0946,0.1724,0.5422
ddim,4,2,150,0.0306,450,1500,0.9833,linear,linear,0.6769,0.6842,0.8041,0.0427,0.4454,0.0779,0.3811
ddim,4,2,150,0.0306,450,1500,0.9833,quadratic,quadratic,0.9641,0.9875,0.9763,0.8118,0.2251,0.3525,0.6700
ddim,4,2,150,0.0306,450,1500,0.9833,polar2,polar,0.9647,0.9866,0.9765,0.7830,0.2708,0.4024,0.6945
ddim,4,2,150,0.0306,450,1500,0.9833,polar3,polar,0.9650,0.9866,0.9768,0.7723,0.2822,0.4134,0.7000
ddim,4,2,150,0.0306,450,1500,0.9833,polar8,polar,0.9598,0.9824,0.9730,0.6266,0.2463,0.3536,0.6680
ddim,4,2,150,0.0306,450,1500,0.9833,mlp,mlp,0.9627,0.9845,0.9753,0.6721,0.2708,0.3860,0.6853
ddim,4,4,150,0.0205,450,3000,0.9520,analytic,analytic,0.8887,0.9035,0.8975,0.3713,0.1829,0.2451,0.5743
ddim,4,4,150,0.0205,450,3000,0.9520,knn,knn,0.7447,0.7577,0.7581,0.1441,0.1220,0.1321,0.4449
ddim,4,4,150,0.0205,450,3000,0.9520,altered_knn,altered_knn,0.7906,0.8044,0.8183,0.0492,0.1317,0.0717,0.4381
ddim,4,4,150,0.0205,450,3000,0.9520,kernel,kernel,0.7849,0.7991,0.7956,0.3028,0.1049,0.1558,0.4774
ddim,4,4,150,0.0205,450,3000,0.9520,linear,linear,0.2428,0.2307,0.3097,0.0221,0.8220,0.0431,0.1369
ddim,4,4,150,0.0205,450,3000,0.9520,quadratic,quadratic,0.8714,0.8857,0.8807,0.3451,0.1902,0.2453,0.5655
ddim,4,4,150,0.0205,450,3000,0.9520,polar2,polar,0.8799,0.8937,0.8922,0.2206,0.2244,0.2225,0.5581
ddim,4,4,150,0.0205,450,3000,0.9520,polar3,polar,0.8847,0.8983,0.8960,0.2526,0.2366,0.2443,0.5713
ddim,4,4,150,0.0205,450,3000,0.9520,polar8,polar,0.8851,0.8988,0.8970,0.2405,0.2317,0.2360,0.5674
ddim,4,4,150,0.0205,450,3000,0.9520,mlp,mlp,0.8856,0.8993,0.8965,0.2738,0.2317,0.2510,0.5752
ddim,4,8,150,0.0290,450,6000,0.9365,analytic,analytic,0.8827,0.9039,0.8940,0.5051,0.1724,0.2571,0.5805
ddim,4,8,150,0.0290,450,6000,0.9365,knn,knn,0.6872,0.7001,0.7174,0.0976,0.2569,0.1415,0.4208
ddim,4,8,150,0.0290,450,6000,0.9365,altered_knn,altered_knn,0.7870,0.8059,0.8152,0.0853,0.1552,0.1101,0.4580
ddim,4,8,150,0.0290,450,6000,0.9365,kernel,kernel,0.0290,0.0000,0.0000,0.0290,1.0000,0.0564,0.0282
ddim,4,8,150,0.0290,450,6000,0.9365,linear,linear,0.1270,0.1073,0.1646,0.0259,0.7879,0.0501,0.0787
ddim,4,8,150,0.0290,450,6000,0.9365,quadratic,quadratic,0.8579,0.8768,0.8711,0.3636,0.2276,0.2800,0.5784
ddim,4,8,150,0.0290,450,6000,0.9365,polar2,polar,0.8643,0.8826,0.8792,0.3074,0.2517,0.2768,0.5797
ddim,4,8,150,0.0290,450,6000,0.9365,polar3,polar,0.8748,0.8935,0.8891,0.3207,0.2483,0.2799,0.5867
ddim,4,8,150,0.0290,450,6000,0.9365,polar8,polar,0.8791,0.8979,0.8923,0.3616,0.2500,0.2956,0.5968
ddim,4,8,150,0.0290,450,6000,0.9365,mlp,mlp,0.8778,0.8974,0.8926,0.3000,0.2224,0.2554,0.5764
ddim,4,16,150,0.0428,450,12000,0.9504,analytic,analytic,0.8455,0.8791,0.8627,0.3876,0.0945,0.1520,0.5155
ddim,4,16,150,0.0428,450,12000,0.9504,knn,knn,0.6495,0.6652,0.6880,0.1193,0.2999,0.1707,0.4180
ddim,4,16,150,0.0428,450,12000,0.9504,altered_knn,altered_knn,0.7644,0.7941,0.7867,0.1683,0.1027,0.1275,0.4608
ddim,4,16,150,0.0428,450,12000,0.9504,kernel,kernel,0.0428,0.0000,0.0000,0.0428,1.0000,0.0822,0.0411
ddim,4,16,150,0.0428,450,12000,0.9504,linear,linear,0.0771,0.0432,0.0821,0.0376,0.8331,0.0719,0.0576
ddim,4,16,150,0.0428,450,12000,0.9504,quadratic,quadratic,0.8197,0.8449,0.8461,0.2288,0.2579,0.2425,0.5437
ddim,4,16,150,0.0428,450,12000,0.9504,polar2,polar,0.8378,0.8661,0.8588,0.2977,0.2077,0.2447,0.5554
ddim,4,16,150,0.0428,450,12000,0.9504,polar3,polar,0.8360,0.8651,0.8568,0.2883,0.1867,0.2266,0.5458
ddim,4,16,150,0.0428,450,12000,0.9504,polar8,polar,0.8375,0.8680,0.8572,0.3007,0.1575,0.2067,0.5374
ddim,4,16,150,0.0428,450,12000,0.9504,mlp,mlp,0.8413,0.8721,0.8600,0.3316,0.1517,0.2082,0.5401
ddim,8,2,150,0.0278,450,1500,0.9847,analytic,analytic,0.9369,0.9567,0.9470,0.8253,0.2464,0.3795,0.6681
ddim,8,2,150,0.0278,450,1500,0.9847,knn,knn,0.7707,0.7926,0.7803,0.5000,0.0072,0.0142,0.4034
ddim,8,2,150,0.0278,450,1500,0.9847,altered_knn,altered_knn,0.8554,0.8782,0.8845,0.0398,0.0594,0.0476,0.4629
ddim,8,2,150,0.0278,450,1500,0.9847,kernel,kernel,0.9070,0.9329,0.9197,0.0000,0.0000,0.0000,0.4665
ddim,8,2,150,0.0278,450,1500,0.9847,linear,linear,0.6988,0.7079,0.8202,0.0366,0.3831,0.0668,0.3873
ddim,8,2,150,0.0278,450,1500,0.9847,quadratic,quadratic,0.9329,0.9527,0.9429,0.8535,0.2410,0.3759,0.6643
ddim,8,2,150,0.0278,450,1500,0.9847,polar2,polar,0.9342,0.9514,0.9457,0.5675,0.3327,0.4195,0.6854
ddim,8,2,150,0.0278,450,1500,0.9847,polar3,polar,0.9286,0.9466,0.9379,0.8300,0.2986,0.4392,0.6929
ddim,8,2,150,0.0278,450,1500,0.9847,polar8,polar,0.9025,0.9221,0.9126,0.7707,0.2176,0.3394,0.6307
ddim,8,2,150,0.0278,450,1500,0.9847,mlp,mlp,0.9319,0.9513,0.9418,0.8434,0.2518,0.3878,0.6696
ddim,8,4,150,0.0150,450,3000,0.9710,analytic,analytic,0.9219,0.9304,0.9274,0.5956,0.3633,0.4513,0.6909
ddim,8,4,150,0.0150,450,3000,0.9710,knn,knn,0.6441,0.6531,0.6506,0.1750,0.0467,0.0737,0.3634
ddim,8,4,150,0.0150,450,3000,0.9710,altered_knn,altered_knn,0.7758,0.7840,0.8203,0.0352,0.2400,0.0614,0.4227
ddim,8,4,150,0.0150,450,3000,0.9710,kernel,kernel,0.8400,0.8528,0.8461,0.0000,0.0000,0.0000,0.4264
ddim,8,4,150,0.0150,450,3000,0.9710,linear,linear,0.3183,0.3140,0.4665,0.0133,0.6000,0.0259,0.1699
ddim,8,4,150,0.0150,450,3000,0.9710,quadratic,quadratic,0.9159,0.9244,0.9216,0.5515,0.3567,0.4332,0.6788
ddim,8,4,150,0.0150,450,3000,0.9710,polar2,polar,0.9139,0.9210,0.9217,0.3976,0.4467,0.4207,0.6709
ddim,8,4,150,0.0150,450,3000,0.9710,polar3,polar,0.9068,0.9142,0.9137,0.4555,0.4267,0.4406,0.6774
ddim,8,4,150,0.0150,450,3000,0.9710,polar8,polar,0.8694,0.8778,0.8774,0.3750,0.3200,0.3453,0.6116
ddim,8,4,150,0.0150,450,3000,0.9710,mlp,mlp,0.9102,0.9193,0.9171,0.4502,0.3167,0.3718,0.6456
ddim,8,8,150,0.0228,450,6000,0.9750,analytic,analytic,0.8747,0.8893,0.8813,0.6043,0.2473,0.3509,0.6201
ddim,8,8,150,0.0228,450,6000,0.9750,knn,knn,0.5501,0.5606,0.5584,0.1013,0.1028,0.1021,0.3313
ddim,8,8,150,0.0228,450,6000,0.9750,altered_knn,altered_knn,0.7541,0.7699,0.7671,0.0947,0.0788,0.0860,0.4280
ddim,8,8,150,0.0228,450,6000,0.9750,kernel,kernel,0.0228,0.0000,0.0000,0.0228,1.0000,0.0447,0.0223
ddim,8,8,150,0.0228,450,6000,0.9750,linear,linear,0.1610,0.1464,0.2426,0.0212,0.7856,0.0413,0.0939
ddim,8,8,150,0.0228,450,6000,0.9750,quadratic,quadratic,0.8565,0.8702,0.8630,0.5775,0.2691,0.3672,0.6187
ddim,8,8,150,0.0228,450,6000,0.9750,polar2,polar,0.8686,0.8815,0.8760,0.4932,0.3151,0.3845,0.6330
ddim,8,8,150,0.0228,450,6000,0.9750,polar3,polar,0.8622,0.8750,0.8701,0.4514,0.3151,0.3711,0.6231
ddim,8,8,150,0.0228,450,6000,0.9750,polar8,polar,0.8335,0.8462,0.8433,0.3251,0.2888,0.3059,0.5761
ddim,8,8,150,0.0228,450,6000,0.9750,mlp,mlp,0.8555,0.8693,0.8639,0.4393,0.2691,0.3338,0.6015
ddim,8,16,150,0.0255,450,12000,0.9658,analytic,analytic,0.8446,0.8621,0.8545,0.5028,0.1745,0.2591,0.5606
ddim,8,16,150,0.0255,450,12000,0.9658,knn,knn,0.4793,0.4870,0.4984,0.0614,0.1863,0.0923,0.2896
ddim,8,16,150,0.0255,450,12000,0.9658,altered_knn,altered_knn,0.7145,0.7301,0.7316,0.0908,0.1157,0.1017,0.4159
ddim,8,16,150,0.0255,450,12000,0.9658,kernel,kernel,0.0255,0.0000,0.0000,0.0255,1.0000,0.0497,0.0249
ddim,8,16,150,0.0255,450,12000,0.9658,linear,linear,0.0940,0.0736,0.1394,0.0241,0.8725,0.0470,0.0603
ddim,8,16,150,0.0255,450,12000,0.9658,quadratic,quadratic,0.8406,0.8569,0.8506,0.5091,0.2196,0.3068,0.5819
ddim,8,16,150,0.0255,450,12000,0.9658,polar2,polar,0.8364,0.8525,0.8481,0.3805,0.2216,0.2800,0.5663
ddim,8,16,150,0.0255,450,12000,0.9658,polar3,polar,0.8312,0.8469,0.8429,0.3699,0.2314,0.2847,0.5658
ddim,8,16,150,0.0255,450,12000,0.9658,polar8,polar,0.8194,0.8341,0.8326,0.2998,0.2569,0.2767,0.5554
ddim,8,16,150,0.0255,450,12000,0.9658,mlp,mlp,0.8149,0.8309,0.8278,0.2869,0.2059,0.2397,0.5353
ddim,16,2,150,0.0207,450,1500,0.9833,analytic,analytic,0.9502,0.9635,0.9572,0.8418,0.3205,0.4642,0.7139
ddim,16,2,150,0.0207,450,1500,0.9833,knn,knn,0.7492,0.7651,0.7557,0.0000,0.0000,0.0000,0.3825
ddim,16,2,150,0.0207,450,1500,0.9833,altered_knn,altered_knn,0.8221,0.8365,0.8671,0.0330,0.1422,0.0536,0.4450
ddim,16,2,150,0.0207,450,1500,0.9833,kernel,kernel,0.8940,0.9129,0.9034,0.0000,0.0000,0.0000,0.4565
ddim,16,2,150,0.0207,450,1500,0.9833,linear,linear,0.7096,0.7180,0.8264,0.0233,0.3108,0.0434,0.3807
ddim,16,2,150,0.0207,450,1500,0.9833,quadratic,quadratic,0.9380,0.9534,0.9469,0.5973,0.2145,0.3156,0.6345
ddim,16,2,150,0.0207,450,1500,0.9833,polar2,polar,0.9424,0.9547,0.9494,0.7550,0.3639,0.4911,0.7229
ddim,16,2,150,0.0207,450,1500,0.9833,polar3,polar,0.9229,0.9361,0.9308,0.6510,0.3012,0.4119,0.6740
ddim,16,2,150,0.0207,450,1500,0.9833,polar8,polar,0.8965,0.9119,0.9049,0.5983,0.1687,0.2632,0.5875
ddim,16,2,150,0.0207,450,1500,0.9833,mlp,mlp,0.9426,0.9584,0.9509,0.7757,0.2000,0.3180,0.6382
ddim,16,4,150,0.0159,450,3000,0.9780,analytic,analytic,0.9412,0.9500,0.9464,0.7341,0.3981,0.5163,0.7331
ddim,16,4,150,0.0159,450,3000,0.9780,knn,knn,0.5983,0.6078,0.6032,0.1379,0.0125,0.0230,0.3154
ddim,16,4,150,0.0159,450,3000,0.9780,altered_knn,altered_knn,0.7474,0.7549,0.8028,0.0345,0.2884,0.0616,0.4083
ddim,16,4,150,0.0159,450,3000,0.9780,kernel,kernel,0.8446,0.8583,0.8522,0.0000,0.0000,0.0000,0.4292
ddim,16,4,150,0.0159,450,3000,0.9780,linear,linear,0.4099,0.4091,0.5738,0.0126,0.4608,0.0246,0.2169
ddim,16,4,150,0.0159,450,3000,0.9780,quadratic,quadratic,0.9163,0.9260,0.9225,0.6036,0.3197,0.4180,0.6720
ddim,16,4,150,0.0159,450,3000,0.9780,polar2,polar,0.9151,0.9215,0.9214,0.5237,0.5204,0.5220,0.7218
ddim,16,4,150,0.0159,450,3000,0.9780,polar3,polar,0.8964,0.9045,0.9018,0.6244,0.4013,0.4885,0.6965
ddim,16,4,150,0.0159,450,3000,0.9780,polar8,polar,0.8665,0.8757,0.8722,0.6013,0.2978,0.3983,0.6370
ddim,16,4,150,0.0159,450,3000,0.9780,mlp,mlp,0.9191,0.9289,0.9247,0.7063,0.3166,0.4372,0.6831
ddim,16,8,150,0.0382,450,6000,0.9773,analytic,analytic,0.9183,0.9459,0.9319,0.8827,0.2261,0.3600,0.6530
ddim,16,8,150,0.0382,450,6000,0.9773,knn,knn,0.4631,0.4805,0.4722,0.1299,0.0261,0.0435,0.2620
ddim,16,8,150,0.0382,450,6000,0.9773,altered_knn,altered_knn,0.6966,0.7115,0.7531,0.0857,0.3242,0.1356,0.4235
ddim,16,8,150,0.0382,450,6000,0.9773,kernel,kernel,0.0382,0.0000,0.0000,0.0382,1.0000,0.0737,0.0368
ddim,16,8,150,0.0382,450,6000,0.9773,linear,linear,0.2414,0.2237,0.3592,0.0341,0.6876,0.0651,0.1444
ddim,16,8,150,0.0382,450,6000,0.9773,quadratic,quadratic,0.8832,0.9104,0.8966,0.8539,0.1987,0.3224,0.6164
ddim,16,8,150,0.0382,450,6000,0.9773,polar2,polar,0.8826,0.9065,0.8971,0.6006,0.2810,0.3829,0.6447
ddim,16,8,150,0.0382,450,6000,0.9773,polar3,polar,0.8579,0.8817,0.8698,0.8439,0.2614,0.3992,0.6404
ddim,16,8,150,0.0382,450,6000,0.9773,polar8,polar,0.8138,0.8375,0.8259,0.7952,0.2183,0.3426,0.5900
ddim,16,8,150,0.0382,450,6000,0.9773,mlp,mlp,0.8741,0.9017,0.8877,0.8405,0.1791,0.2953,0.5985
ddim,16,16,150,0.0438,450,12000,0.9775,analytic,analytic,0.8334,0.8632,0.8481,0.8265,0.1847,0.3020,0.5826
ddim,16,16,150,0.0438,450,12000,0.9775,knn,knn,0.3674,0.3816,0.3736,0.1241,0.0582,0.0792,0.2304
ddim,16,16,150,0.0438,450,12000,0.9775,altered_knn,altered_knn,0.6730,0.6966,0.7019,0.1174,0.1596,0.1353,0.4159
ddim,16,16,150,0.0438,450,12000,0.9775,kernel,kernel,0.0438,0.0000,0.0000,0.0439,1.0000,0.0840,0.0420
ddim,16,16,150,0.0438,450,12000,0.9775,linear,linear,0.1435,0.1181,0.2148,0.0352,0.6978,0.0669,0.0925
ddim,16,16,150,0.0438,450,12000,0.9775,quadratic,quadratic,0.8152,0.8441,0.8295,0.8325,0.1870,0.3054,0.5747
ddim,16,16,150,0.0438,450,12000,0.9775,polar2,polar,0.8038,0.8303,0.8196,0.5197,0.2258,0.3148,0.5725
ddim,16,16,150,0.0438,450,12000,0.9775,polar3,polar,0.8012,0.8269,0.8140,0.7903,0.2406,0.3689,0.5979
ddim,16,16,150,0.0438,450,12000,0.9775,polar8,polar,0.7497,0.7739,0.7624,0.6678,0.2223,0.3336,0.5538
ddim,16,16,150,0.0438,450,12000,0.9775,mlp,mlp,0.7876,0.8166,0.8024,0.7211,0.1562,0.2568,0.5367
ddim,32,2,150,0.0153,450,1500,0.9840,analytic,analytic,0.9246,0.9323,0.9284,0.8800,0.4314,0.5789,0.7556
ddim,32,2,150,0.0153,450,1500,0.9840,knn,knn,0.7157,0.7268,0.7160,0.0000,0.0000,0.0000,0.3634
ddim,32,2,150,0.0153,450,1500,0.9840,altered_knn,altered_knn,0.7779,0.7869,0.8359,0.0234,0.1993,0.0419,0.4144
ddim,32,2,150,0.0153,450,1500,0.9840,kernel,kernel,0.8914,0.9053,0.8980,0.0000,0.0000,0.0000,0.4527
ddim,32,2,150,0.0153,450,1500,0.9840,linear,linear,0.6872,0.6928,0.8064,0.0171,0.3235,0.0325,0.3627
