sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9471,0.9888,0.9720,0.5300,0.2075,0.2982,0.6435
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9390,0.9846,0.9679,0.3301,0.1277,0.1842,0.5844
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9515,0.9956,0.9746,0.7020,0.1681,0.2712,0.6334
ddim,2,2,0.0532,knn,knn,5000,15000,0.9509,0.9931,0.9742,0.6435,0.2000,0.3052,0.6491
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9369,0.9790,0.9670,0.3356,0.1887,0.2416,0.6103
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9516,0.9955,0.9747,0.7027,0.1709,0.2749,0.6352
ddim,2,2,0.0532,knn,knn,10000,30000,0.9516,0.9947,0.9747,0.6851,0.1859,0.2925,0.6436
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9457,0.9945,0.9717,0.4667,0.0789,0.1349,0.5647
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9517,0.9956,0.9747,0.7066,0.1718,0.2764,0.6360
ddim,2,2,0.0532,knn,knn,20000,60000,0.9513,0.9956,0.9745,0.7056,0.1643,0.2666,0.6311
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9470,0.9975,0.9724,0.5870,0.0507,0.0933,0.5454
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9515,0.9955,0.9747,0.7016,0.1700,0.2736,0.6346
ddim,2,2,0.0532,knn,knn,50000,150000,0.9512,0.9961,0.9744,0.7232,0.1521,0.2514,0.6237
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9473,0.9983,0.9726,0.6197,0.0413,0.0775,0.5379
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9514,0.9955,0.9746,0.6980,0.1671,0.2697,0.6326
ddim,2,2,0.0532,knn,knn,100000,300000,0.9510,0.9961,0.9743,0.7195,0.1493,0.2473,0.6217
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9469,0.9985,0.9724,0.6346,0.0310,0.0591,0.5288
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9514,0.9956,0.9746,0.7080,0.1662,0.2692,0.6324
ddim,2,4,0.0345,knn,knn,2000,12000,0.8098,0.8312,0.8256,0.2578,0.2142,0.2340,0.5326
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.8025,0.8267,0.8253,0.1162,0.1259,0.1208,0.4738
ddim,2,4,0.0345,polar3,polar,2000,12000,0.8161,0.8350,0.8278,0.3917,0.2880,0.3319,0.5835
