sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,0.0144,knn,knn,2000,6000,0.9787,0.9850,0.9878,0.3965,0.5502,0.4609,0.7229
flow,2,2,0.0144,altered_knn,altered_knn,2000,4000,0.9672,0.9765,0.9824,0.1837,0.3356,0.2375,0.6070
flow,2,2,0.0144,polar3,polar,2000,6000,0.9830,0.9911,0.9900,0.5144,0.4325,0.4699,0.7305
flow,2,2,0.0144,knn,knn,5000,15000,0.9807,0.9882,0.9890,0.4219,0.4671,0.4433,0.7158
flow,2,2,0.0144,altered_knn,altered_knn,5000,10000,0.9746,0.9842,0.9862,0.2493,0.3183,0.2796,0.6319
flow,2,2,0.0144,polar3,polar,5000,15000,0.9835,0.9915,0.9902,0.5292,0.4394,0.4802,0.7358
flow,2,2,0.0144,knn,knn,10000,30000,0.9820,0.9899,0.9897,0.4588,0.4429,0.4507,0.7203
flow,2,2,0.0144,altered_knn,altered_knn,10000,20000,0.9767,0.9872,0.9871,0.2676,0.2630,0.2653,0.6262
flow,2,2,0.0144,polar3,polar,10000,30000,0.9835,0.9915,0.9902,0.5294,0.4360,0.4782,0.7349
flow,2,2,0.0144,knn,knn,20000,60000,0.9828,0.9910,0.9899,0.5000,0.4256,0.4598,0.7254
flow,2,2,0.0144,altered_knn,altered_knn,20000,40000,0.9759,0.9869,0.9867,0.2313,0.2249,0.2281,0.6075
flow,2,2,0.0144,polar3,polar,20000,60000,0.9835,0.9915,0.9902,0.5339,0.4360,0.4800,0.7358
flow,2,2,0.0144,knn,knn,50000,150000,0.9833,0.9917,0.9899,0.5409,0.4118,0.4676,0.7296
flow,2,2,0.0144,altered_knn,altered_knn,50000,100000,0.9793,0.9924,0.9880,0.2143,0.0830,0.1197,0.5561
flow,2,2,0.0144,polar3,polar,50000,150000,0.9835,0.9915,0.9902,0.5336,0.4394,0.4820,0.7368
flow,2,2,0.0144,knn,knn,100000,300000,0.9837,0.9920,0.9901,0.5681,0.4187,0.4821,0.7370
flow,2,2,0.0144,altered_knn,altered_knn,100000,200000,0.9800,0.9941,0.9881,0.1346,0.0242,0.0411,0.5176
flow,2,2,0.0144,polar3,polar,100000,300000,0.9836,0.9916,0.9902,0.5381,0.4394,0.4838,0.7377
flow,2,4,0.0150,knn,knn,2000,12000,0.9493,0.9576,0.9645,0.2122,0.4067,0.2789,0.6182
flow,2,4,0.0150,altered_knn,altered_knn,2000,8000,0.9428,0.9558,0.9576,0.0738,0.0900,0.0811,0.5185
flow,2,4,0.0150,polar3,polar,2000,12000,0.9519,0.9596,0.9644,0.2720,0.4433,0.3371,0.6484
flow,2,4,0.0150,knn,knn,5000,30000,0.9535,0.9619,0.9659,0.2643,0.4000,0.3183,0.6401
flow,2,4,0.0150,altered_knn,altered_knn,5000,20000,0.9352,0.9452,0.9610,0.0895,0.2767,0.1353,0.5403
flow,2,4,0.0150,polar3,polar,5000,30000,0.9522,0.9602,0.9645,0.2712,0.4267,0.3316,0.6459
flow,2,4,0.0150,knn,knn,10000,60000,0.9553,0.9640,0.9655,0.3240,0.3867,0.3526,0.6583
flow,2,4,0.0150,altered_knn,altered_knn,10000,40000,0.9478,0.9605,0.9632,0.0871,0.1167,0.0997,0.5301
flow,2,4,0.0150,polar3,polar,10000,60000,0.9523,0.9602,0.9645,0.2770,0.4367,0.3389,0.6496
flow,2,4,0.0150,knn,knn,20000,120000,0.9561,0.9649,0.9656,0.3540,0.3800,0.3666,0.6657
flow,2,4,0.0150,altered_knn,altered_knn,20000,80000,0.9530,0.9664,0.9637,0.1093,0.0667,0.0828,0.5246
flow,2,4,0.0150,polar3,polar,20000,120000,0.9521,0.9604,0.9641,0.2733,0.4100,0.3280,0.6442
flow,2,4,0.0150,knn,knn,50000,300000,0.9569,0.9660,0.9654,0.3985,0.3600,0.3783,0.6722
flow,2,4,0.0150,altered_knn,altered_knn,50000,200000,0.9516,0.9647,0.9641,0.1049,0.0933,0.0988,0.5317
flow,2,4,0.0150,polar3,polar,50000,300000,0.9525,0.9608,0.9644,0.2758,0.4100,0.3298,0.6453
flow,2,4,0.0150,knn,knn,100000,600000,0.9574,0.9665,0.9653,0.4343,0.3633,0.3956,0.6811
flow,2,4,0.0150,altered_knn,altered_knn,100000,400000,0.9541,0.9678,0.9640,0.1135,0.0533,0.0726,0.5202
flow,2,4,0.0150,polar3,polar,100000,600000,0.9543,0.9626,0.9654,0.3000,0.4100,0.3465,0.6545
flow,2,8,0.0268,knn,knn,2000,24000,0.8784,0.8970,0.8988,0.1717,0.2034,0.1862,0.5416
flow,2,8,0.0268,altered_knn,altered_knn,2000,16000,0.8805,0.9040,0.8960,0.0664,0.0280,0.0394,0.4717
flow,2,8,0.0268,polar3,polar,2000,24000,0.8787,0.8965,0.8984,0.1984,0.2332,0.2144,0.5555
