process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0093,200,analytic,analytic,0,0,nan,0.9912,0.9938,0.9948,0.5941,0.7127,0.6480,0.8209
ddim,2,2,150,0.0093,200,analytic_T_train,analytic,0,0,nan,0.9909,0.9934,0.9946,0.5732,0.7165,0.6369,0.8152
ddim,2,2,150,0.0093,200,knn,knn,6667,20002,0.9999,0.9898,0.9914,0.9945,0.4945,0.8213,0.6173,0.8043
ddim,2,2,150,0.0093,200,altered_knn,altered_knn,6667,13330,0.9999,0.9808,0.9873,0.9899,0.1833,0.2862,0.2234,0.6054
ddim,2,2,150,0.0093,200,quadratic,quadratic,6667,20002,0.9999,0.9842,0.9882,0.9907,0.3649,0.5572,0.4410,0.7146
ddim,2,2,150,0.0093,200,quadratic_cal,quadratic,6667,20002,0.9999,0.9867,0.9911,0.9919,0.4377,0.5178,0.4744,0.7327
ddim,2,2,150,0.0093,200,polar8,polar,6667,20002,0.9999,0.9910,0.9936,0.9948,0.5684,0.7225,0.6362,0.8149
ddim,2,2,150,0.0093,200,polar8_cal,polar,6667,20002,0.9999,0.9911,0.9936,0.9948,0.5701,0.7225,0.6373,0.8154
ddim,2,2,150,0.0093,200,knn,knn,16667,50002,0.9998,0.9910,0.9932,0.9951,0.5398,0.7511,0.6281,0.8107
ddim,2,2,150,0.0093,200,altered_knn,altered_knn,16667,33330,0.9998,0.9842,0.9911,0.9918,0.2117,0.2408,0.2253,0.6082
ddim,2,2,150,0.0093,200,quadratic,quadratic,16667,50002,0.9998,0.9844,0.9884,0.9908,0.3650,0.5567,0.4409,0.7146
ddim,2,2,150,0.0093,200,quadratic_cal,quadratic,16667,50002,0.9998,0.9868,0.9911,0.9920,0.4357,0.5178,0.4732,0.7322
ddim,2,2,150,0.0093,200,polar8,polar,16667,50002,0.9998,0.9911,0.9936,0.9948,0.5703,0.7225,0.6374,0.8155
ddim,2,2,150,0.0093,200,polar8_cal,polar,16667,50002,0.9998,0.9911,0.9937,0.9949,0.5743,0.7203,0.6390,0.8164
ddim,2,2,150,0.0093,200,knn,knn,33333,99998,0.9999,0.9913,0.9938,0.9951,0.5667,0.7273,0.6370,0.8154
ddim,2,2,150,0.0093,200,altered_knn,altered_knn,33333,66660,0.9999,0.9866,0.9944,0.9930,0.2281,0.1577,0.1865,0.5904
ddim,2,2,150,0.0093,200,quadratic,quadratic,33333,99998,0.9999,0.9845,0.9885,0.9910,0.3633,0.5562,0.4395,0.7140
