sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,4,4,3,0.0108,0.0003,quadratic,quadratic,5000,30000,0.9312,0.0052,0.9354,0.0051,0.9358,0.0055,0.4702,0.0135,0.5527,0.0073,0.5080,0.0097,0.7217,0.0062
ddim,4,4,3,0.0108,0.0003,polar3,polar,5000,30000,0.9671,0.0042,0.9705,0.0039,0.9723,0.0044,0.4784,0.0094,0.6510,0.0238,0.5511,0.0028,0.7608,0.0032
ddim,4,4,3,0.0108,0.0003,knn,knn,10000,60000,0.8880,0.0086,0.8931,0.0085,0.8945,0.0101,0.3193,0.0713,0.4252,0.0088,0.3598,0.0413,0.6265,0.0164
ddim,4,4,3,0.0108,0.0003,altered_knn,altered_knn,10000,40000,0.8496,0.0369,0.8554,0.0392,0.8980,0.0112,0.0423,0.0163,0.3229,0.1666,0.0659,0.0122,0.4606,0.0248
ddim,4,4,3,0.0108,0.0003,quadratic,quadratic,10000,60000,0.9309,0.0056,0.9351,0.0055,0.9354,0.0059,0.4796,0.0124,0.5523,0.0041,0.5133,0.0083,0.7242,0.0052
ddim,4,4,3,0.0108,0.0003,polar3,polar,10000,60000,0.9672,0.0040,0.9707,0.0036,0.9725,0.0043,0.4742,0.0203,0.6519,0.0264,0.5481,0.0055,0.7594,0.0025
ddim,4,4,3,0.0108,0.0003,knn,knn,15000,90000,0.8985,0.0076,0.9036,0.0074,0.9050,0.0091,0.3212,0.0650,0.4303,0.0136,0.3632,0.0367,0.6334,0.0149
ddim,4,4,3,0.0108,0.0003,altered_knn,altered_knn,15000,60000,0.8706,0.0255,0.8773,0.0275,0.9088,0.0068,0.0499,0.0236,0.2624,0.1472,0.0660,0.0076,0.4717,0.0171
ddim,4,4,3,0.0108,0.0003,quadratic,quadratic,15000,90000,0.9310,0.0054,0.9352,0.0053,0.9355,0.0057,0.4771,0.0133,0.5511,0.0056,0.5114,0.0088,0.7233,0.0054
ddim,4,4,3,0.0108,0.0003,polar3,polar,15000,90000,0.9671,0.0038,0.9705,0.0035,0.9724,0.0042,0.4745,0.0263,0.6537,0.0279,0.5487,0.0096,0.7596,0.0042
