sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9483,0.9884,0.9725,0.5580,0.2347,0.3305,0.6595
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9344,0.9787,0.9653,0.2910,0.1484,0.1965,0.5876
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9542,0.9965,0.9760,0.7875,0.2019,0.3214,0.6589
ddim,2,2,0.0532,knn,knn,5000,15000,0.9538,0.9946,0.9758,0.7168,0.2282,0.3462,0.6704
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9374,0.9809,0.9673,0.3284,0.1653,0.2199,0.6004
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9539,0.9965,0.9759,0.7828,0.1962,0.3138,0.6552
ddim,2,2,0.0532,knn,knn,10000,30000,0.9539,0.9953,0.9759,0.7397,0.2188,0.3377,0.6665
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9438,0.9902,0.9707,0.4129,0.1202,0.1862,0.5882
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9541,0.9966,0.9759,0.7962,0.1981,0.3173,0.6570
ddim,2,2,0.0532,knn,knn,20000,60000,0.9543,0.9965,0.9760,0.7956,0.2047,0.3256,0.6610
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9465,0.9951,0.9723,0.4888,0.0817,0.1400,0.5676
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9540,0.9965,0.9759,0.7903,0.1981,0.3168,0.6567
ddim,2,2,0.0532,knn,knn,50000,150000,0.9536,0.9968,0.9757,0.8016,0.1859,0.3018,0.6493
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9474,0.9985,0.9726,0.7000,0.0394,0.0747,0.5366
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9539,0.9966,0.9758,0.7909,0.1953,0.3133,0.6549
ddim,2,2,0.0532,knn,knn,100000,300000,0.9532,0.9969,0.9755,0.8034,0.1765,0.2895,0.6432
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9473,0.9984,0.9725,0.6833,0.0385,0.0729,0.5357
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9537,0.9967,0.9757,0.7922,0.1897,0.3061,0.6514
ddim,2,4,0.0345,knn,knn,2000,12000,0.8395,0.8603,0.8545,0.3065,0.2590,0.2808,0.5706
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.8142,0.8362,0.8496,0.0988,0.1997,0.1322,0.4842
