sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,8,0.0269,altered_knn,altered_knn,10000,80000,0.9135,0.9350,0.9333,0.1751,0.1359,0.1530,0.5440
ddim,2,8,0.0269,polar3,polar,10000,120000,0.9135,0.9313,0.9333,0.2531,0.2682,0.2604,0.5958
ddim,2,8,0.0269,knn,knn,20000,240000,0.9188,0.9392,0.9348,0.3170,0.1806,0.2301,0.5846
ddim,2,8,0.0269,altered_knn,altered_knn,20000,160000,0.9164,0.9384,0.9340,0.2079,0.1173,0.1500,0.5442
ddim,2,8,0.0269,polar3,polar,20000,240000,0.9144,0.9323,0.9336,0.2662,0.2682,0.2672,0.5997
ddim,2,8,0.0269,knn,knn,50000,600000,0.9207,0.9414,0.9351,0.3957,0.1695,0.2373,0.5893
ddim,2,8,0.0269,altered_knn,altered_knn,50000,400000,0.9184,0.9413,0.9344,0.2388,0.0894,0.1301,0.5357
ddim,2,8,0.0269,polar3,polar,50000,600000,0.9148,0.9335,0.9337,0.2596,0.2402,0.2495,0.5915
ddim,2,8,0.0269,knn,knn,100000,1200000,0.9205,0.9416,0.9348,0.4010,0.1546,0.2231,0.5824
ddim,2,8,0.0269,altered_knn,altered_knn,100000,800000,0.9189,0.9431,0.9339,0.2072,0.0428,0.0710,0.5070
ddim,2,8,0.0269,polar3,polar,100000,1200000,0.9152,0.9340,0.9338,0.2621,0.2328,0.2465,0.5903
ddim,4,2,0.1118,knn,knn,2000,6000,0.8573,0.9356,0.8936,0.9244,0.2352,0.3750,0.6553
ddim,4,2,0.1118,altered_knn,altered_knn,2000,4000,0.8102,0.8746,0.8865,0.2465,0.2987,0.2701,0.5724
ddim,4,2,0.1118,polar3,polar,2000,6000,0.9315,0.9956,0.9615,0.9663,0.4226,0.5881,0.7918
ddim,4,2,0.1118,knn,knn,5000,15000,0.8700,0.9487,0.9063,0.9497,0.2451,0.3896,0.6691
ddim,4,2,0.1118,altered_knn,altered_knn,5000,10000,0.8091,0.8771,0.8875,0.2268,0.2688,0.2460,0.5616
ddim,4,2,0.1118,polar3,polar,5000,15000,0.9320,0.9956,0.9618,0.9656,0.4271,0.5922,0.7939
ddim,4,2,0.1118,knn,knn,10000,30000,0.8784,0.9577,0.9153,0.9375,0.2482,0.3925,0.6751
ddim,4,2,0.1118,altered_knn,altered_knn,10000,20000,0.8049,0.8688,0.8861,0.2266,0.2970,0.2571,0.5630
ddim,4,2,0.1118,polar3,polar,10000,30000,0.9318,0.9956,0.9617,0.9665,0.4253,0.5907,0.7931
ddim,4,2,0.1118,knn,knn,20000,60000,0.8884,0.9665,0.9247,0.9479,0.2683,0.4183,0.6924
ddim,4,2,0.1118,altered_knn,altered_knn,20000,40000,0.8403,0.9253,0.9075,0.2396,0.1650,0.1954,0.5604
ddim,4,2,0.1118,polar3,polar,20000,60000,0.9320,0.9956,0.9618,0.9676,0.4271,0.5926,0.7941
ddim,4,2,0.1118,knn,knn,50000,150000,0.8984,0.9733,0.9333,0.9456,0.3032,0.4592,0.7162
ddim,4,2,0.1118,altered_knn,altered_knn,50000,100000,0.8494,0.9378,0.9137,0.2531,0.1471,0.1861,0.5619
ddim,4,2,0.1118,polar3,polar,50000,150000,0.9323,0.9956,0.9619,0.9668,0.4302,0.5955,0.7955
ddim,4,2,0.1118,knn,knn,100000,300000,0.9057,0.9792,0.9397,0.9678,0.3225,0.4837,0.7315
ddim,4,2,0.1118,altered_knn,altered_knn,100000,200000,0.8517,0.9395,0.9160,0.2600,0.1538,0.1933,0.5664
ddim,4,2,0.1118,polar3,polar,100000,300000,0.9325,0.9956,0.9620,0.9669,0.4316,0.5968,0.7962
ddim,4,4,0.0901,knn,knn,2000,12000,0.7910,0.8321,0.7943,0.7664,0.3768,0.5052,0.6686
ddim,4,4,0.0901,altered_knn,altered_knn,2000,8000,0.8090,0.8702,0.8411,0.3168,0.1909,0.2382,0.5542
ddim,4,4,0.0901,polar3,polar,2000,12000,0.9106,0.9614,0.9343,0.8120,0.3979,0.5341,0.7478
ddim,4,4,0.0901,knn,knn,5000,30000,0.8197,0.8649,0.8270,0.7676,0.3629,0.4928,0.6789
ddim,4,4,0.0901,altered_knn,altered_knn,5000,20000,0.8211,0.8841,0.8537,0.3415,0.1853,0.2403,0.5622
ddim,4,4,0.0901,polar3,polar,5000,30000,0.9105,0.9617,0.9338,0.8283,0.3935,0.5335,0.7476
ddim,4,4,0.0901,knn,knn,10000,60000,0.8369,0.8857,0.8486,0.7858,0.3441,0.4786,0.6821
ddim,4,4,0.0901,altered_knn,altered_knn,10000,40000,0.7965,0.8484,0.8557,0.1992,0.2719,0.2299,0.5392
ddim,4,4,0.0901,polar3,polar,10000,60000,0.9109,0.9626,0.9345,0.8304,0.3885,0.5293,0.7460
ddim,4,4,0.0901,knn,knn,20000,120000,0.8508,0.9027,0.8660,0.7843,0.3269,0.4614,0.6821
ddim,4,4,0.0901,altered_knn,altered_knn,20000,80000,0.8344,0.9060,0.8667,0.3622,0.1115,0.1706,0.5383
ddim,4,4,0.0901,polar3,polar,20000,120000,0.9108,0.9629,0.9338,0.8496,0.3857,0.5305,0.7467
ddim,4,4,0.0901,knn,knn,50000,300000,0.8737,0.9260,0.8910,0.8173,0.3452,0.4854,0.7057
ddim,4,4,0.0901,altered_knn,altered_knn,50000,200000,0.8429,0.9168,0.8735,0.4248,0.0971,0.1581,0.5374
ddim,4,4,0.0901,polar3,polar,50000,300000,0.9100,0.9624,0.9332,0.8388,0.3812,0.5242,0.7433
ddim,4,4,0.0901,knn,knn,100000,600000,0.8798,0.9337,0.8991,0.8207,0.3352,0.4760,0.7048
ddim,4,4,0.0901,altered_knn,altered_knn,100000,400000,0.8507,0.9271,0.8812,0.4948,0.0788,0.1360,0.5315
