process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,350,1500,0.9793,analytic,analytic,0.9585,0.9808,0.9718,0.4715,0.1661,0.2456,0.6132
ddim,2,2,150,0.0274,350,1500,0.9793,knn,knn,0.9472,0.9646,0.9645,0.3339,0.3321,0.3330,0.6488
ddim,2,2,150,0.0274,350,1500,0.9793,altered_knn,altered_knn,0.9192,0.9340,0.9505,0.1767,0.3923,0.2436,0.5888
ddim,2,2,150,0.0274,350,1500,0.9793,kernel,kernel,0.9530,0.9723,0.9668,0.4438,0.2664,0.3330,0.6526
ddim,2,2,150,0.0274,350,1500,0.9793,linear,linear,0.7087,0.7068,0.8255,0.0694,0.7755,0.1273,0.4171
ddim,2,2,150,0.0274,350,1500,0.9793,quadratic,quadratic,0.9577,0.9788,0.9721,0.4078,0.2099,0.2771,0.6280
ddim,2,2,150,0.0274,350,1500,0.9793,polar2,polar,0.9573,0.9778,0.9713,0.4305,0.2318,0.3013,0.6395
ddim,2,2,150,0.0274,350,1500,0.9793,polar3,polar,0.9572,0.9777,0.9712,0.4300,0.2299,0.2996,0.6387
ddim,2,2,150,0.0274,350,1500,0.9793,polar8,polar,0.9562,0.9780,0.9708,0.3797,0.1843,0.2482,0.6131
ddim,2,2,150,0.0274,350,1500,0.9793,mlp,mlp,0.9567,0.9782,0.9709,0.4061,0.1934,0.2621,0.6201
ddim,2,4,150,0.0297,350,3000,0.8970,analytic,analytic,0.9318,0.9539,0.9444,0.5586,0.2088,0.3039,0.6289
ddim,2,4,150,0.0297,350,3000,0.8970,knn,knn,0.9031,0.9213,0.9242,0.2427,0.3064,0.2708,0.5961
ddim,2,4,150,0.0297,350,3000,0.8970,altered_knn,altered_knn,0.8907,0.9143,0.9209,0.0813,0.1229,0.0979,0.5061
ddim,2,4,150,0.0297,350,3000,0.8970,kernel,kernel,0.9099,0.9288,0.9309,0.2461,0.2912,0.2668,0.5978
ddim,2,4,150,0.0297,350,3000,0.8970,linear,linear,0.1947,0.1814,0.2554,0.0230,0.6279,0.0443,0.1129
ddim,2,4,150,0.0297,350,3000,0.8970,quadratic,quadratic,0.9163,0.9354,0.9326,0.3537,0.2929,0.3204,0.6279
ddim,2,4,150,0.0297,350,3000,0.8970,polar2,polar,0.9123,0.9306,0.9336,0.2438,0.3131,0.2741,0.6024
ddim,2,4,150,0.0297,350,3000,0.8970,polar3,polar,0.9243,0.9425,0.9427,0.3183,0.3316,0.3248,0.6337
ddim,2,4,150,0.0297,350,3000,0.8970,polar8,polar,0.9257,0.9445,0.9420,0.3667,0.3148,0.3388,0.6416
ddim,2,4,150,0.0297,350,3000,0.8970,mlp,mlp,0.9334,0.9532,0.9457,0.5484,0.2862,0.3761,0.6647
ddim,2,8,150,0.0342,350,6000,0.8618,analytic,analytic,0.8647,0.8905,0.8806,0.3395,0.1347,0.1929,0.5417
ddim,2,8,150,0.0342,350,6000,0.8618,knn,knn,0.8311,0.8515,0.8612,0.1533,0.2548,0.1914,0.5214
ddim,2,8,150,0.0342,350,6000,0.8618,altered_knn,altered_knn,0.8521,0.8817,0.8672,0.1562,0.0146,0.0268,0.4542
ddim,2,8,150,0.0342,350,6000,0.8618,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,350,6000,0.8618,linear,linear,0.0947,0.0746,0.1144,0.0247,0.6603,0.0476,0.0611
ddim,2,8,150,0.0342,350,6000,0.8618,quadratic,quadratic,0.8258,0.8449,0.8637,0.1247,0.2870,0.1738,0.5093
ddim,2,8,150,0.0342,350,6000,0.8618,polar2,polar,0.8104,0.8290,0.8461,0.1269,0.2826,0.1751,0.5021
ddim,2,8,150,0.0342,350,6000,0.8618,polar3,polar,0.8460,0.8672,0.8728,0.1732,0.2474,0.2037,0.5355
ddim,2,8,150,0.0342,350,6000,0.8618,polar8,polar,0.8591,0.8815,0.8799,0.2370,0.2269,0.2319,0.5567
ddim,2,8,150,0.0342,350,6000,0.8618,mlp,mlp,0.8651,0.8897,0.8817,0.3240,0.1698,0.2229,0.5563
ddim,2,16,150,0.0522,350,12000,0.8851,analytic,analytic,0.7697,0.8077,0.7899,0.4250,0.0813,0.1365,0.4721
ddim,2,16,150,0.0522,350,12000,0.8851,knn,knn,0.7411,0.7708,0.7723,0.1930,0.2010,0.1969,0.4839
ddim,2,16,150,0.0522,350,12000,0.8851,altered_knn,altered_knn,0.6987,0.7252,0.7571,0.0874,0.2191,0.1250,0.4251
ddim,2,16,150,0.0522,350,12000,0.8851,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,350,12000,0.8851,linear,linear,0.0621,0.0143,0.0289,0.0496,0.9301,0.0942,0.0542
ddim,2,16,150,0.0522,350,12000,0.8851,quadratic,quadratic,0.7084,0.7189,0.7603,0.1750,0.5187,0.2617,0.4903
ddim,2,16,150,0.0522,350,12000,0.8851,polar2,polar,0.7663,0.7966,0.7868,0.3466,0.2172,0.2671,0.5318
ddim,2,16,150,0.0522,350,12000,0.8851,polar3,polar,0.7756,0.8087,0.7967,0.3459,0.1751,0.2325,0.5206
ddim,2,16,150,0.0522,350,12000,0.8851,polar8,polar,0.7725,0.8065,0.7936,0.3779,0.1569,0.2218,0.5141
ddim,2,16,150,0.0522,350,12000,0.8851,mlp,mlp,0.7614,0.7973,0.7823,0.3906,0.1110,0.1729,0.4851
ddim,4,2,150,0.0306,350,1500,0.9787,analytic,analytic,0.9645,0.9878,0.9766,0.8235,0.2284,0.3576,0.6727
ddim,4,2,150,0.0306,350,1500,0.9787,knn,knn,0.8613,0.8849,0.8732,0.7474,0.1158,0.2006,0.5427
ddim,4,2,150,0.0306,350,1500,0.9787,altered_knn,altered_knn,0.7970,0.8080,0.8814,0.0718,0.4502,0.1238,0.4659
ddim,4,2,150,0.0306,350,1500,0.9787,kernel,kernel,0.8882,0.9130,0.9000,0.9275,0.1044,0.1877,0.5503
ddim,4,2,150,0.0306,350,1500,0.9787,linear,linear,0.6777,0.6851,0.8047,0.0427,0.4437,0.0778,0.3815
ddim,4,2,150,0.0306,350,1500,0.9787,quadratic,quadratic,0.9641,0.9871,0.9763,0.7923,0.2365,0.3643,0.6757
ddim,4,2,150,0.0306,350,1500,0.9787,polar2,polar,0.9648,0.9862,0.9766,0.7607,0.2904,0.4203,0.7032
ddim,4,2,150,0.0306,350,1500,0.9787,polar3,polar,0.9654,0.9861,0.9770,0.7579,0.3116,0.4416,0.7138
ddim,4,2,150,0.0306,350,1500,0.9787,polar8,polar,0.9603,0.9820,0.9733,0.6340,0.2741,0.3827,0.6823
ddim,4,2,150,0.0306,350,1500,0.9787,mlp,mlp,0.9635,0.9842,0.9756,0.7011,0.3100,0.4299,0.7070
ddim,4,4,150,0.0205,350,3000,0.9443,analytic,analytic,0.8885,0.9033,0.8973,0.3676,0.1829,0.2443,0.5738
ddim,4,4,150,0.0205,350,3000,0.9443,knn,knn,0.7463,0.7590,0.7599,0.1504,0.1390,0.1445,0.4517
ddim,4,4,150,0.0205,350,3000,0.9443,altered_knn,altered_knn,0.7908,0.8048,0.8185,0.0451,0.1195,0.0655,0.4352
