sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9512,0.9900,0.9741,0.6159,0.2620,0.3676,0.6788
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9332,0.9775,0.9647,0.2743,0.1455,0.1902,0.5838
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9561,0.9966,0.9770,0.8155,0.2366,0.3668,0.6817
ddim,2,2,0.0532,knn,knn,5000,15000,0.9558,0.9949,0.9768,0.7610,0.2601,0.3877,0.6913
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9435,0.9890,0.9704,0.4174,0.1352,0.2043,0.5966
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9561,0.9970,0.9769,0.8385,0.2291,0.3599,0.6784
ddim,2,2,0.0532,knn,knn,10000,30000,0.9560,0.9960,0.9769,0.7939,0.2460,0.3756,0.6858
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9445,0.9902,0.9712,0.4329,0.1333,0.2039,0.5970
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9561,0.9970,0.9769,0.8408,0.2282,0.3589,0.6780
ddim,2,2,0.0532,knn,knn,20000,60000,0.9559,0.9969,0.9769,0.8231,0.2272,0.3561,0.6765
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9466,0.9939,0.9723,0.4934,0.1052,0.1734,0.5837
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9561,0.9969,0.9770,0.8367,0.2310,0.3620,0.6795
ddim,2,2,0.0532,knn,knn,50000,150000,0.9559,0.9973,0.9768,0.8509,0.2197,0.3493,0.6733
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9476,0.9976,0.9728,0.6117,0.0592,0.1079,0.5527
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9561,0.9969,0.9770,0.8367,0.2310,0.3620,0.6795
ddim,2,2,0.0532,knn,knn,100000,300000,0.9559,0.9973,0.9767,0.8598,0.2188,0.3488,0.6731
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9470,0.9984,0.9724,0.6316,0.0338,0.0642,0.5313
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9561,0.9969,0.9770,0.8367,0.2310,0.3620,0.6795
ddim,2,4,0.0345,knn,knn,2000,12000,0.8571,0.8782,0.8723,0.3078,0.2677,0.2864,0.5823
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.8485,0.8741,0.8727,0.1193,0.1331,0.1259,0.5000
ddim,2,4,0.0345,polar3,polar,2000,12000,0.8635,0.8837,0.8755,0.4132,0.2996,0.3473,0.6155
ddim,2,4,0.0345,knn,knn,5000,30000,0.8614,0.8835,0.8738,0.3733,0.2431,0.2945,0.5890
ddim,2,4,0.0345,altered_knn,altered_knn,5000,20000,0.8504,0.8758,0.8714,0.1524,0.1418,0.1469,0.5114
ddim,2,4,0.0345,polar3,polar,5000,30000,0.8636,0.8837,0.8754,0.4199,0.2996,0.3497,0.6167
