sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9550,0.9904,0.9760,0.6791,0.3258,0.4404,0.7154
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9341,0.9780,0.9653,0.2885,0.1549,0.2016,0.5898
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9620,0.9979,0.9799,0.9225,0.3239,0.4795,0.7387
ddim,2,2,0.0532,knn,knn,5000,15000,0.9600,0.9951,0.9790,0.8027,0.3362,0.4739,0.7345
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9445,0.9902,0.9708,0.4505,0.1324,0.2046,0.5974
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9621,0.9979,0.9800,0.9229,0.3258,0.4816,0.7398
ddim,2,2,0.0532,knn,knn,10000,30000,0.9606,0.9965,0.9793,0.8498,0.3239,0.4691,0.7328
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9444,0.9913,0.9711,0.4250,0.1117,0.1770,0.5841
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9624,0.9979,0.9802,0.9239,0.3305,0.4869,0.7424
ddim,2,2,0.0532,knn,knn,20000,60000,0.9611,0.9970,0.9794,0.8840,0.3221,0.4721,0.7346
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9472,0.9954,0.9726,0.5272,0.0911,0.1553,0.5753
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9622,0.9979,0.9801,0.9211,0.3286,0.4844,0.7412
ddim,2,2,0.0532,knn,knn,50000,150000,0.9609,0.9977,0.9793,0.9132,0.3061,0.4585,0.7281
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9476,0.9986,0.9728,0.7097,0.0413,0.0781,0.5384
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9621,0.9979,0.9800,0.9204,0.3258,0.4813,0.7396
ddim,2,2,0.0532,knn,knn,100000,300000,0.9612,0.9979,0.9795,0.9242,0.3089,0.4631,0.7305
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9477,0.9985,0.9727,0.7500,0.0451,0.0850,0.5418
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9620,0.9978,0.9799,0.9202,0.3249,0.4802,0.7390
ddim,2,4,0.0345,knn,knn,2000,12000,0.8861,0.9076,0.9020,0.3273,0.2865,0.3056,0.6066
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.8706,0.8964,0.9011,0.1057,0.1505,0.1242,0.5103
ddim,2,4,0.0345,polar3,polar,2000,12000,0.8914,0.9116,0.9035,0.4440,0.3271,0.3767,0.6442
ddim,2,4,0.0345,knn,knn,5000,30000,0.8900,0.9123,0.9027,0.4048,0.2677,0.3223,0.6173
ddim,2,4,0.0345,altered_knn,altered_knn,5000,20000,0.8841,0.9129,0.8999,0.1757,0.0796,0.1096,0.5113
ddim,2,4,0.0345,polar3,polar,5000,30000,0.8915,0.9117,0.9033,0.4520,0.3271,0.3795,0.6456
ddim,2,4,0.0345,knn,knn,10000,60000,0.8916,0.9141,0.9025,0.4712,0.2605,0.3355,0.6248
ddim,2,4,0.0345,altered_knn,altered_knn,10000,40000,0.8788,0.9051,0.9006,0.1624,0.1462,0.1538,0.5295
ddim,2,4,0.0345,polar3,polar,10000,60000,0.8917,0.9118,0.9033,0.4608,0.3314,0.3855,0.6487
ddim,2,4,0.0345,knn,knn,20000,120000,0.8929,0.9158,0.9028,0.5333,0.2547,0.3448,0.6303
ddim,2,4,0.0345,altered_knn,altered_knn,20000,80000,0.8795,0.9060,0.9000,0.1696,0.1404,0.1536,0.5298
ddim,2,4,0.0345,polar3,polar,20000,120000,0.8920,0.9118,0.9034,0.4689,0.3386,0.3933,0.6525
ddim,2,4,0.0345,knn,knn,50000,300000,0.8942,0.9171,0.9028,0.6286,0.2547,0.3625,0.6398
ddim,2,4,0.0345,altered_knn,altered_knn,50000,200000,0.8851,0.9147,0.9001,0.1687,0.0593,0.0878,0.5012
ddim,2,4,0.0345,polar3,polar,50000,300000,0.8926,0.9125,0.9034,0.4926,0.3386,0.4014,0.6569
ddim,2,4,0.0345,knn,knn,100000,600000,0.8945,0.9175,0.9025,0.6783,0.2533,0.3688,0.6432
ddim,2,4,0.0345,altered_knn,altered_knn,100000,400000,0.8866,0.9170,0.8996,0.1844,0.0376,0.0625,0.4897
ddim,2,4,0.0345,polar3,polar,100000,600000,0.8923,0.9125,0.9027,0.5022,0.3271,0.3961,0.6543
ddim,2,8,0.0269,knn,knn,2000,24000,0.8984,0.9171,0.9211,0.1782,0.2197,0.1968,0.5570
ddim,2,8,0.0269,altered_knn,altered_knn,2000,16000,0.8863,0.9065,0.9159,0.0930,0.1546,0.1162,0.5113
ddim,2,8,0.0269,polar3,polar,2000,24000,0.8998,0.9187,0.9213,0.1901,0.2142,0.2014,0.5601
ddim,2,8,0.0269,knn,knn,5000,60000,0.9028,0.9226,0.9226,0.2016,0.1862,0.1936,0.5581
ddim,2,8,0.0269,altered_knn,altered_knn,5000,40000,0.8991,0.9212,0.9198,0.1233,0.1006,0.1108,0.5160
ddim,2,8,0.0269,polar3,polar,5000,60000,0.8982,0.9169,0.9204,0.1842,0.2216,0.2012,0.5590
ddim,2,8,0.0269,knn,knn,10000,120000,0.9051,0.9253,0.9231,0.2279,0.1732,0.1968,0.5611
ddim,2,8,0.0269,altered_knn,altered_knn,10000,80000,0.8994,0.9207,0.9216,0.1288,0.1266,0.1277,0.5242
ddim,2,8,0.0269,polar3,polar,10000,120000,0.8975,0.9163,0.9200,0.1789,0.2179,0.1965,0.5564
ddim,2,8,0.0269,knn,knn,20000,240000,0.9061,0.9265,0.9230,0.2550,0.1676,0.2022,0.5644
ddim,2,8,0.0269,altered_knn,altered_knn,20000,160000,0.9042,0.9280,0.9214,0.1067,0.0447,0.0630,0.4955
ddim,2,8,0.0269,polar3,polar,20000,240000,0.8987,0.9172,0.9209,0.1881,0.2291,0.2065,0.5619
ddim,2,8,0.0269,knn,knn,50000,600000,0.9076,0.9284,0.9231,0.2986,0.1546,0.2037,0.5661
ddim,2,8,0.0269,altered_knn,altered_knn,50000,400000,0.9050,0.9289,0.9219,0.1078,0.0410,0.0594,0.4941
ddim,2,8,0.0269,polar3,polar,50000,600000,0.9002,0.9198,0.9212,0.1835,0.1899,0.1866,0.5532
ddim,2,8,0.0269,knn,knn,100000,1200000,0.9080,0.9290,0.9230,0.3120,0.1453,0.1982,0.5636
ddim,2,8,0.0269,altered_knn,altered_knn,100000,800000,0.9056,0.9299,0.9218,0.0938,0.0279,0.0430,0.4865
ddim,2,8,0.0269,polar3,polar,100000,1200000,0.9006,0.9206,0.9211,0.1801,0.1750,0.1775,0.5491
ddim,4,2,0.1118,knn,knn,2000,6000,0.8350,0.9287,0.8788,0.9231,0.0912,0.1661,0.5474
ddim,4,2,0.1118,altered_knn,altered_knn,2000,4000,0.8428,0.9341,0.9028,0.2617,0.1172,0.1619,0.5480
ddim,4,2,0.1118,polar3,polar,2000,6000,0.9053,0.9960,0.9480,0.9408,0.1847,0.3088,0.6524
ddim,4,2,0.1118,knn,knn,5000,15000,0.8495,0.9444,0.8940,0.9072,0.0962,0.1739,0.5591
ddim,4,2,0.1118,altered_knn,altered_knn,5000,10000,0.8425,0.9332,0.9055,0.2371,0.1216,0.1608,0.5470
ddim,4,2,0.1118,polar3,polar,5000,15000,0.9051,0.9959,0.9480,0.9342,0.1843,0.3078,0.6518
ddim,4,2,0.1118,knn,knn,10000,30000,0.8597,0.9560,0.9051,0.8838,0.0953,0.1720,0.5640
ddim,4,2,0.1118,altered_knn,altered_knn,10000,20000,0.8352,0.9149,0.9043,0.2475,0.2017,0.2223,0.5686
ddim,4,2,0.1118,polar3,polar,10000,30000,0.9052,0.9959,0.9480,0.9344,0.1847,0.3084,0.6522
ddim,4,2,0.1118,knn,knn,20000,60000,0.8640,0.9598,0.9092,0.8851,0.1033,0.1850,0.5724
ddim,4,2,0.1118,altered_knn,altered_knn,20000,40000,0.8619,0.9688,0.9144,0.2302,0.0130,0.0246,0.4967
ddim,4,2,0.1118,polar3,polar,20000,60000,0.9054,0.9960,0.9481,0.9389,0.1856,0.3099,0.6530
ddim,4,2,0.1118,knn,knn,50000,150000,0.8763,0.9715,0.9212,0.9060,0.1208,0.2131,0.5923
ddim,4,2,0.1118,altered_knn,altered_knn,50000,100000,0.8467,0.9301,0.9130,0.2626,0.1847,0.2169,0.5735
ddim,4,2,0.1118,polar3,polar,50000,150000,0.9053,0.9959,0.9481,0.9368,0.1856,0.3098,0.6529
ddim,4,2,0.1118,knn,knn,100000,300000,0.8812,0.9766,0.9262,0.9136,0.1230,0.2168,0.5967
ddim,4,2,0.1118,altered_knn,altered_knn,100000,200000,0.8650,0.9689,0.9201,0.2514,0.0398,0.0687,0.5188
ddim,4,2,0.1118,polar3,polar,100000,300000,0.9055,0.9959,0.9481,0.9393,0.1869,0.3118,0.6539
ddim,4,4,0.0901,knn,knn,2000,12000,0.7572,0.8115,0.7688,0.7970,0.2092,0.3314,0.5714
ddim,4,4,0.0901,altered_knn,altered_knn,2000,8000,0.7966,0.8565,0.8246,0.4009,0.1920,0.2597,0.5581
ddim,4,4,0.0901,polar3,polar,2000,12000,0.8492,0.9141,0.8755,0.7322,0.1942,0.3070,0.6105
ddim,4,4,0.0901,knn,knn,5000,30000,0.7871,0.8466,0.8028,0.7714,0.1853,0.2989,0.5728
ddim,4,4,0.0901,altered_knn,altered_knn,5000,20000,0.8000,0.8644,0.8280,0.4135,0.1498,0.2200,0.5422
ddim,4,4,0.0901,polar3,polar,5000,30000,0.8488,0.9141,0.8750,0.7419,0.1898,0.3023,0.6082
ddim,4,4,0.0901,knn,knn,10000,60000,0.7981,0.8597,0.8168,0.7482,0.1765,0.2856,0.5726
ddim,4,4,0.0901,altered_knn,altered_knn,10000,40000,0.8047,0.8693,0.8321,0.4439,0.1515,0.2259,0.5476
ddim,4,4,0.0901,polar3,polar,10000,60000,0.8483,0.9137,0.8745,0.7494,0.1876,0.3000,0.6069
ddim,4,4,0.0901,knn,knn,20000,120000,0.8141,0.8772,0.8337,0.7901,0.1776,0.2900,0.5836
ddim,4,4,0.0901,altered_knn,altered_knn,20000,80000,0.8145,0.8854,0.8412,0.5313,0.0988,0.1666,0.5260
ddim,4,4,0.0901,polar3,polar,20000,120000,0.8478,0.9135,0.8737,0.7703,0.1842,0.2974,0.6054
ddim,4,4,0.0901,knn,knn,50000,300000,0.8266,0.8908,0.8474,0.8142,0.1776,0.2916,0.5912
