process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,150,0.0144,100,1500,0.9633,analytic,analytic,0.9823,0.9928,0.9894,0.5032,0.2699,0.3514,0.6721
flow,2,2,150,0.0144,100,1500,0.9633,knn,knn,0.9609,0.9672,0.9728,0.2957,0.5260,0.3786,0.6729
flow,2,2,150,0.0144,100,1500,0.9633,altered_knn,altered_knn,0.9229,0.9308,0.9539,0.0898,0.3875,0.1458,0.5383
flow,2,2,150,0.0144,100,1500,0.9633,kernel,kernel,0.9659,0.9737,0.9741,0.4131,0.4360,0.4242,0.6990
flow,2,2,150,0.0144,100,1500,0.9633,linear,linear,0.6979,0.6998,0.8201,0.0271,0.5709,0.0518,0.3758
flow,2,2,150,0.0144,100,1500,0.9633,quadratic,quadratic,0.9791,0.9875,0.9871,0.4307,0.4083,0.4192,0.7033
flow,2,2,150,0.0144,100,1500,0.9633,polar2,polar,0.9822,0.9898,0.9892,0.5019,0.4671,0.4839,0.7368
flow,2,2,150,0.0144,100,1500,0.9633,polar3,polar,0.9821,0.9900,0.9893,0.4868,0.4464,0.4657,0.7278
flow,2,2,150,0.0144,100,1500,0.9633,polar8,polar,0.9822,0.9903,0.9894,0.4921,0.4291,0.4584,0.7244
flow,2,2,150,0.0144,100,1500,0.9633,mlp,mlp,0.9830,0.9907,0.9896,0.5385,0.4602,0.4963,0.7435
flow,2,4,150,0.0151,100,3000,0.8403,analytic,analytic,0.9735,0.9843,0.9812,0.4545,0.2649,0.3347,0.6595
flow,2,4,150,0.0151,100,3000,0.8403,knn,knn,0.9268,0.9353,0.9455,0.1526,0.3709,0.2162,0.5757
flow,2,4,150,0.0151,100,3000,0.8403,altered_knn,altered_knn,0.9207,0.9344,0.9296,0.0968,0.0298,0.0456,0.4900
flow,2,4,150,0.0151,100,3000,0.8403,kernel,kernel,0.9329,0.9416,0.9513,0.1566,0.3675,0.2196,0.5806
flow,2,4,150,0.0151,100,3000,0.8403,linear,linear,0.1934,0.1851,0.2691,0.0137,0.7384,0.0269,0.1060
flow,2,4,150,0.0151,100,3000,0.8403,quadratic,quadratic,0.9480,0.9568,0.9613,0.2324,0.3709,0.2857,0.6213
flow,2,4,150,0.0151,100,3000,0.8403,polar2,polar,0.9383,0.9469,0.9576,0.1517,0.3742,0.2159,0.5814
flow,2,4,150,0.0151,100,3000,0.8403,polar3,polar,0.9537,0.9618,0.9687,0.2203,0.4238,0.2899,0.6259
flow,2,4,150,0.0151,100,3000,0.8403,polar8,polar,0.9605,0.9689,0.9736,0.2531,0.4106,0.3131,0.6410
flow,2,4,150,0.0151,100,3000,0.8403,mlp,mlp,0.9677,0.9775,0.9768,0.3686,0.3344,0.3507,0.6641
flow,2,8,150,0.0299,100,6000,0.8007,analytic,analytic,0.8923,0.9150,0.9064,0.4338,0.1589,0.2326,0.5738
flow,2,8,150,0.0299,100,6000,0.8007,knn,knn,0.8605,0.8755,0.8875,0.1967,0.3746,0.2579,0.5667
flow,2,8,150,0.0299,100,6000,0.8007,altered_knn,altered_knn,0.8626,0.8876,0.8751,0.4366,0.0518,0.0927,0.4902
flow,2,8,150,0.0299,100,6000,0.8007,kernel,kernel,0.0299,0.0000,0.0000,0.0299,1.0000,0.0581,0.0290
flow,2,8,150,0.0299,100,6000,0.8007,linear,linear,0.0994,0.0783,0.1244,0.0257,0.7843,0.0497,0.0640
flow,2,8,150,0.0299,100,6000,0.8007,quadratic,quadratic,0.8540,0.8677,0.8901,0.1576,0.4080,0.2274,0.5476
flow,2,8,150,0.0299,100,6000,0.8007,polar2,polar,0.8401,0.8536,0.8728,0.1597,0.4030,0.2288,0.5412
flow,2,8,150,0.0299,100,6000,0.8007,polar3,polar,0.8725,0.8885,0.8960,0.2208,0.3545,0.2721,0.5803
flow,2,8,150,0.0299,100,6000,0.8007,polar8,polar,0.8897,0.9067,0.9068,0.3222,0.3378,0.3298,0.6183
flow,2,8,150,0.0299,100,6000,0.8007,mlp,mlp,0.8925,0.9120,0.9050,0.4740,0.2592,0.3351,0.6236
flow,2,16,150,0.0193,100,12000,0.8455,analytic,analytic,0.8760,0.8892,0.8848,0.4451,0.2098,0.2852,0.5872
flow,2,16,150,0.0193,100,12000,0.8455,knn,knn,0.8327,0.8408,0.8570,0.1492,0.4249,0.2209,0.5308
flow,2,16,150,0.0193,100,12000,0.8455,altered_knn,altered_knn,0.8245,0.8372,0.8565,0.0567,0.1839,0.0866,0.4619
flow,2,16,150,0.0193,100,12000,0.8455,kernel,kernel,0.0193,0.0000,0.0000,0.0193,1.0000,0.0379,0.0189
