sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,2,0.0100,knn,knn,20000,60000,0.9935,0.9952,0.9958,0.6600,0.8259,0.7337,0.8644
ddim,0,2,2,0.0100,altered_knn,altered_knn,20000,40000,0.9869,0.9954,0.9924,0.2981,0.1542,0.2033,0.5993
ddim,0,2,2,0.0100,quadratic,quadratic,20000,60000,0.9725,0.9768,0.9742,0.5353,0.5473,0.5412,0.7590
ddim,0,2,2,0.0100,quadratic_cal,quadratic,20000,60000,0.9727,0.9771,0.9743,0.5491,0.5423,0.5457,0.7614
ddim,0,2,2,0.0100,polar8,polar,20000,60000,0.9932,0.9951,0.9955,0.6750,0.8060,0.7347,0.8649
ddim,0,2,2,0.0100,polar8_cal,polar,20000,60000,0.9933,0.9952,0.9955,0.6821,0.8060,0.7389,0.8670
ddim,0,2,2,0.0100,knn,knn,50000,150000,0.9936,0.9956,0.9958,0.6957,0.7960,0.7425,0.8690
ddim,0,2,2,0.0100,altered_knn,altered_knn,50000,100000,0.9866,0.9953,0.9923,0.2500,0.1368,0.1768,0.5861
ddim,0,2,2,0.0100,quadratic,quadratic,50000,150000,0.9731,0.9774,0.9747,0.5446,0.5473,0.5459,0.7617
ddim,0,2,2,0.0100,quadratic_cal,quadratic,50000,150000,0.9733,0.9777,0.9749,0.5581,0.5373,0.5475,0.7626
ddim,0,2,2,0.0100,polar8,polar,50000,150000,0.9932,0.9952,0.9955,0.6778,0.8060,0.7364,0.8658
ddim,0,2,2,0.0100,polar8_cal,polar,50000,150000,0.9933,0.9952,0.9955,0.6821,0.8060,0.7389,0.8670
ddim,0,2,2,0.0100,knn,knn,100000,300000,0.9937,0.9958,0.9959,0.7201,0.7935,0.7550,0.8754
ddim,0,2,2,0.0100,altered_knn,altered_knn,100000,200000,0.9873,0.9964,0.9928,0.2429,0.0846,0.1255,0.5610
ddim,0,2,2,0.0100,quadratic,quadratic,100000,300000,0.9797,0.9842,0.9823,0.5333,0.5373,0.5353,0.7598
ddim,0,2,2,0.0100,quadratic_cal,quadratic,100000,300000,0.9798,0.9844,0.9823,0.5394,0.5274,0.5333,0.7589
ddim,0,2,2,0.0100,polar8,polar,100000,300000,0.9933,0.9953,0.9955,0.6872,0.8035,0.7408,0.8680
ddim,0,2,2,0.0100,polar8_cal,polar,100000,300000,0.9933,0.9952,0.9955,0.6850,0.8060,0.7406,0.8679
ddim,0,2,4,0.0104,knn,knn,20000,120000,0.9875,0.9904,0.9910,0.5134,0.7102,0.5960,0.7932
ddim,0,2,4,0.0104,altered_knn,altered_knn,20000,80000,0.9778,0.9849,0.9856,0.1915,0.3030,0.2347,0.6098
ddim,0,2,4,0.0104,quadratic,quadratic,20000,120000,0.9181,0.9220,0.9259,0.1848,0.5497,0.2766,0.5993
ddim,0,2,4,0.0104,quadratic_cal,quadratic,20000,120000,0.9305,0.9366,0.9302,0.3701,0.3617,0.3658,0.6512
ddim,0,2,4,0.0104,polar8,polar,20000,120000,0.9862,0.9889,0.9898,0.4841,0.7281,0.5815,0.7852
ddim,0,2,4,0.0104,polar8_cal,polar,20000,120000,0.9884,0.9922,0.9910,0.6357,0.6311,0.6334,0.8128
ddim,0,2,4,0.0104,knn,knn,50000,300000,0.9881,0.9915,0.9910,0.5756,0.6659,0.6174,0.8044
ddim,0,2,4,0.0104,altered_knn,altered_knn,50000,200000,0.9832,0.9921,0.9885,0.2469,0.1413,0.1797,0.5859
ddim,0,2,4,0.0104,quadratic,quadratic,50000,300000,0.9279,0.9317,0.9368,0.1909,0.5665,0.2855,0.6086
ddim,0,2,4,0.0104,quadratic_cal,quadratic,50000,300000,0.9391,0.9451,0.9396,0.3977,0.3701,0.3834,0.6642
ddim,0,2,4,0.0104,polar8,polar,50000,300000,0.9870,0.9899,0.9903,0.5169,0.7138,0.5996,0.7948
ddim,0,2,4,0.0104,polar8_cal,polar,50000,300000,0.9888,0.9927,0.9912,0.6821,0.6168,0.6478,0.8202
ddim,0,2,4,0.0104,knn,knn,100000,600000,0.9887,0.9922,0.9913,0.6325,0.6575,0.6447,0.8185
ddim,0,2,4,0.0104,altered_knn,altered_knn,100000,400000,0.9835,0.9927,0.9888,0.2354,0.1114,0.1512,0.5719
ddim,0,2,4,0.0104,quadratic,quadratic,100000,600000,0.9430,0.9466,0.9548,0.1894,0.5988,0.2878,0.6172
ddim,0,2,4,0.0104,quadratic_cal,quadratic,100000,600000,0.9559,0.9616,0.9580,0.4573,0.4168,0.4361,0.6988
ddim,0,2,4,0.0104,polar8,polar,100000,600000,0.9877,0.9908,0.9907,0.5587,0.6898,0.6174,0.8041
ddim,0,2,4,0.0104,polar8_cal,polar,100000,600000,0.9888,0.9924,0.9912,0.6566,0.6527,0.6547,0.8235
ddim,0,2,8,0.0113,knn,knn,20000,240000,0.9781,0.9835,0.9842,0.3836,0.5039,0.4356,0.7095
ddim,0,2,8,0.0113,altered_knn,altered_knn,20000,160000,0.9728,0.9822,0.9813,0.1466,0.1560,0.1511,0.5666
ddim,0,2,8,0.0113,quadratic,quadratic,20000,240000,0.8352,0.8383,0.8950,0.0455,0.5631,0.0841,0.4612
ddim,0,2,8,0.0113,quadratic_cal,quadratic,20000,240000,0.9395,0.9467,0.9449,0.2845,0.3103,0.2968,0.6218
ddim,0,2,8,0.0113,polar8,polar,20000,240000,0.9780,0.9831,0.9841,0.3863,0.5315,0.4474,0.7152
ddim,0,2,8,0.0113,polar8_cal,polar,20000,240000,0.9799,0.9860,0.9841,0.5358,0.4513,0.4899,0.7380
ddim,0,2,8,0.0113,knn,knn,50000,600000,0.9790,0.9848,0.9841,0.4415,0.4735,0.4569,0.7208
ddim,0,2,8,0.0113,altered_knn,altered_knn,50000,400000,0.9764,0.9869,0.9821,0.1653,0.0548,0.0823,0.5346
ddim,0,2,8,0.0113,quadratic,quadratic,50000,600000,0.8892,0.8931,0.9367,0.0593,0.5492,0.1070,0.5001
ddim,0,2,8,0.0113,quadratic_cal,quadratic,50000,600000,0.9709,0.9782,0.9779,0.3046,0.3319,0.3176,0.6479
ddim,0,2,8,0.0113,polar8,polar,50000,600000,0.9788,0.9843,0.9841,0.4292,0.5050,0.4640,0.7242
ddim,0,2,8,0.0113,polar8_cal,polar,50000,600000,0.9800,0.9860,0.9841,0.5372,0.4508,0.4902,0.7381
ddim,0,2,8,0.0113,knn,knn,100000,1200000,0.9794,0.9854,0.9840,0.4842,0.4563,0.4698,0.7276
ddim,0,2,8,0.0113,altered_knn,altered_knn,100000,800000,0.9756,0.9857,0.9823,0.1637,0.0979,0.1225,0.5541
ddim,0,2,8,0.0113,quadratic,quadratic,100000,1200000,0.9090,0.9132,0.9475,0.0722,0.5382,0.1273,0.5203
