sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,2,2,0.0100,knn,knn,20000,60000,0.9397,0.9435,0.9513,0.1805,0.5672,0.2739,0.6087
ddim,0,2,2,0.0100,altered_knn,altered_knn,20000,40000,0.9490,0.9584,0.9594,0.0118,0.0174,0.0140,0.4862
ddim,0,2,2,0.0100,quadratic,quadratic,20000,60000,0.9145,0.9177,0.9242,0.1733,0.5995,0.2688,0.5933
ddim,0,2,2,0.0100,quadratic_cal,quadratic,20000,60000,0.9176,0.9210,0.9256,0.1916,0.5871,0.2889,0.6049
ddim,0,2,2,0.0100,polar8,polar,20000,60000,0.9395,0.9430,0.9509,0.1868,0.5970,0.2845,0.6138
ddim,0,2,2,0.0100,polar8_cal,polar,20000,60000,0.9393,0.9428,0.9509,0.1855,0.5970,0.2830,0.6129
ddim,0,2,2,0.0100,knn,knn,50000,150000,0.9400,0.9437,0.9510,0.1868,0.5771,0.2822,0.6129
ddim,0,2,2,0.0100,altered_knn,altered_knn,50000,100000,0.9534,0.9631,0.9584,0.0123,0.0075,0.0093,0.4862
ddim,0,2,2,0.0100,quadratic,quadratic,50000,150000,0.9153,0.9186,0.9248,0.1757,0.5970,0.2715,0.5950
ddim,0,2,2,0.0100,quadratic_cal,quadratic,50000,150000,0.9181,0.9215,0.9262,0.1927,0.5896,0.2904,0.6060
ddim,0,2,2,0.0100,polar8,polar,50000,150000,0.9395,0.9430,0.9508,0.1862,0.5920,0.2833,0.6132
ddim,0,2,2,0.0100,polar8_cal,polar,50000,150000,0.9393,0.9428,0.9508,0.1848,0.5945,0.2820,0.6124
ddim,0,2,2,0.0100,knn,knn,100000,300000,0.9400,0.9437,0.9508,0.1873,0.5721,0.2822,0.6130
ddim,0,2,2,0.0100,altered_knn,altered_knn,100000,200000,0.9547,0.9643,0.9582,0.0134,0.0050,0.0073,0.4858
ddim,0,2,2,0.0100,quadratic,quadratic,100000,300000,0.9222,0.9253,0.9320,0.1844,0.6169,0.2839,0.6046
ddim,0,2,2,0.0100,quadratic_cal,quadratic,100000,300000,0.9235,0.9267,0.9326,0.1923,0.6119,0.2927,0.6097
ddim,0,2,2,0.0100,polar8,polar,100000,300000,0.9394,0.9430,0.9507,0.1862,0.5896,0.2830,0.6130
ddim,0,2,2,0.0100,polar8_cal,polar,100000,300000,0.9394,0.9429,0.9507,0.1856,0.5920,0.2827,0.6128
ddim,0,2,4,0.0104,knn,knn,20000,120000,0.8892,0.8937,0.8880,0.2508,0.4659,0.3261,0.6099
ddim,0,2,4,0.0104,altered_knn,altered_knn,20000,80000,0.8906,0.8992,0.8890,0.0733,0.0707,0.0720,0.4856
ddim,0,2,4,0.0104,quadratic,quadratic,20000,120000,0.8438,0.8467,0.8638,0.0986,0.5677,0.1680,0.5073
ddim,0,2,4,0.0104,quadratic_cal,quadratic,20000,120000,0.8686,0.8743,0.8712,0.1896,0.3222,0.2387,0.5565
ddim,0,2,4,0.0104,polar8,polar,20000,120000,0.8881,0.8925,0.8877,0.2406,0.4802,0.3205,0.6065
