sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,0.0532,knn,knn,2000,6000,0.9097,0.9064,0.9499,0.3694,0.9690,0.5349,0.7206
ddim,2,2,0.0532,altered_knn,altered_knn,2000,4000,0.9136,0.9513,0.9542,0.2198,0.2441,0.2313,0.5913
ddim,2,2,0.0532,polar3,polar,2000,6000,0.9041,0.9015,0.9467,0.3531,0.9512,0.5150,0.7083
ddim,2,2,0.0532,knn,knn,5000,15000,0.9106,0.9077,0.9506,0.3698,0.9624,0.5343,0.7210
ddim,2,2,0.0532,altered_knn,altered_knn,5000,10000,0.9290,0.9695,0.9627,0.2784,0.2094,0.2390,0.6042
ddim,2,2,0.0532,polar3,polar,5000,15000,0.9036,0.9009,0.9464,0.3516,0.9512,0.5134,0.7072
ddim,2,2,0.0532,knn,knn,10000,30000,0.9097,0.9071,0.9500,0.3672,0.9568,0.5307,0.7189
ddim,2,2,0.0532,altered_knn,altered_knn,10000,20000,0.9404,0.9839,0.9689,0.3685,0.1671,0.2300,0.6069
ddim,2,2,0.0532,polar3,polar,10000,30000,0.9035,0.9008,0.9463,0.3516,0.9512,0.5134,0.7071
ddim,2,2,0.0532,knn,knn,20000,60000,0.9087,0.9063,0.9494,0.3647,0.9521,0.5274,0.7169
ddim,2,2,0.0532,altered_knn,altered_knn,20000,40000,0.9460,0.9929,0.9719,0.4724,0.1127,0.1820,0.5874
ddim,2,2,0.0532,polar3,polar,20000,60000,0.9035,0.9009,0.9464,0.3515,0.9512,0.5133,0.7071
ddim,2,2,0.0532,knn,knn,50000,150000,0.9068,0.9046,0.9483,0.3594,0.9465,0.5209,0.7128
ddim,2,2,0.0532,altered_knn,altered_knn,50000,100000,0.9473,0.9971,0.9726,0.5776,0.0629,0.1135,0.5553
ddim,2,2,0.0532,polar3,polar,50000,150000,0.9043,0.9017,0.9469,0.3533,0.9521,0.5154,0.7085
ddim,2,2,0.0532,knn,knn,100000,300000,0.9051,0.9027,0.9472,0.3555,0.9474,0.5170,0.7099
ddim,2,2,0.0532,altered_knn,altered_knn,100000,200000,0.9468,0.9981,0.9723,0.5692,0.0347,0.0655,0.5318
ddim,2,2,0.0532,polar3,polar,100000,300000,0.9036,0.9009,0.9464,0.3517,0.9521,0.5137,0.7073
ddim,2,4,0.0345,knn,knn,2000,12000,0.9291,0.9330,0.9456,0.3909,0.8191,0.5292,0.7311
ddim,2,4,0.0345,altered_knn,altered_knn,2000,8000,0.9025,0.9241,0.9265,0.1499,0.2996,0.1998,0.5620
ddim,2,4,0.0345,polar3,polar,2000,12000,0.9283,0.9335,0.9464,0.3946,0.7858,0.5254,0.7294
ddim,2,4,0.0345,knn,knn,5000,30000,0.9310,0.9360,0.9478,0.4100,0.7916,0.5402,0.7381
ddim,2,4,0.0345,altered_knn,altered_knn,5000,20000,0.9098,0.9316,0.9331,0.1612,0.2996,0.2096,0.5706
ddim,2,4,0.0345,polar3,polar,5000,30000,0.9281,0.9330,0.9460,0.3972,0.7916,0.5290,0.7310
ddim,2,4,0.0345,knn,knn,10000,60000,0.9322,0.9376,0.9483,0.4293,0.7815,0.5541,0.7459
ddim,2,4,0.0345,altered_knn,altered_knn,10000,40000,0.9235,0.9495,0.9431,0.1812,0.1983,0.1894,0.5694
ddim,2,4,0.0345,polar3,polar,10000,60000,0.9279,0.9328,0.9459,0.3954,0.7902,0.5270,0.7299
ddim,2,4,0.0345,knn,knn,20000,120000,0.9323,0.9380,0.9482,0.4357,0.7742,0.5576,0.7478
ddim,2,4,0.0345,altered_knn,altered_knn,20000,80000,0.9290,0.9577,0.9470,0.1831,0.1288,0.1512,0.5545
ddim,2,4,0.0345,polar3,polar,20000,120000,0.9279,0.9329,0.9459,0.3951,0.7873,0.5261,0.7295
ddim,2,4,0.0345,knn,knn,50000,300000,0.9325,0.9381,0.9486,0.4410,0.7786,0.5631,0.7506
ddim,2,4,0.0345,altered_knn,altered_knn,50000,200000,0.9336,0.9644,0.9496,0.2116,0.0738,0.1094,0.5369
ddim,2,4,0.0345,polar3,polar,50000,300000,0.9280,0.9333,0.9461,0.3957,0.7800,0.5251,0.7292
ddim,2,4,0.0345,knn,knn,100000,600000,0.9331,0.9386,0.9489,0.4474,0.7815,0.5690,0.7538
ddim,2,4,0.0345,altered_knn,altered_knn,100000,400000,0.9342,0.9666,0.9500,0.1511,0.0304,0.0506,0.5086
ddim,2,4,0.0345,polar3,polar,100000,600000,0.9282,0.9338,0.9462,0.3967,0.7728,0.5243,0.7291
ddim,2,8,0.0269,knn,knn,2000,24000,0.9146,0.9338,0.9388,0.1708,0.2179,0.1915,0.5626
ddim,2,8,0.0269,altered_knn,altered_knn,2000,16000,0.8998,0.9174,0.9337,0.1233,0.2644,0.1681,0.5428
ddim,2,8,0.0269,polar3,polar,2000,24000,0.9165,0.9342,0.9398,0.2096,0.2756,0.2381,0.5862
ddim,2,8,0.0269,knn,knn,5000,60000,0.9187,0.9394,0.9400,0.1818,0.1713,0.1764,0.5579
ddim,2,8,0.0269,altered_knn,altered_knn,5000,40000,0.9126,0.9344,0.9377,0.1073,0.1229,0.1146,0.5245
ddim,2,8,0.0269,polar3,polar,5000,60000,0.9163,0.9343,0.9388,0.2157,0.2663,0.2383,0.5863
ddim,2,8,0.0269,knn,knn,10000,120000,0.9215,0.9420,0.9401,0.2365,0.1788,0.2036,0.5728
ddim,2,8,0.0269,altered_knn,altered_knn,10000,80000,0.9179,0.9413,0.9383,0.1067,0.0708,0.0851,0.5132
ddim,2,8,0.0269,polar3,polar,10000,120000,0.9163,0.9342,0.9390,0.2142,0.2700,0.2389,0.5865
ddim,2,8,0.0269,knn,knn,20000,240000,0.9232,0.9439,0.9404,0.2706,0.1713,0.2098,0.5768
ddim,2,8,0.0269,altered_knn,altered_knn,20000,160000,0.9208,0.9449,0.9389,0.1083,0.0484,0.0669,0.5059
ddim,2,8,0.0269,polar3,polar,20000,240000,0.9171,0.9353,0.9396,0.2100,0.2570,0.2312,0.5832
ddim,2,8,0.0269,knn,knn,50000,600000,0.9240,0.9452,0.9401,0.3066,0.1564,0.2072,0.5762
ddim,2,8,0.0269,altered_knn,altered_knn,50000,400000,0.9213,0.9452,0.9393,0.1213,0.0540,0.0747,0.5100
ddim,2,8,0.0269,polar3,polar,50000,600000,0.9180,0.9375,0.9393,0.2068,0.2142,0.2104,0.5740
ddim,2,8,0.0269,knn,knn,100000,1200000,0.9247,0.9460,0.9401,0.3361,0.1527,0.2100,0.5780
ddim,2,8,0.0269,altered_knn,altered_knn,100000,800000,0.9226,0.9470,0.9390,0.1346,0.0391,0.0606,0.5038
ddim,2,8,0.0269,polar3,polar,100000,1200000,0.9199,0.9397,0.9404,0.2137,0.2030,0.2082,0.5740
ddim,4,2,0.1118,knn,knn,2000,6000,0.8826,0.8827,0.9100,0.5970,0.8819,0.7120,0.7974
ddim,4,2,0.1118,altered_knn,altered_knn,2000,4000,0.6287,0.6304,0.7508,0.1735,0.6158,0.2708,0.4506
