process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,200,1500,0.9693,analytic,analytic,0.9584,0.9803,0.9718,0.4579,0.1788,0.2572,0.6188
ddim,2,2,150,0.0274,200,1500,0.9693,knn,knn,0.9473,0.9632,0.9647,0.3438,0.3814,0.3616,0.6624
ddim,2,2,150,0.0274,200,1500,0.9693,altered_knn,altered_knn,0.9162,0.9293,0.9499,0.1780,0.4507,0.2552,0.5922
ddim,2,2,150,0.0274,200,1500,0.9693,kernel,kernel,0.9521,0.9701,0.9666,0.4205,0.3139,0.3595,0.6648
ddim,2,2,150,0.0274,200,1500,0.9693,linear,linear,0.7140,0.7123,0.8293,0.0704,0.7737,0.1291,0.4207
ddim,2,2,150,0.0274,200,1500,0.9693,quadratic,quadratic,0.9564,0.9767,0.9714,0.3824,0.2372,0.2928,0.6347
ddim,2,2,150,0.0274,200,1500,0.9693,polar2,polar,0.9554,0.9750,0.9704,0.3902,0.2628,0.3141,0.6445
ddim,2,2,150,0.0274,200,1500,0.9693,polar3,polar,0.9553,0.9749,0.9703,0.3907,0.2609,0.3129,0.6439
ddim,2,2,150,0.0274,200,1500,0.9693,polar8,polar,0.9548,0.9757,0.9700,0.3609,0.2153,0.2697,0.6227
ddim,2,2,150,0.0274,200,1500,0.9693,mlp,mlp,0.9549,0.9755,0.9700,0.3724,0.2263,0.2815,0.6285
ddim,2,4,150,0.0297,200,3000,0.8737,analytic,analytic,0.9305,0.9521,0.9439,0.4981,0.2256,0.3105,0.6313
ddim,2,4,150,0.0297,200,3000,0.8737,knn,knn,0.9010,0.9187,0.9235,0.2313,0.3232,0.2697,0.5942
ddim,2,4,150,0.0297,200,3000,0.8737,altered_knn,altered_knn,0.9000,0.9257,0.9216,0.0781,0.0589,0.0672,0.4965
ddim,2,4,150,0.0297,200,3000,0.8737,kernel,kernel,0.9082,0.9260,0.9300,0.2481,0.3283,0.2826,0.6043
ddim,2,4,150,0.0297,200,3000,0.8737,linear,linear,0.2069,0.1943,0.2688,0.0230,0.6195,0.0444,0.1193
ddim,2,4,150,0.0297,200,3000,0.8737,quadratic,quadratic,0.9154,0.9335,0.9324,0.3410,0.3232,0.3319,0.6327
ddim,2,4,150,0.0297,200,3000,0.8737,polar2,polar,0.9118,0.9293,0.9337,0.2461,0.3418,0.2861,0.6077
ddim,2,4,150,0.0297,200,3000,0.8737,polar3,polar,0.9234,0.9410,0.9424,0.3104,0.3502,0.3291,0.6351
ddim,2,4,150,0.0297,200,3000,0.8737,polar8,polar,0.9255,0.9433,0.9422,0.3633,0.3468,0.3549,0.6491
ddim,2,4,150,0.0297,200,3000,0.8737,mlp,mlp,0.9339,0.9524,0.9464,0.5324,0.3316,0.4087,0.6805
ddim,2,8,150,0.0342,200,6000,0.8360,analytic,analytic,0.8633,0.8887,0.8802,0.3000,0.1449,0.1955,0.5421
ddim,2,8,150,0.0342,200,6000,0.8360,knn,knn,0.8293,0.8486,0.8599,0.1602,0.2840,0.2049,0.5267
ddim,2,8,150,0.0342,200,6000,0.8360,altered_knn,altered_knn,0.8484,0.8767,0.8682,0.0976,0.0483,0.0646,0.4707
ddim,2,8,150,0.0342,200,6000,0.8360,kernel,kernel,0.0342,0.0000,0.0000,0.0341,1.0000,0.0660,0.0330
ddim,2,8,150,0.0342,200,6000,0.8360,linear,linear,0.1015,0.0821,0.1241,0.0247,0.6530,0.0475,0.0648
ddim,2,8,150,0.0342,200,6000,0.8360,quadratic,quadratic,0.8240,0.8421,0.8624,0.1310,0.3148,0.1850,0.5135
ddim,2,8,150,0.0342,200,6000,0.8360,polar2,polar,0.8142,0.8323,0.8496,0.1351,0.3031,0.1869,0.5096
ddim,2,8,150,0.0342,200,6000,0.8360,polar3,polar,0.8450,0.8647,0.8720,0.1877,0.2899,0.2278,0.5463
ddim,2,8,150,0.0342,200,6000,0.8360,polar8,polar,0.8584,0.8800,0.8796,0.2408,0.2489,0.2448,0.5624
ddim,2,8,150,0.0342,200,6000,0.8360,mlp,mlp,0.8651,0.8884,0.8816,0.3422,0.2064,0.2575,0.5730
ddim,2,16,150,0.0522,200,12000,0.8640,analytic,analytic,0.7690,0.8065,0.7897,0.3765,0.0890,0.1440,0.4752
ddim,2,16,150,0.0522,200,12000,0.8640,knn,knn,0.7430,0.7719,0.7742,0.2037,0.2191,0.2112,0.4915
ddim,2,16,150,0.0522,200,12000,0.8640,altered_knn,altered_knn,0.7038,0.7313,0.7587,0.0895,0.2048,0.1246,0.4280
ddim,2,16,150,0.0522,200,12000,0.8640,kernel,kernel,0.0522,0.0000,0.0000,0.0522,1.0000,0.0993,0.0497
ddim,2,16,150,0.0522,200,12000,0.8640,linear,linear,0.0653,0.0179,0.0360,0.0495,0.9244,0.0940,0.0560
ddim,2,16,150,0.0522,200,12000,0.8640,quadratic,quadratic,0.7085,0.7188,0.7602,0.1760,0.5215,0.2632,0.4910
ddim,2,16,150,0.0522,200,12000,0.8640,polar2,polar,0.7642,0.7938,0.7851,0.3391,0.2268,0.2718,0.5328
ddim,2,16,150,0.0522,200,12000,0.8640,polar3,polar,0.7747,0.8071,0.7962,0.3391,0.1885,0.2423,0.5247
ddim,2,16,150,0.0522,200,12000,0.8640,polar8,polar,0.7723,0.8053,0.7934,0.3763,0.1732,0.2372,0.5213
ddim,2,16,150,0.0522,200,12000,0.8640,mlp,mlp,0.7614,0.7964,0.7825,0.3757,0.1273,0.1901,0.4932
ddim,4,2,150,0.0306,200,1500,0.9680,analytic,analytic,0.9647,0.9875,0.9768,0.7937,0.2447,0.3741,0.6808
