sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,0.0144,knn,knn,2000,6000,0.9782,0.9844,0.9877,0.3833,0.5571,0.4542,0.7193
flow,2,2,0.0144,altered_knn,altered_knn,2000,4000,0.9732,0.9840,0.9845,0.2244,0.2422,0.2329,0.6085
flow,2,2,0.0144,polar3,polar,2000,6000,0.9832,0.9910,0.9900,0.5240,0.4533,0.4861,0.7386
flow,2,2,0.0144,knn,knn,5000,15000,0.9810,0.9881,0.9892,0.4367,0.5017,0.4670,0.7275
flow,2,2,0.0144,altered_knn,altered_knn,5000,10000,0.9755,0.9865,0.9864,0.2351,0.2318,0.2334,0.6100
flow,2,2,0.0144,polar3,polar,5000,15000,0.9834,0.9912,0.9902,0.5304,0.4533,0.4888,0.7400
flow,2,2,0.0144,knn,knn,10000,30000,0.9822,0.9898,0.9898,0.4655,0.4671,0.4663,0.7280
flow,2,2,0.0144,altered_knn,altered_knn,10000,20000,0.9762,0.9868,0.9870,0.2483,0.2561,0.2521,0.6195
flow,2,2,0.0144,polar3,polar,10000,30000,0.9835,0.9913,0.9902,0.5325,0.4533,0.4897,0.7405
flow,2,2,0.0144,knn,knn,20000,60000,0.9827,0.9906,0.9898,0.4981,0.4464,0.4708,0.7307
flow,2,2,0.0144,altered_knn,altered_knn,20000,40000,0.9782,0.9904,0.9875,0.2500,0.1522,0.1892,0.5898
flow,2,2,0.0144,polar3,polar,20000,60000,0.9835,0.9913,0.9902,0.5347,0.4533,0.4906,0.7410
flow,2,2,0.0144,knn,knn,50000,150000,0.9834,0.9913,0.9900,0.5378,0.4429,0.4858,0.7385
flow,2,2,0.0144,altered_knn,altered_knn,50000,100000,0.9801,0.9937,0.9883,0.2162,0.0554,0.0882,0.5409
flow,2,2,0.0144,polar3,polar,50000,150000,0.9835,0.9913,0.9902,0.5325,0.4533,0.4897,0.7405
flow,2,2,0.0144,knn,knn,100000,300000,0.9836,0.9916,0.9900,0.5639,0.4429,0.4961,0.7439
flow,2,2,0.0144,altered_knn,altered_knn,100000,200000,0.9801,0.9942,0.9882,0.1373,0.0242,0.0412,0.5177
flow,2,2,0.0144,polar3,polar,100000,300000,0.9835,0.9913,0.9902,0.5328,0.4498,0.4878,0.7396
flow,2,4,0.0150,knn,knn,2000,12000,0.9485,0.9568,0.9642,0.2067,0.4100,0.2749,0.6158
flow,2,4,0.0150,altered_knn,altered_knn,2000,8000,0.9305,0.9417,0.9548,0.0711,0.1967,0.1044,0.5231
flow,2,4,0.0150,polar3,polar,2000,12000,0.9498,0.9571,0.9634,0.2577,0.4767,0.3345,0.6458
flow,2,4,0.0150,knn,knn,5000,30000,0.9532,0.9611,0.9655,0.2772,0.4333,0.3381,0.6496
flow,2,4,0.0150,altered_knn,altered_knn,5000,20000,0.9375,0.9478,0.9613,0.0945,0.2633,0.1391,0.5435
flow,2,4,0.0150,polar3,polar,5000,30000,0.9520,0.9596,0.9644,0.2764,0.4533,0.3434,0.6515
flow,2,4,0.0150,knn,knn,10000,60000,0.9556,0.9641,0.9659,0.3270,0.4000,0.3598,0.6620
flow,2,4,0.0150,altered_knn,altered_knn,10000,40000,0.9487,0.9608,0.9637,0.1144,0.1567,0.1322,0.5465
flow,2,4,0.0150,polar3,polar,10000,60000,0.9519,0.9596,0.9643,0.2763,0.4467,0.3414,0.6505
flow,2,4,0.0150,knn,knn,20000,120000,0.9560,0.9648,0.9657,0.3413,0.3800,0.3596,0.6622
flow,2,4,0.0150,altered_knn,altered_knn,20000,80000,0.9481,0.9604,0.9634,0.1063,0.1467,0.1232,0.5418
flow,2,4,0.0150,polar3,polar,20000,120000,0.9534,0.9611,0.9648,0.2993,0.4500,0.3595,0.6603
