sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,2,2,0.0144,knn,knn,2000,6000,0.9787,0.9852,0.9877,0.3974,0.5363,0.4566,0.7209
flow,2,2,0.0144,altered_knn,altered_knn,2000,4000,0.9672,0.9765,0.9824,0.1822,0.3322,0.2353,0.6059
flow,2,2,0.0144,polar3,polar,2000,6000,0.9831,0.9914,0.9900,0.5191,0.4221,0.4656,0.7285
flow,2,2,0.0144,knn,knn,5000,15000,0.9807,0.9883,0.9890,0.4245,0.4671,0.4448,0.7165
flow,2,2,0.0144,altered_knn,altered_knn,5000,10000,0.9769,0.9887,0.9863,0.2604,0.1730,0.2079,0.5983
flow,2,2,0.0144,polar3,polar,5000,15000,0.9833,0.9915,0.9902,0.5190,0.4256,0.4677,0.7296
flow,2,2,0.0144,knn,knn,10000,30000,0.9821,0.9900,0.9896,0.4672,0.4429,0.4547,0.7224
flow,2,2,0.0144,altered_knn,altered_knn,10000,20000,0.9740,0.9831,0.9862,0.2506,0.3599,0.2955,0.6393
flow,2,2,0.0144,polar3,polar,10000,30000,0.9833,0.9915,0.9902,0.5212,0.4256,0.4686,0.7300
flow,2,2,0.0144,knn,knn,20000,60000,0.9827,0.9909,0.9898,0.4959,0.4221,0.4561,0.7235
flow,2,2,0.0144,altered_knn,altered_knn,20000,40000,0.9782,0.9900,0.9876,0.2604,0.1730,0.2079,0.5990
flow,2,2,0.0144,polar3,polar,20000,60000,0.9833,0.9916,0.9901,0.5281,0.4221,0.4692,0.7304
flow,2,2,0.0144,knn,knn,50000,150000,0.9830,0.9916,0.9898,0.5300,0.3979,0.4545,0.7231
flow,2,2,0.0144,altered_knn,altered_knn,50000,100000,0.9797,0.9927,0.9883,0.2368,0.0934,0.1340,0.5633
flow,2,2,0.0144,polar3,polar,50000,150000,0.9833,0.9916,0.9902,0.5214,0.4221,0.4665,0.7291
flow,2,2,0.0144,knn,knn,100000,300000,0.9836,0.9922,0.9900,0.5665,0.3979,0.4675,0.7298
flow,2,2,0.0144,altered_knn,altered_knn,100000,200000,0.9801,0.9942,0.9882,0.1321,0.0242,0.0409,0.5176
flow,2,2,0.0144,polar3,polar,100000,300000,0.9834,0.9917,0.9902,0.5328,0.4221,0.4710,0.7314
flow,2,4,0.0150,knn,knn,2000,12000,0.9496,0.9580,0.9649,0.2108,0.4033,0.2769,0.6174
flow,2,4,0.0150,altered_knn,altered_knn,2000,8000,0.9241,0.9346,0.9528,0.0692,0.2400,0.1074,0.5210
flow,2,4,0.0150,polar3,polar,2000,12000,0.9521,0.9599,0.9645,0.2727,0.4400,0.3367,0.6483
