process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0116,1000,analytic,analytic,0,0,nan,0.9901,0.9938,0.9933,0.7400,0.6758,0.7065,0.8502
ddim,2,2,150,0.0116,1000,analytic_T_train,analytic,0,0,nan,0.9862,0.9891,0.9916,0.5161,0.7342,0.6062,0.7977
ddim,2,2,150,0.0116,1000,knn,knn,6667,20002,1.0000,0.9879,0.9914,0.9930,0.5422,0.6891,0.6069,0.7992
ddim,2,2,150,0.0116,1000,kernel,kernel,6667,20002,1.0000,0.9871,0.9894,0.9927,0.5091,0.7960,0.6210,0.8052
ddim,2,2,150,0.0116,1000,altered_knn,altered_knn,6667,13330,1.0000,0.9778,0.9862,0.9882,0.1949,0.2602,0.2229,0.6046
ddim,2,2,150,0.0116,1000,linear,linear,6667,20002,1.0000,0.6539,0.6549,0.7891,0.0190,0.5685,0.0368,0.3459
ddim,2,2,150,0.0116,1000,linear_cal,linear,6667,20002,1.0000,0.9779,0.9869,0.9878,0.1907,0.2207,0.2046,0.5957
ddim,2,2,150,0.0116,1000,quadratic,quadratic,6667,20002,1.0000,0.9834,0.9882,0.9893,0.4824,0.5715,0.5232,0.7557
ddim,2,2,150,0.0116,1000,quadratic_cal,quadratic,6667,20002,1.0000,0.9857,0.9911,0.9905,0.5885,0.5268,0.5560,0.7735
ddim,2,2,150,0.0116,1000,polar2,polar,6667,20002,1.0000,0.9892,0.9928,0.9931,0.6481,0.6857,0.6664,0.8296
ddim,2,2,150,0.0116,1000,polar2_cal,polar,6667,20002,1.0000,0.9901,0.9941,0.9933,0.7573,0.6526,0.7011,0.8476
ddim,2,2,150,0.0116,1000,polar3,polar,6667,20002,1.0000,0.9897,0.9932,0.9935,0.6559,0.6956,0.6751,0.8342
ddim,2,2,150,0.0116,1000,polar3_cal,polar,6667,20002,1.0000,0.9901,0.9941,0.9935,0.7304,0.6548,0.6905,0.8423
ddim,2,2,150,0.0116,1000,polar8,polar,6667,20002,1.0000,0.9899,0.9936,0.9934,0.7000,0.6784,0.6891,0.8413
ddim,2,2,150,0.0116,1000,polar8_cal,polar,6667,20002,1.0000,0.9898,0.9934,0.9934,0.6888,0.6823,0.6855,0.8395
ddim,2,2,150,0.0116,1000,mlp,mlp,6667,20002,1.0000,0.9902,0.9940,0.9934,0.7519,0.6702,0.7087,0.8514
ddim,2,2,150,0.0116,1000,mlp_cal,mlp,6667,20002,1.0000,0.9900,0.9936,0.9933,0.7160,0.6810,0.6981,0.8458
ddim,2,2,150,0.0116,1000,knn,knn,16667,50002,0.9999,0.9888,0.9927,0.9933,0.5977,0.6501,0.6228,0.8078
ddim,2,2,150,0.0116,1000,kernel,kernel,16667,50002,0.9999,0.9876,0.9908,0.9932,0.5073,0.7183,0.5946,0.7927
ddim,2,2,150,0.0116,1000,altered_knn,altered_knn,16667,33330,0.9999,0.9822,0.9927,0.9896,0.1832,0.0854,0.1165,0.5546
ddim,2,2,150,0.0116,1000,linear,linear,16667,50002,0.9999,0.6541,0.6551,0.7893,0.0191,0.5693,0.0369,0.3460
ddim,2,2,150,0.0116,1000,linear_cal,linear,16667,50002,0.9999,0.9772,0.9862,0.9871,0.1915,0.2211,0.2053,0.5957
ddim,2,2,150,0.0116,1000,quadratic,quadratic,16667,50002,0.9999,0.9834,0.9882,0.9893,0.4826,0.5702,0.5227,0.7555
ddim,2,2,150,0.0116,1000,quadratic_cal,quadratic,16667,50002,0.9999,0.9856,0.9910,0.9904,0.5814,0.5290,0.5540,0.7725
ddim,2,2,150,0.0116,1000,polar2,polar,16667,50002,0.9999,0.9893,0.9928,0.9932,0.6516,0.6883,0.6695,0.8311
ddim,2,2,150,0.0116,1000,polar2_cal,polar,16667,50002,0.9999,0.9901,0.9941,0.9933,0.7638,0.6514,0.7031,0.8486
ddim,2,2,150,0.0116,1000,polar3,polar,16667,50002,0.9999,0.9898,0.9932,0.9935,0.6627,0.6969,0.6794,0.8363
ddim,2,2,150,0.0116,1000,polar3_cal,polar,16667,50002,0.9999,0.9902,0.9941,0.9935,0.7362,0.6591,0.6955,0.8448
ddim,2,2,150,0.0116,1000,polar8,polar,16667,50002,0.9999,0.9900,0.9936,0.9934,0.7074,0.6810,0.6939,0.8438
ddim,2,2,150,0.0116,1000,polar8_cal,polar,16667,50002,0.9999,0.9900,0.9937,0.9934,0.7100,0.6801,0.6947,0.8442
ddim,2,2,150,0.0116,1000,mlp,mlp,16667,50002,0.9999,0.9903,0.9940,0.9934,0.7544,0.6698,0.7096,0.8518
ddim,2,2,150,0.0116,1000,mlp_cal,mlp,16667,50002,0.9999,0.9901,0.9938,0.9934,0.7302,0.6775,0.7029,0.8483
ddim,2,2,150,0.0116,1000,knn,knn,33333,99998,1.0000,0.9893,0.9934,0.9933,0.6523,0.6492,0.6507,0.8221
ddim,2,2,150,0.0116,1000,kernel,kernel,33333,99998,1.0000,0.9879,0.9914,0.9933,0.5210,0.6939,0.5951,0.7932
ddim,2,2,150,0.0116,1000,altered_knn,altered_knn,33333,66660,1.0000,0.9823,0.9930,0.9901,0.1509,0.0769,0.1018,0.5474
ddim,2,2,150,0.0116,1000,linear,linear,33333,99998,1.0000,0.6531,0.6541,0.7885,0.0190,0.5698,0.0368,0.3455
ddim,2,2,150,0.0116,1000,linear_cal,linear,33333,99998,1.0000,0.9799,0.9893,0.9893,0.1880,0.1876,0.1878,0.5885
ddim,2,2,150,0.0116,1000,quadratic,quadratic,33333,99998,1.0000,0.9835,0.9884,0.9895,0.4782,0.5689,0.5196,0.7540
ddim,2,2,150,0.0116,1000,quadratic_cal,quadratic,33333,99998,1.0000,0.9858,0.9912,0.9906,0.5792,0.5273,0.5520,0.7716
