process,d,K,T_train,hall_gt,T,model,arch,n_per_mode,n_anchors,roundtrip_acc,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,300,analytic,analytic,0,0,nan,0.9584,0.9807,0.9717,0.4667,0.1661,0.2450,0.6128
ddim,2,2,150,0.0274,300,knn,knn,125,374,0.9866,0.8958,0.9151,0.9118,0.2847,0.2099,0.2416,0.5784
ddim,2,2,150,0.0274,300,altered_knn,altered_knn,125,250,0.9866,0.9177,0.9284,0.9552,0.1811,0.5383,0.2710,0.5997
ddim,2,2,150,0.0274,300,kernel,kernel,125,374,0.9866,0.9241,0.9445,0.9382,0.3811,0.1989,0.2614,0.6030
ddim,2,2,150,0.0274,300,linear,linear,125,374,0.9866,0.7636,0.7697,0.8595,0.0637,0.5456,0.1140,0.4419
ddim,2,2,150,0.0274,300,quadratic,quadratic,125,374,0.9866,0.9552,0.9764,0.9698,0.3910,0.2062,0.2700,0.6232
ddim,2,2,150,0.0274,300,polar2,polar,125,374,0.9866,0.9593,0.9794,0.9725,0.4910,0.2482,0.3297,0.6545
ddim,2,2,150,0.0274,300,polar3,polar,125,374,0.9866,0.9567,0.9786,0.9709,0.4024,0.1807,0.2494,0.6140
ddim,2,2,150,0.0274,300,polar8,polar,125,374,0.9866,0.9569,0.9787,0.9710,0.4106,0.1843,0.2544,0.6165
ddim,2,2,150,0.0274,300,mlp,mlp,125,374,0.9866,0.9587,0.9803,0.9720,0.4775,0.1934,0.2753,0.6278
ddim,2,2,150,0.0274,300,knn,knn,250,750,0.9813,0.9362,0.9555,0.9547,0.2665,0.2500,0.2580,0.6068
ddim,2,2,150,0.0274,300,altered_knn,altered_knn,250,500,0.9813,0.9165,0.9317,0.9504,0.1573,0.3759,0.2217,0.5767
ddim,2,2,150,0.0274,300,kernel,kernel,250,750,0.9813,0.9459,0.9671,0.9610,0.3488,0.1916,0.2473,0.6072
ddim,2,2,150,0.0274,300,linear,linear,250,750,0.9813,0.7012,0.6993,0.8200,0.0670,0.7664,0.1232,0.4113
ddim,2,2,150,0.0274,300,quadratic,quadratic,250,750,0.9813,0.9582,0.9797,0.9725,0.4030,0.1934,0.2614,0.6206
ddim,2,2,150,0.0274,300,polar2,polar,250,750,0.9813,0.9567,0.9778,0.9709,0.4094,0.2062,0.2743,0.6261
ddim,2,2,150,0.0274,300,polar3,polar,250,750,0.9813,0.9569,0.9783,0.9710,0.4151,0.2007,0.2706,0.6244
ddim,2,2,150,0.0274,300,polar8,polar,250,750,0.9813,0.9568,0.9782,0.9710,0.4091,0.1971,0.2660,0.6221
ddim,2,2,150,0.0274,300,mlp,mlp,250,750,0.9813,0.9574,0.9792,0.9712,0.4340,0.1861,0.2605,0.6199
ddim,2,2,150,0.0274,300,knn,knn,500,1500,0.9773,0.9464,0.9636,0.9639,0.3298,0.3376,0.3336,0.6486
ddim,2,2,150,0.0274,300,altered_knn,altered_knn,500,1000,0.9773,0.9160,0.9292,0.9492,0.1799,0.4471,0.2565,0.5929
ddim,2,2,150,0.0274,300,kernel,kernel,500,1500,0.9773,0.9530,0.9720,0.9669,0.4390,0.2755,0.3386,0.6553
ddim,2,2,150,0.0274,300,linear,linear,500,1500,0.9773,0.7097,0.7079,0.8263,0.0696,0.7755,0.1277,0.4178
ddim,2,2,150,0.0274,300,quadratic,quadratic,500,1500,0.9773,0.9574,0.9784,0.9719,0.4000,0.2153,0.2800,0.6292
ddim,2,2,150,0.0274,300,polar2,polar,500,1500,0.9773,0.9571,0.9774,0.9712,0.4248,0.2372,0.3044,0.6409
ddim,2,2,150,0.0274,300,polar3,polar,500,1500,0.9773,0.9571,0.9773,0.9711,0.4300,0.2409,0.3088,0.6430
ddim,2,2,150,0.0274,300,polar8,polar,500,1500,0.9773,0.9560,0.9775,0.9707,0.3772,0.1934,0.2557,0.6166
ddim,2,2,150,0.0274,300,mlp,mlp,500,1500,0.9773,0.9566,0.9778,0.9708,0.4051,0.2026,0.2701,0.6239
ddim,2,2,150,0.0274,300,knn,knn,1000,3000,0.9767,0.9512,0.9674,0.9686,0.3479,0.3777,0.3622,0.6648
ddim,2,2,150,0.0274,300,altered_knn,altered_knn,1000,2000,0.9767,0.9358,0.9496,0.9640,0.2175,0.4453,0.2922,0.6209
ddim,2,2,150,0.0274,300,kernel,kernel,1000,3000,0.9767,0.9531,0.9715,0.9681,0.3990,0.2993,0.3420,0.6568
ddim,2,2,150,0.0274,300,linear,linear,1000,3000,0.9767,0.6899,0.6875,0.8122,0.0655,0.7774,0.1208,0.4041
ddim,2,2,150,0.0274,300,quadratic,quadratic,1000,3000,0.9767,0.9563,0.9767,0.9707,0.4129,0.2336,0.2984,0.6375
ddim,2,2,150,0.0274,300,polar2,polar,1000,3000,0.9767,0.9569,0.9771,0.9712,0.4204,0.2409,0.3063,0.6417
ddim,2,2,150,0.0274,300,polar3,polar,1000,3000,0.9767,0.9572,0.9775,0.9712,0.4323,0.2391,0.3079,0.6427
