sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,200,2,2,0.0101,polar8_cal,polar,20000,60000,0.9882,0.9904,0.9934,0.4820,0.7643,0.5912,0.7908
ddim,200,2,2,0.0101,knn,knn,50000,150000,0.9884,0.9908,0.9936,0.4895,0.7543,0.5938,0.7923
ddim,200,2,2,0.0101,altered_knn,altered_knn,50000,100000,0.9860,0.9946,0.9926,0.2295,0.1390,0.1731,0.5839
ddim,200,2,2,0.0101,quadratic,quadratic,50000,150000,0.9782,0.9823,0.9862,0.3231,0.5757,0.4139,0.6981
ddim,200,2,2,0.0101,quadratic_cal,quadratic,50000,150000,0.9810,0.9855,0.9876,0.3803,0.5360,0.4449,0.7152
ddim,200,2,2,0.0101,polar8,polar,50000,150000,0.9881,0.9904,0.9934,0.4791,0.7667,0.5897,0.7900
ddim,200,2,2,0.0101,polar8_cal,polar,50000,150000,0.9882,0.9904,0.9934,0.4813,0.7667,0.5914,0.7909
ddim,200,2,2,0.0101,knn,knn,100000,300000,0.9887,0.9910,0.9936,0.5025,0.7593,0.6047,0.7979
ddim,200,2,2,0.0101,altered_knn,altered_knn,100000,200000,0.9870,0.9960,0.9929,0.2593,0.1042,0.1487,0.5723
ddim,200,2,2,0.0101,quadratic,quadratic,100000,300000,0.9811,0.9851,0.9890,0.3310,0.5906,0.4242,0.7047
ddim,200,2,2,0.0101,quadratic_cal,quadratic,100000,300000,0.9841,0.9888,0.9906,0.3872,0.5236,0.4451,0.7170
ddim,200,2,2,0.0101,polar8,polar,100000,300000,0.9883,0.9905,0.9935,0.4860,0.7742,0.5971,0.7938
ddim,200,2,2,0.0101,polar8_cal,polar,100000,300000,0.9886,0.9908,0.9936,0.4984,0.7717,0.6056,0.7982
ddim,0,2,4,0.0116,knn,knn,20000,120000,0.8900,0.8951,0.8969,0.2569,0.4629,0.3304,0.6127
ddim,0,2,4,0.0116,altered_knn,altered_knn,20000,80000,0.8877,0.8965,0.8960,0.0901,0.1364,0.1085,0.5025
ddim,0,2,4,0.0116,quadratic,quadratic,20000,120000,0.8452,0.8488,0.8697,0.1012,0.5424,0.1706,0.5097
ddim,0,2,4,0.0116,quadratic_cal,quadratic,20000,120000,0.8701,0.8767,0.8771,0.1942,0.3093,0.2386,0.5577
ddim,0,2,4,0.0116,polar8,polar,20000,120000,0.8887,0.8935,0.8959,0.2507,0.4812,0.3297,0.6116
ddim,0,2,4,0.0116,polar8_cal,polar,20000,120000,0.8906,0.8957,0.8965,0.2893,0.4522,0.3529,0.6243
ddim,0,2,4,0.0116,knn,knn,50000,300000,0.8911,0.8963,0.8973,0.2818,0.4501,0.3466,0.6215
ddim,0,2,4,0.0116,altered_knn,altered_knn,50000,200000,0.8904,0.8997,0.8973,0.0972,0.1053,0.1011,0.5004
ddim,0,2,4,0.0116,quadratic,quadratic,50000,300000,0.8570,0.8608,0.8814,0.1020,0.5392,0.1715,0.5162
ddim,0,2,4,0.0116,quadratic_cal,quadratic,50000,300000,0.8777,0.8840,0.8849,0.2148,0.3426,0.2641,0.5740
ddim,0,2,4,0.0116,polar8,polar,50000,300000,0.8894,0.8942,0.8961,0.2641,0.4780,0.3402,0.6172
