process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,2,2,150,0.0274,250,1500,0.9733,analytic,analytic,0.9584,0.9806,0.9718,0.4680,0.1734,0.2530,0.6168
ddim,2,2,150,0.0274,250,1500,0.9733,knn,knn,0.9469,0.9633,0.9642,0.3430,0.3668,0.3545,0.6589
ddim,2,2,150,0.0274,250,1500,0.9733,altered_knn,altered_knn,0.9153,0.9290,0.9489,0.1733,0.4307,0.2471,0.5880
ddim,2,2,150,0.0274,250,1500,0.9733,kernel,kernel,0.9523,0.9712,0.9665,0.4247,0.2828,0.3395,0.6553
ddim,2,2,150,0.0274,250,1500,0.9733,linear,linear,0.7116,0.7098,0.8276,0.0699,0.7737,0.1282,0.4190
ddim,2,2,150,0.0274,250,1500,0.9733,quadratic,quadratic,0.9570,0.9776,0.9717,0.3943,0.2281,0.2890,0.6333
ddim,2,2,150,0.0274,250,1500,0.9733,polar2,polar,0.9564,0.9765,0.9709,0.4073,0.2445,0.3056,0.6410
ddim,2,2,150,0.0274,250,1500,0.9733,polar3,polar,0.9565,0.9765,0.9708,0.4141,0.2464,0.3089,0.6427
ddim,2,2,150,0.0274,250,1500,0.9733,polar8,polar,0.9559,0.9770,0.9706,0.3838,0.2080,0.2698,0.6234
ddim,2,2,150,0.0274,250,1500,0.9733,mlp,mlp,0.9560,0.9771,0.9706,0.3904,0.2080,0.2714,0.6243
ddim,2,4,150,0.0297,250,3000,0.8820,analytic,analytic,0.9312,0.9531,0.9441,0.5287,0.2172,0.3079,0.6305
ddim,2,4,150,0.0297,250,3000,0.8820,knn,knn,0.9018,0.9198,0.9238,0.2355,0.3148,0.2695,0.5946
ddim,2,4,150,0.0297,250,3000,0.8820,altered_knn,altered_knn,0.8830,0.9055,0.9193,0.0734,0.1481,0.0982,0.5019
ddim,2,4,150,0.0297,250,3000,0.8820,kernel,kernel,0.9095,0.9277,0.9309,0.2510,0.3165,0.2800,0.6038
ddim,2,4,150,0.0297,250,3000,0.8820,linear,linear,0.2009,0.1880,0.2623,0.0230,0.6229,0.0443,0.1162
ddim,2,4,150,0.0297,250,3000,0.8820,quadratic,quadratic,0.9156,0.9342,0.9323,0.3447,0.3064,0.3244,0.6293
ddim,2,4,150,0.0297,250,3000,0.8820,polar2,polar,0.9122,0.9301,0.9339,0.2447,0.3300,0.2810,0.6055
ddim,2,4,150,0.0297,250,3000,0.8820,polar3,polar,0.9241,0.9420,0.9428,0.3126,0.3384,0.3250,0.6335
ddim,2,4,150,0.0297,250,3000,0.8820,polar8,polar,0.9264,0.9447,0.9425,0.3762,0.3300,0.3516,0.6481
ddim,2,4,150,0.0297,250,3000,0.8820,mlp,mlp,0.9342,0.9532,0.9464,0.5549,0.3148,0.4017,0.6775
ddim,2,8,150,0.0342,250,6000,0.8467,analytic,analytic,0.8638,0.8895,0.8800,0.3276,0.1391,0.1953,0.5424
ddim,2,8,150,0.0342,250,6000,0.8467,knn,knn,0.8304,0.8503,0.8604,0.1580,0.2679,0.1988,0.5245
