sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,2,2,3,0.0094,0.0004,knn,knn,2000,6000,0.9829,0.0010,0.9852,0.0010,0.9889,0.0006,0.3691,0.0242,0.7435,0.0266,0.4927,0.0230,0.7390,0.0120
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,2000,4000,0.9674,0.0048,0.9743,0.0053,0.9812,0.0021,0.0892,0.0120,0.2415,0.0519,0.1286,0.0164,0.5514,0.0086
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,2000,6000,0.9853,0.0024,0.9889,0.0020,0.9887,0.0021,0.5573,0.0159,0.6121,0.0332,0.5832,0.0228,0.7860,0.0124
ddim,2,2,3,0.0094,0.0004,polar3,polar,2000,6000,0.9861,0.0007,0.9884,0.0011,0.9899,0.0009,0.4985,0.0101,0.7383,0.0341,0.5947,0.0102,0.7916,0.0047
ddim,2,2,3,0.0094,0.0004,knn,knn,5000,15000,0.9860,0.0006,0.9884,0.0009,0.9905,0.0007,0.4452,0.0173,0.7327,0.0214,0.5533,0.0097,0.7709,0.0050
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,5000,10000,0.9760,0.0025,0.9836,0.0032,0.9854,0.0006,0.1051,0.0172,0.1825,0.0860,0.1288,0.0411,0.5562,0.0190
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,5000,15000,0.9866,0.0028,0.9902,0.0024,0.9900,0.0027,0.5587,0.0077,0.6078,0.0326,0.5818,0.0167,0.7860,0.0095
ddim,2,2,3,0.0094,0.0004,polar3,polar,5000,15000,0.9861,0.0007,0.9884,0.0011,0.9899,0.0009,0.4996,0.0139,0.7372,0.0319,0.5950,0.0093,0.7917,0.0045
ddim,2,2,3,0.0094,0.0004,knn,knn,10000,30000,0.9868,0.0005,0.9894,0.0009,0.9906,0.0008,0.4996,0.0141,0.7138,0.0299,0.5875,0.0151,0.7884,0.0073
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,10000,20000,0.9780,0.0038,0.9861,0.0049,0.9863,0.0017,0.0944,0.0152,0.1287,0.0919,0.0990,0.0379,0.5426,0.0169
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,10000,30000,0.9872,0.0029,0.9908,0.0024,0.9907,0.0027,0.5589,0.0106,0.6122,0.0359,0.5840,0.0212,0.7874,0.0118
ddim,2,2,3,0.0094,0.0004,polar3,polar,10000,30000,0.9860,0.0006,0.9884,0.0010,0.9899,0.0008,0.4994,0.0103,0.7361,0.0306,0.5947,0.0110,0.7916,0.0052
ddim,2,2,3,0.0094,0.0004,knn,knn,15000,45000,0.9871,0.0004,0.9897,0.0009,0.9906,0.0008,0.5335,0.0166,0.7198,0.0382,0.6125,0.0225,0.8011,0.0109
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,15000,30000,0.9793,0.0028,0.9878,0.0036,0.9870,0.0015,0.0872,0.0152,0.0903,0.0506,0.0804,0.0252,0.5341,0.0111
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,15000,45000,0.9864,0.0028,0.9900,0.0023,0.9898,0.0026,0.5602,0.0129,0.6122,0.0357,0.5847,0.0219,0.7874,0.0121
ddim,2,2,3,0.0094,0.0004,polar3,polar,15000,45000,0.9860,0.0006,0.9884,0.0010,0.9899,0.0008,0.4969,0.0105,0.7362,0.0319,0.5930,0.0126,0.7907,0.0059
ddim,2,2,3,0.0094,0.0004,knn,knn,20000,60000,0.9874,0.0004,0.9900,0.0009,0.9907,0.0008,0.5567,0.0202,0.7175,0.0421,0.6265,0.0252,0.8083,0.0122
ddim,2,2,3,0.0094,0.0004,altered_knn,altered_knn,20000,40000,0.9808,0.0003,0.9897,0.0004,0.9875,0.0007,0.0628,0.0210,0.0451,0.0201,0.0523,0.0208,0.5210,0.0104
ddim,2,2,3,0.0094,0.0004,quadratic,quadratic,20000,60000,0.9860,0.0028,0.9896,0.0024,0.9894,0.0026,0.5598,0.0150,0.6108,0.0376,0.5839,0.0237,0.7867,0.0130
ddim,2,2,3,0.0094,0.0004,polar3,polar,20000,60000,0.9860,0.0005,0.9884,0.0009,0.9899,0.0008,0.4976,0.0090,0.7365,0.0315,0.5936,0.0121,0.7910,0.0057
ddim,2,4,3,0.0108,0.0004,knn,knn,2000,12000,0.9639,0.0097,0.9680,0.0087,0.9716,0.0106,0.2413,0.0501,0.5888,0.1066,0.3423,0.0685,0.6551,0.0382
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,2000,8000,0.9562,0.0089,0.9644,0.0087,0.9674,0.0088,0.0951,0.0235,0.2105,0.0647,0.1289,0.0312,0.5466,0.0189
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,2000,12000,0.9296,0.0106,0.9353,0.0110,0.9345,0.0115,0.2320,0.0414,0.4003,0.0737,0.2879,0.0282,0.6116,0.0185
ddim,2,4,3,0.0108,0.0004,polar3,polar,2000,12000,0.9656,0.0105,0.9699,0.0094,0.9724,0.0112,0.2653,0.0493,0.5715,0.1137,0.3623,0.0687,0.6661,0.0388
ddim,2,4,3,0.0108,0.0004,knn,knn,5000,30000,0.9686,0.0113,0.9734,0.0099,0.9739,0.0119,0.2931,0.0829,0.5365,0.1394,0.3791,0.1041,0.6762,0.0568
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,5000,20000,0.9627,0.0104,0.9714,0.0100,0.9712,0.0104,0.1060,0.0404,0.1674,0.0357,0.1281,0.0386,0.5498,0.0240
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,5000,30000,0.9285,0.0103,0.9342,0.0106,0.9332,0.0111,0.2315,0.0440,0.3999,0.0712,0.2877,0.0318,0.6109,0.0202
ddim,2,4,3,0.0108,0.0004,polar3,polar,5000,30000,0.9662,0.0099,0.9705,0.0088,0.9728,0.0106,0.2692,0.0442,0.5730,0.1144,0.3661,0.0643,0.6683,0.0362
ddim,2,4,3,0.0108,0.0004,knn,knn,10000,60000,0.9710,0.0116,0.9759,0.0102,0.9748,0.0123,0.3492,0.0959,0.5176,0.1398,0.4170,0.1137,0.6965,0.0618
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,10000,40000,0.9670,0.0102,0.9765,0.0095,0.9726,0.0114,0.1051,0.0606,0.0977,0.0537,0.1012,0.0569,0.5389,0.0332
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,10000,60000,0.9286,0.0101,0.9343,0.0105,0.9331,0.0112,0.2353,0.0412,0.3985,0.0728,0.2902,0.0286,0.6123,0.0185
ddim,2,4,3,0.0108,0.0004,polar3,polar,10000,60000,0.9662,0.0102,0.9705,0.0090,0.9728,0.0108,0.2694,0.0470,0.5722,0.1187,0.3662,0.0677,0.6684,0.0380
ddim,2,4,3,0.0108,0.0004,knn,knn,15000,90000,0.9718,0.0116,0.9769,0.0103,0.9750,0.0125,0.3811,0.0963,0.5082,0.1283,0.4356,0.1100,0.7062,0.0599
ddim,2,4,3,0.0108,0.0004,altered_knn,altered_knn,15000,60000,0.9672,0.0104,0.9766,0.0095,0.9726,0.0117,0.1120,0.0758,0.1058,0.0762,0.1088,0.0761,0.5427,0.0427
ddim,2,4,3,0.0108,0.0004,quadratic,quadratic,15000,90000,0.9290,0.0100,0.9348,0.0104,0.9335,0.0111,0.2366,0.0413,0.3976,0.0714,0.2911,0.0287,0.6129,0.0184
ddim,2,4,3,0.0108,0.0004,polar3,polar,15000,90000,0.9665,0.0100,0.9707,0.0089,0.9729,0.0109,0.2746,0.0447,0.5742,0.1170,0.3713,0.0654,0.6710,0.0367
ddim,2,4,3,0.0108,0.0004,knn,knn,20000,120000,0.9722,0.0117,0.9774,0.0104,0.9750,0.0126,0.4059,0.0992,0.5020,0.1214,0.4488,0.1092,0.7131,0.0595
